,userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
4,17e120dd,6_hard_full,6,hard,full,interaction,2,25,-2.738862558,-2.366398704,-2.300116751,-2.151284265,-2.198463355,-2.444501618,-2.464916427
5,18dac9ef,6_hard_full,6,hard,full,density,2,25,-2.556612588,-3.315791524,-3.041204824,-3.119803452,-2.935899869,-3.01453828,-2.831225279
6,20bfd7bd,6_hard_full,6,hard,full,non-linear,2,25,-2.007316939,-1.979308097,-1.870179763,-1.905915955,-1.925238704,-1.893215828,-1.965671845
7,22dac859,6_hard_full,6,hard,full,blocking_blind,2,25,-3.251284176,-3.151747885,-3.161692937,-3.064537536,-3.093911328,-2.524684615,-2.491627343
14,26dbf6e9,6_hard_full,6,hard,full,blocking_blind,2,25,-2.52472738,-1.932400945,-1.754489453,-1.432452321,-1.436892973,-1.48056985,-1.426896959
16,32ebf2e8,6_hard_full,6,hard,full,blocking_blind,2,25,-2.841290148,-2.031602777,-1.93984096,-1.925230159,-1.912651553,-1.789869755,-1.756661361
19,38ebbf94,6_hard_full,6,hard,full,blocking_blind,2,25,-2.70674786,-2.012825208,-1.901055552,-1.954917427,-1.881915263,-1.8024387,-1.683120386
23,3df11bae,6_hard_full,6,hard,full,blocking_blind,2,25,-2.792072139,-2.091105909,-1.953393505,-1.822705058,-1.765663296,-1.683177457,-1.625564435
26,44a4fa14,6_hard_full,6,hard,full,interaction_blind,2,25,-2.727175374,-2.529065486,-2.418038045,-2.263704723,-2.363272341,-1.874377089,-1.967042899
38,5edbbf73,6_hard_full,6,hard,full,interaction_blind,2,25,-2.768053131,-2.490205215,-2.379455863,-2.156102774,-2.20263542,-2.103115837,-2.125735547
43,67eac875,6_hard_full,6,hard,full,blocking_blind,2,25,-3.113884278,-2.742648289,-2.786405821,-2.810979308,-2.793518817,-2.508130433,-2.476883055
45,69bad0fe,6_hard_full,6,hard,full,blocking,2,25,-2.873975697,-2.119653125,-1.996305863,-1.842478333,-1.81938497,-2.287042134,-2.289074942
46,6bf51f66,6_hard_full,6,hard,full,interaction_blind,2,25,-2.704910976,-2.579650661,-2.486265425,-2.128864157,-2.210919298,-2.097843171,-2.160141548
48,70da8cfb,6_hard_full,6,hard,full,interaction_blind,2,25,-2.679231119,-2.164690108,-2.051847941,-1.849861317,-1.86865655,-1.716262869,-1.772035351
55,87b50908,6_hard_full,6,hard,full,interaction,2,25,-2.718904866,-2.169851142,-2.072038455,-1.778597092,-1.826106043,-1.921341375,-1.969172941
61,8fc76287,6_hard_full,6,hard,full,blocking_blind,2,25,-2.813586267,-2.227131878,-2.113570865,-1.885305454,-1.86130854,-1.807889779,-1.763178685
62,8fcbec83,6_hard_full,6,hard,full,density,2,25,-2.896843089,-3.594393,-3.609932211,-3.774266199,-3.812062912,-3.408783707,-3.443728945
65,91cfd7fb,6_hard_full,6,hard,full,blocking_blind,2,25,-2.705415465,-2.29587611,-2.146952675,-1.890192438,-1.862970633,-1.791218784,-1.760890435
66,92b722f3,6_hard_full,6,hard,full,blocking,2,25,-2.933183782,-2.57948445,-2.53461793,-2.45892693,-2.454076484,-2.613054442,-2.597431754
67,94d6ef33,6_hard_full,6,hard,full,interaction_blind,2,25,-2.876937586,-2.480767126,-2.388962914,-2.146875264,-2.161068515,-2.000952731,-2.00566544
70,9adbc2df,6_hard_full,6,hard,full,density,2,25,-2.495462049,-3.131534175,-3.040284255,-2.90736123,-2.973849913,-2.868837989,-2.861678562
71,9dc50a3d,6_hard_full,6,hard,full,non-linear,2,25,-2.947003366,-2.936010388,-2.910891858,-3.047261309,-3.01809196,-3.646229946,-3.656636156
73,a2f6ba1d,6_hard_full,6,hard,full,density,2,25,-1.882467527,-4.42559991,-4.137205415,-4.120560999,-4.064963507,-4.016074616,-3.962558328
80,b0d518a1,6_hard_full,6,hard,full,blocking_blind,2,25,-3.00928628,-3.06511404,-2.996388236,-2.86237931,-2.875131968,-2.155291285,-2.114350181
82,b7a4fe27,6_hard_full,6,hard,full,blocking,2,25,-2.911340376,-2.049987187,-1.96805978,-1.804050812,-1.787105461,-2.234467446,-2.259894785
84,bae515f2,6_hard_full,6,hard,full,blocking_blind,2,25,-2.404502665,-1.7780554,-1.580993237,-1.352131236,-1.349178163,-1.304389665,-1.292021723
86,bcdfd2df,6_hard_full,6,hard,full,blocking_blind,2,25,-3.113353435,-3.114378361,-3.095832749,-2.985767734,-2.966116391,-2.582217082,-2.531997406
87,bed50a1d,6_hard_full,6,hard,full,blocking_blind,2,25,-2.863142527,-2.573381013,-2.378154323,-2.080106052,-2.027488753,-2.030624675,-1.964064158
95,c7a67aab,6_hard_full,6,hard,full,interaction_blind,2,25,-2.667695546,-3.248529945,-3.225884981,-3.108460236,-3.147829993,-1.786315372,-1.814777571
96,c8a4fa50,6_hard_full,6,hard,full,interaction_blind,2,25,-2.846884477,-2.995274085,-2.927096386,-2.790468583,-2.791869092,-2.46553129,-2.483052966
99,cceac8ca,6_hard_full,6,hard,full,interaction_blind,2,25,-2.658588596,-2.509163914,-2.499110975,-2.397397925,-2.437349873,-1.989062307,-2.00966673
104,dbe71b15,6_hard_full,6,hard,full,interaction_blind,2,25,-2.680706319,-2.828773014,-2.747831739,-2.581474191,-2.622257391,-1.921990023,-1.996428464
105,dcc4f10e,6_hard_full,6,hard,full,interaction_blind,2,25,-2.404973264,-2.695494937,-2.642319966,-2.517910416,-2.582746184,-1.573085651,-1.649735772
106,dfcbf407,6_hard_full,6,hard,full,blocking,2,25,-2.591890294,-2.206209082,-2.088113404,-2.059031312,-2.013645215,-2.155728476,-2.145551462
107,dfe6bee3,6_hard_full,6,hard,full,non-linear,2,25,-2.580560987,-2.509919301,-2.427830026,-2.469284055,-2.470663997,-2.563449059,-2.520647896
112,eec7360c,6_hard_full,6,hard,full,interaction_blind,2,25,-2.776035817,-2.599594581,-2.574923384,-2.390214271,-2.477085004,-2.255018371,-2.313399883
113,efebc5bb,6_hard_full,6,hard,full,blocking_blind,2,25,-3.249434994,-3.445055692,-3.379090379,-3.179228501,-3.162247317,-3.169348282,-3.110402717
