,path,length,count,board,mcts_prob
0,"[[6, 6, 1], [4, 4, 2], [5, 4, 1], [6, 8, 2]]",4,1,10_easy_full,0.00014074595355383532
1,"[[6, 2, 1], [6, 5, 2]]",2,16,10_easy_full,0.00048107279232688897
2,"[[5, 2, 1], [7, 4, 2]]",2,2,10_easy_full,6.013409904086112e-05
3,"[[6, 4, 1], [9, 4, 2]]",2,120,10_easy_full,0.0036080459424516673
4,"[[5, 2, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,68,10_easy_full,0.009570724841660803
5,"[[9, 8, 1]]",1,997,10_easy_full,0.02
6,"[[9, 2, 1], [9, 8, 2], [9, 4, 1]]",3,381,10_easy_full,0.03776390127862028
7,"[[5, 6, 1], [6, 5, 2]]",2,183,10_easy_full,0.005502270062238792
8,"[[5, 4, 1], [8, 5, 2]]",2,30,10_easy_full,0.0009020114856129168
9,"[[6, 4, 1], [9, 4, 2], [9, 3, 1], [9, 8, 2]]",4,94,10_easy_full,0.013230119634060521
10,"[[9, 2, 1], [9, 4, 2]]",2,107,10_easy_full,0.00321717429868607
11,"[[5, 6, 1], [4, 9, 2]]",2,27,10_easy_full,0.0008118103370516252
12,"[[5, 2, 1], [5, 4, 2]]",2,1,10_easy_full,3.006704952043056e-05
13,"[[8, 3, 1]]",1,997,10_easy_full,0.02
14,"[[1, 9, 1], [1, 8, 2], [5, 3, 1]]",3,6,10_easy_full,0.0005947071067499256
15,"[[1, 9, 1], [1, 8, 2], [8, 3, 1]]",3,8,10_easy_full,0.0007929428089999009
16,"[[8, 7, 1], [7, 3, 2]]",2,28,10_easy_full,0.0008418773865720557
17,"[[5, 4, 1], [5, 1, 2]]",2,18,10_easy_full,0.00054120689136775
18,"[[7, 2, 1], [9, 8, 2], [9, 4, 1]]",3,99,10_easy_full,0.009812667261373774
19,"[[6, 2, 1], [6, 6, 2]]",2,4,10_easy_full,0.00012026819808172224
