,board,missed_win,player
166,6_hard_full,0,1.0
167,6_hard_full,0,2.0
168,6_hard_full,0,1.0
169,6_hard_full,0,1.0
170,6_hard_full,0,2.0
171,6_hard_full,0,2.0
172,6_hard_full,0,2.0
173,6_hard_full,0,2.0
174,6_hard_full,0,1.0
175,6_hard_full,0,1.0
176,6_hard_full,1,1.0
177,6_hard_full,1,1.0
178,6_hard_full,1,1.0
179,6_hard_full,1,1.0
180,6_hard_full,0,2.0
181,6_hard_full,1,2.0
182,6_hard_full,1,1.0
183,6_hard_full,1,2.0
184,6_hard_full,1,1.0
185,6_hard_full,0,1.0
186,6_hard_full,0,1.0
187,6_hard_full,0,1.0
188,6_hard_full,0,1.0
189,6_hard_full,1,2.0
190,6_hard_full,0,2.0
191,6_hard_full,0,2.0
192,6_hard_full,0,2.0
193,6_hard_full,1,1.0
194,6_hard_full,1,1.0
195,6_hard_full,1,1.0
196,6_hard_full,0,2.0
197,6_hard_full,0,2.0
198,6_hard_full,1,2.0
199,6_hard_full,1,2.0
200,6_hard_full,1,2.0
201,6_hard_full,1,2.0
202,6_hard_full,1,2.0
203,6_hard_full,0,2.0
204,6_hard_full,1,2.0
205,6_hard_full,0,2.0
206,6_hard_full,0,2.0
207,6_hard_full,0,1.0
208,6_hard_full,0,2.0
209,6_hard_full,0,2.0
210,6_hard_full,0,2.0
211,6_hard_full,0,1.0
212,6_hard_full,0,1.0
213,6_hard_full,1,2.0
214,6_hard_full,0,2.0
215,6_hard_full,1,2.0
216,6_hard_full,1,2.0
217,6_hard_full,0,2.0
218,6_hard_full,1,2.0
219,6_hard_full,1,1.0
220,6_hard_full,1,1.0
221,6_hard_full,0,1.0
222,6_hard_full,0,1.0
223,6_hard_full,0,2.0
224,6_hard_full,1,2.0
225,6_hard_full,1,1.0
226,6_hard_full,1,2.0
227,6_hard_full,1,2.0
228,6_hard_full,0,2.0
229,6_hard_full,1,2.0
230,6_hard_full,0,1.0
231,6_hard_full,0,2.0
232,6_hard_full,0,2.0
233,6_hard_full,0,2.0
234,6_hard_full,0,2.0
235,6_hard_full,1,1.0
236,6_hard_full,1,2.0
237,6_hard_full,0,2.0
238,6_hard_full,0,2.0
239,6_hard_full,0,2.0
240,6_hard_full,0,2.0
241,6_hard_full,0,1.0
242,6_hard_full,1,2.0
243,6_hard_full,1,2.0
244,6_hard_full,1,2.0
245,6_hard_full,1,2.0
246,6_hard_full,1,2.0
247,6_hard_full,1,2.0
248,6_hard_full,1,2.0
249,6_hard_full,1,1.0
250,6_hard_full,1,2.0
251,6_hard_full,1,2.0
252,6_hard_full,1,2.0
253,6_hard_full,0,2.0
254,6_hard_full,1,2.0
255,6_hard_full,0,2.0
256,6_hard_full,0,2.0
257,6_hard_full,0,2.0
258,6_hard_full,0,2.0
259,6_hard_full,1,2.0
260,6_hard_full,0,1.0
261,6_hard_full,0,1.0
262,6_hard_full,1,1.0
263,6_hard_full,1,1.0
264,6_hard_full,1,2.0
265,6_hard_full,0,2.0
266,6_hard_full,1,2.0
267,6_hard_full,1,2.0
268,6_hard_full,0,1.0
269,6_hard_full,0,2.0
270,6_hard_full,1,2.0
271,6_hard_full,0,1.0
