,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,mcts_prob
38,38,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2], [4, 7, 1]]",11,1,0.08333333333330001,0.0
39,39,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2]]",10,1,0.0625,0.0
40,40,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1]]",9,1,0.037037037037,0.0
41,41,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2]]",8,1,0.0192307692308,0.0
42,42,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1]]",7,1,0.00970873786408,0.0
43,43,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2]]",6,1,0.00662251655629,0.0
44,44,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2], [4, 8, 1], [0, 8, 2]]",8,1,0.0192307692308,0.0
45,45,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2], [4, 8, 1]]",7,1,0.00970873786408,0.0
46,46,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2]]",6,1,0.00662251655629,0.0
47,47,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1]]",7,1,0.00970873786408,0.0
48,48,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 8, 2]]",6,3,0.0198675496689,0.0
49,49,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1]]",5,11,0.052884615384599994,0.0
50,50,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1], [8, 7, 2], [3, 2, 1]]",11,1,0.08333333333330001,0.0
