possible_moves,board_name,time_rel,move_ranking,solved,top_score,userid,prev_action,score_move,player,time_between,position,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition,second_score
22,logs/6_hard_full_dec19,275549,21,solvedCorrect,0,17e120dd,click,-50000.680555555555,2,11.339,2_3,1511924424447,1511924413108,28,False,4,"6,hard,full",-0.05555555555555555
21,logs/6_hard_full_dec19,277817,3,solvedCorrect,50000.61892361111,17e120dd,click,3.9221889172335604,1,2.268,4_3,1511924426715,1511924424447,29,False,5,"6,hard,full",50000.555555555555
20,logs/6_hard_full_dec19,294437,18,solvedCorrect,-0.05555555555555555,17e120dd,click,-50000.61892361111,2,16.62,3_2,1511924443335,1511924426715,30,False,6,"6,hard,full",-0.1111111111111111
20,logs/6_hard_full_dec19,299296,19,solvedCorrect,-0.05555555555555555,17e120dd,undo,-50000.680555555555,2,0.369,4_2,1511924448194,1511924447825,31,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,307481,2,solvedCorrect,50000.61892361111,17e120dd,click,3.2561118197278907,1,8.185,2_4,1511924456379,1511924448194,32,False,7,"6,hard,full",50000.555555555555
18,logs/6_hard_full_dec19,328335,14,solvedCorrect,0,17e120dd,click,-0.6805555555555556,2,20.854,1_4,1511924477233,1511924456379,33,False,8,"6,hard,full",-0.05555555555555555
17,logs/6_hard_full_dec19,331996,8,solvedCorrect,50000.721371882086,17e120dd,click,0.18055555555555555,1,3.661,3_4,1511924480894,1511924477233,34,False,9,"6,hard,full",50000.5
21,logs/6_hard_full_dec19,355840,3,solvedCorrect,50000.61892361111,17e120dd,undo,3.9221889172335604,1,2.115,4_3,1511924504738,1511924502623,35,False,5,"6,hard,full",50000.555555555555
20,logs/6_hard_full_dec19,369963,11,solvedCorrect,-0.05555555555555555,17e120dd,click,-0.6111111111111112,2,14.123,1_0,1511924518861,1511924504738,36,False,6,"6,hard,full",-0.1111111111111111
20,logs/6_hard_full_dec19,381687,17,solvedCorrect,-0.05555555555555555,17e120dd,undo,-50000.555555555555,2,4.932,0_2,1511924530585,1511924525653,37,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,382983,0,solvedCorrect,50000.74392361111,17e120dd,click,50000.74392361111,1,1.296,3_2,1511924531881,1511924530585,38,False,7,"6,hard,full",50000.680555555555
18,logs/6_hard_full_dec19,391166,16,solvedCorrect,-0.05555555555555555,17e120dd,click,-5000.111111111111,2,8.183,1_0,1511924540064,1511924531881,39,False,8,"6,hard,full",-0.05555555555555555
17,logs/6_hard_full_dec19,399590,0,solvedCorrect,50000.680555555555,17e120dd,click,50000.680555555555,1,8.424,4_2,1511924548488,1511924540064,40,False,9,"6,hard,full",2.861111111111111
25,logs/6_hard_full_dec19,88573,2,solvedCorrect,4.215193452380952,18dac9ef,,2.8463718820861676,1,88.555,0_3,1513540624280,1513540535725,1,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,95754,23,solvedCorrect,0,18dac9ef,click,-5001.126666666666,2,7.181,3_0,1513540631461,1513540624280,2,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,111122,7,solvedCorrect,3.7293771258503403,18dac9ef,click,0.8689236111111112,1,15.368,0_5,1513540646829,1513540631461,3,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,113257,20,solvedCorrect,-0.17447916666666666,18dac9ef,click,-4.66937641723356,2,2.135,2_3,1513540648964,1513540646829,4,False,4,"6,hard,full",-0.2213718820861678
21,logs/6_hard_full_dec19,114243,0,solvedCorrect,5000.055555555556,18dac9ef,click,5000.055555555556,1,0.986,0_2,1513540649950,1513540648964,5,False,5,"6,hard,full",3.9221889172335604
25,logs/6_hard_full_dec19,11065,3,wrong,4.215193452380952,20bfd7bd,,2.728560799319728,1,10.985,2_2,1511905552385,1511905541400,1,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,15889,23,wrong,0,20bfd7bd,click,-50001.166371882086,2,4.824,2_3,1511905557209,1511905552385,2,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,23623,0,wrong,50000.61892361111,20bfd7bd,click,50000.61892361111,1,7.734,3_2,1511905564943,1511905557209,3,False,3,"6,hard,full",9.042743764172336
22,logs/6_hard_full_dec19,26156,19,wrong,-0.1111111111111111,20bfd7bd,click,-7.825556264172334,2,2.533,4_3,1511905567476,1511905564943,4,False,4,"6,hard,full",-0.1111111111111111
21,logs/6_hard_full_dec19,27822,0,wrong,5032.243923611111,20bfd7bd,click,5032.243923611111,1,1.666,0_2,1511905569142,1511905567476,5,False,5,"6,hard,full",5000.2847399376415
