,board,entropy,solvers,state
0,6_hard_pruned,2.26438254906,0.0919881305638,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
1,6_hard_full,1.38797590353,0.138888888889,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
2,6_hard_pruned,0.629574901911,0.184615384615,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
3,6_hard_full,0.129740694719,0.185714285714,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
4,6_hard_pruned,0.956488227918,0.224489795918,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
5,6_hard_full,0.382944425236,0.174603174603,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
6,6_hard_pruned,0.339878830414,0.25,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
7,6_hard_full,0.0870995231918,0.137931034483,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
8,6_hard_pruned,1.45880083012,0.10447761194,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
9,6_hard_full,1.16507772422,0.131578947368,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]"
