,board,path_length,wasserstein
0,6_easy_full,5,0.00363358776527
1,6_easy_full,4,0.00344465290807
2,6_easy_full,7,0.00342115029499
3,6_easy_full,8,0.00396812749004
4,6_easy_full,1,0.0277593984211
5,6_easy_full,3,0.00340239045618
6,6_easy_full,6,0.00363358778626
7,6_easy_full,2,0.00581512609244
8,6_easy_pruned,5,0.0034467289514
9,6_easy_pruned,3,0.00368724280247
10,6_easy_pruned,1,0.0460693816471
11,6_easy_pruned,2,0.00769377989474
12,6_easy_pruned,6,0.00387376725838
13,6_easy_pruned,4,0.00351908398092
14,10_easy_full,3,0.00322463770833
15,10_easy_full,4,0.00306713780742
16,10_easy_full,7,0.00329927011131
17,10_easy_full,2,0.0034844074948
18,10_easy_full,1,0.0116140351228
19,10_easy_full,8,0.00363358778626
20,10_easy_full,5,0.00324637684058
21,10_easy_full,6,0.0033664825046
22,10_easy_pruned,6,0.0038431372549
23,10_easy_pruned,3,0.00347565544195
24,10_easy_pruned,2,0.00390598289957
25,10_easy_pruned,4,0.0033664824825
26,10_easy_pruned,1,0.0125714286607
27,10_easy_pruned,5,0.00354716978868
28,6_hard_full,4,0.00302664298401
29,6_hard_full,5,0.00310479575666
30,6_hard_full,7,0.0033529412114
31,6_hard_full,3,0.00320467837427
32,6_hard_full,2,0.00504977573285
33,6_hard_full,6,0.00338007383579
34,6_hard_full,10,0.0039051383419
35,6_hard_full,9,0.00357575756439
36,6_hard_full,8,0.00357575760038
37,6_hard_full,1,0.0286290470435
38,6_hard_pruned,5,0.00323327304159
39,6_hard_pruned,2,0.00548314609738
40,6_hard_pruned,4,0.00351698113208
41,6_hard_pruned,7,0.00336648253775
42,6_hard_pruned,8,0.00392079207921
43,6_hard_pruned,6,0.00356143669376
44,6_hard_pruned,3,0.00349800796813
45,6_hard_pruned,1,0.0270526315789
46,10_hard_full,4,0.00372200773745
47,10_hard_full,3,0.00379607843333
48,10_hard_full,5,0.00384313725686
49,10_hard_full,2,0.00393028321786
50,10_hard_full,9,0.00387401575197
51,10_hard_full,6,0.00388954635108
52,10_hard_full,1,0.0172830188679
53,10_hard_full,7,0.00382778865166
54,10_hard_full,10,0.00395228628032
55,10_hard_full,8,0.00388954635306
56,10_hard_pruned,3,0.00351515152083
57,10_hard_pruned,7,0.00350469044465
58,10_hard_pruned,4,0.00354716978679
59,10_hard_pruned,8,0.00390513834387
60,10_hard_pruned,6,0.00360456272433
61,10_hard_pruned,1,0.01871999994
62,10_hard_pruned,5,0.003421150282
63,10_hard_pruned,2,0.00418264840639
64,10_medium_full,8,0.00379727095712
65,10_medium_full,5,0.00367754319194
66,10_medium_full,2,0.00428310502283
67,10_medium_full,3,0.00382745097451
68,10_medium_full,7,0.00347663552897
69,10_medium_full,10,0.00396812749004
70,10_medium_full,4,0.00359013282543
71,10_medium_full,1,0.0205714285873
72,10_medium_full,9,0.00381249999219
73,10_medium_full,6,0.00356143669754
74,10_medium_pruned,4,0.00350469042402
75,10_medium_pruned,2,0.00420560748131
76,10_medium_pruned,5,0.00350469041276
77,10_medium_pruned,3,0.00372200772394
78,10_medium_pruned,6,0.00382778865166
79,10_medium_pruned,8,0.002
80,10_medium_pruned,1,0.0195254237288
81,10_medium_pruned,7,0.00392079207723
