,board_name,counts,path,path_length,probability
0,6_easy_full,4,"[[4, 5, 1]]",1,0.114285714
1,6_easy_full,5,"[[1, 5, 1]]",1,0.142857143
2,6_easy_full,2,"[[4, 4, 1]]",1,0.057142857
3,6_easy_full,7,"[[3, 5, 1]]",1,0.2
4,6_easy_full,5,"[[1, 4, 1]]",1,0.142857143
5,6_easy_full,1,"[[5, 5, 1]]",1,0.028571429
6,6_easy_full,2,"[[2, 5, 1]]",1,0.057142857
7,6_easy_full,3,"[[3, 1, 1]]",1,0.085714286
8,6_easy_full,1,"[[1, 0, 1]]",1,0.028571429
9,6_easy_full,1,"[[5, 3, 1]]",1,0.028571429
10,6_easy_full,3,"[[0, 2, 1]]",1,0.085714286
11,6_easy_full,1,"[[4, 1, 1]]",1,0.028571429
12,6_easy_full,1,"[[1, 5, 1], [2, 5, 2]]",2,0.018867925
13,6_easy_full,1,"[[0, 5, 1], [1, 5, 2]]",2,0.018867925
14,6_easy_full,1,"[[1, 4, 1], [4, 5, 2]]",2,0.018867925
15,6_easy_full,1,"[[5, 0, 1], [3, 1, 2]]",2,0.018867925
16,6_easy_full,1,"[[5, 2, 1], [4, 1, 2]]",2,0.018867925
17,6_easy_full,1,"[[4, 1, 1], [4, 5, 2]]",2,0.018867925
18,6_easy_full,1,"[[3, 1, 1], [1, 4, 2]]",2,0.018867925
19,6_easy_full,1,"[[4, 4, 1], [4, 1, 2]]",2,0.018867925
20,6_easy_full,1,"[[1, 4, 1], [3, 1, 2]]",2,0.018867925
21,6_easy_full,2,"[[0, 5, 1], [4, 1, 2]]",2,0.037735849
22,6_easy_full,1,"[[3, 5, 1], [1, 4, 2]]",2,0.018867925
23,6_easy_full,1,"[[4, 5, 1], [3, 5, 2]]",2,0.018867925
24,6_easy_full,1,"[[5, 5, 1], [4, 4, 2]]",2,0.018867925
25,6_easy_full,8,"[[1, 5, 1], [1, 4, 2]]",2,0.150943396
26,6_easy_full,1,"[[5, 2, 1], [2, 5, 2]]",2,0.018867925
27,6_easy_full,1,"[[0, 2, 1], [1, 4, 2]]",2,0.018867925
28,6_easy_full,1,"[[1, 5, 1], [3, 5, 2]]",2,0.018867925
29,6_easy_full,2,"[[3, 5, 1], [0, 2, 2]]",2,0.037735849
30,6_easy_full,2,"[[4, 4, 1], [1, 4, 2]]",2,0.037735849
31,6_easy_full,2,"[[1, 4, 1], [3, 5, 2]]",2,0.037735849
32,6_easy_full,1,"[[0, 5, 1], [3, 5, 2]]",2,0.018867925
33,6_easy_full,2,"[[4, 4, 1], [3, 5, 2]]",2,0.037735849
34,6_easy_full,1,"[[0, 0, 1], [0, 2, 2]]",2,0.018867925
35,6_easy_full,1,"[[5, 5, 1], [3, 1, 2]]",2,0.018867925
36,6_easy_full,1,"[[0, 5, 1], [2, 5, 2]]",2,0.018867925
37,6_easy_full,1,"[[2, 5, 1], [1, 5, 2]]",2,0.018867925
38,6_easy_full,7,"[[0, 2, 1], [3, 5, 2]]",2,0.132075472
39,6_easy_full,1,"[[4, 1, 1], [2, 5, 2]]",2,0.018867925
40,6_easy_full,2,"[[0, 5, 1], [0, 2, 2]]",2,0.037735849
41,6_easy_full,5,"[[1, 4, 1], [1, 5, 2]]",2,0.094339623
42,6_easy_full,1,"[[0, 2, 1], [2, 5, 2], [5, 2, 1]]",3,0.022727273
43,6_easy_full,1,"[[3, 1, 1], [4, 1, 2], [4, 4, 1]]",3,0.022727273
44,6_easy_full,1,"[[5, 0, 1], [5, 1, 2], [4, 1, 1]]",3,0.022727273
