userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,path_after,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action,solution
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396680383,69074,1,5.776515014289737,4,33.41908777120315,21.694444444444443,77,5.776515014289737,-0.19401927437641722,[],0.044546802858036146,0.044546802858036146,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",5_3,"[[5, 3, 1]]",69.048,0,,1,1,True,1554396611335,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396685392,74083,2,100,0,100,100,76,-105.77651501428974,-100,"[[5, 3, 1]]",0.22638978056019315,0.010084940923688989,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",4_4,"[[5, 3, 1], [4, 4, 2]]",5.009,5.009,click,2,2,False,1554396680383,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,undo,1554396690747,79438,2,-100,,,,,-105.77651501428974,-100,"[[5, 3, 1], [4, 4, 2]]",0.22638978056019315,0.010084940923688989,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",4_4,"[[5, 3, 1], [4, 4, 2]]",5.355,5.355,click,,2,,1554396685392,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,undo,1554396691515,80206,1,-100,,,,,-105.77651501428974,68.73931969434719,"[[5, 3, 1]]",0.22638978056019315,0.044546802858036146,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",5_3,"[[5, 3, 1]]",0.768,6.123,undo,,1,,1554396690747,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,reset,1554396696149,84840,,0,,,,,33.41908777120315,33.41908777120315,[],0.22638978056019315,0.044546802858036146,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",,[],4.634,10.757,undo,,0,,1554396691515,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396721037,109728,1,33.41908777120315,0,33.41908777120315,21.694444444444443,77,33.41908777120315,100,[],0.2577175420719401,0.2577175420719401,2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",2_4,"[[2, 4, 1]]",24.888,35.645,reset,3,1,True,1554396696149,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396727322,116013,2,10,0,10,-100,76,-43.41908777120315,31.36111111111111,"[[2, 4, 1]]",1.0,0.2577175420719401,2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 1, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",6_0,"[[2, 4, 1], [6, 0, 2]]",6.285,6.285,click,4,2,False,1554396721037,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396730988,119679,1,21.899166666666666,1,31.36111111111111,21.899166666666666,75,31.899166666666666,100,"[[2, 4, 1], [6, 0, 2]]",0.16493832703022965,0.042507500235688625,2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 1, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",2_7,"[[2, 4, 1], [6, 0, 2], [2, 7, 1]]",3.666,3.666,click,5,3,False,1554396727322,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,click,1554396733590,122281,2,10,0,10,-100,74,-31.899166666666666,11.337049302955895,"[[2, 4, 1], [6, 0, 2], [2, 7, 1]]",1.0,0.042507500235688625,2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 0, 1, 1, 1, 1, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",2_3,"[[2, 4, 1], [6, 0, 2], [2, 7, 1], [2, 3, 2]]",2.602,2.602,click,6,4,False,1554396730988,e8
18a4334a,10_hard_full_11072019_old,10,hard,full,solvedCorrect,reset,1554396742211,130902,2,-10,,,,,21.337049302955897,11.337049302955895,"[[2, 4, 1], [6, 0, 2], [2, 7, 1], [2, 3, 2]]",1.0,0.042507500235688625,2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 2, 1, 1, 1, 1, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",,"[[2, 4, 1], [6, 0, 2], [2, 7, 1], [2, 3, 2]]",8.621,8.621,click,,4,,1554396733590,e8
