,board,correct,inverse_computation,k,move_limit,noise,shutter_size
93,10_medium_pruned,0.45,0.00108230964879,5,50,0.05,0.5
94,6_easy_full,0.73,0.00978186442336,5,50,0.05,0.0
95,6_easy_pruned,0.82,0.0144801621778,5,50,0.05,0.0
96,6_hard_full,0.29,0.00418077678833,5,50,0.05,0.0
97,6_hard_pruned,0.3,0.00450024751361,5,50,0.05,0.0
98,10_easy_full,0.22,0.00197433366239,10,50,0.05,0.0
99,10_easy_full,0.33,0.000894382384245,10,50,0.05,0.5
100,10_easy_pruned,0.44,0.00199171446781,10,50,0.05,0.0
101,10_hard_full,0.24,0.00184719964534,10,50,0.05,0.0
102,10_hard_pruned,0.09,0.00185949644836,10,50,0.05,0.0
103,10_medium_full,0.1,0.00171570730033,10,50,0.05,0.0
104,10_medium_pruned,0.47,0.00167560321716,10,50,0.05,0.0
105,6_easy_full,0.75,0.0106450926123,10,50,0.05,0.0
106,6_easy_full,0.86,0.00564334085779,10,50,0.05,0.5
107,6_easy_pruned,0.89,0.00988044659619,10,50,0.05,0.0
108,6_hard_full,0.15,0.00408163265306,10,50,0.05,0.0
109,6_hard_pruned,0.13,0.00467136917831,10,50,0.05,0.0
110,10_easy_full,0.22,0.00198180701163,5,50,0.1,0.0
111,10_easy_pruned,0.46,0.00267265341031,5,50,0.1,0.0
112,10_hard_full,0.29,0.0018437937901,5,50,0.1,0.0
113,10_hard_pruned,0.16,0.00187663032259,5,50,0.1,0.0
114,10_medium_full,0.11,0.00174596246181,5,50,0.1,0.0
115,10_medium_pruned,0.41,0.00234038569556,5,50,0.1,0.0
116,6_easy_full,0.77,0.00984348853234,5,50,0.1,0.0
117,6_easy_pruned,0.93,0.0148345942738,5,50,0.1,0.0
118,6_hard_full,0.42,0.00411742907728,5,50,0.1,0.0
119,6_hard_pruned,0.28,0.00455414882958,5,50,0.1,0.0
120,10_easy_full,0.32,0.00200240288346,10,50,0.1,0.0
121,10_easy_pruned,0.48,0.00200988865217,10,50,0.1,0.0
122,10_hard_full,0.22,0.00184767746942,10,50,0.1,0.0
123,10_hard_pruned,0.07,0.00183614263156,10,50,0.1,0.0
124,10_medium_full,0.08,0.0017380120618,10,50,0.1,0.0
125,10_medium_pruned,0.35,0.00168429562757,10,50,0.1,0.0
126,6_easy_full,0.71,0.0103626943005,10,50,0.1,0.0
127,6_easy_full,0.83,0.00586097761107,10,50,0.1,0.5
128,6_easy_pruned,0.87,0.00984251968504,10,50,0.1,0.0
129,6_easy_pruned,0.98,0.00473529690312,10,50,0.1,1.0
130,6_hard_full,0.17,0.00411861614498,10,50,0.1,0.0
131,6_hard_pruned,0.16,0.00475036815353,10,50,0.1,0.0
132,10_easy_full,0.31,0.00196293969849,5,50,0.2,0.0
133,10_easy_pruned,0.45,0.00268434756932,5,50,0.2,0.0
134,10_hard_full,0.28,0.00185563184264,5,50,0.2,0.0
135,10_hard_pruned,0.15,0.00181481615912,5,50,0.2,0.0
136,10_medium_full,0.1,0.00172013417047,5,50,0.2,0.0
137,10_medium_pruned,0.39,0.0024448682216,5,50,0.2,0.0
138,6_easy_full,0.68,0.0100250626566,5,50,0.2,0.0
139,6_easy_full,0.83,0.00495834986117,5,50,0.2,1.0
140,6_easy_pruned,0.9,0.0144071459444,5,50,0.2,0.0
141,6_hard_full,0.31,0.00411997363217,5,50,0.2,0.0
142,6_hard_pruned,0.22,0.00470809792844,5,50,0.2,0.0
143,10_easy_full,0.31,0.00205044084478,10,50,0.2,0.0
144,10_easy_pruned,0.46,0.00200252317921,10,50,0.2,0.0
145,10_hard_full,0.26,0.00184355585052,10,50,0.2,0.0
146,10_hard_pruned,0.1,0.00182989313424,10,50,0.2,0.0
147,10_medium_full,0.07,0.00173025348214,10,50,0.2,0.0
148,10_medium_pruned,0.39,0.00169113170534,10,50,0.2,0.0
149,6_easy_full,0.84,0.0107284626113,10,50,0.2,0.0
150,6_easy_pruned,0.89,0.0097238428627,10,50,0.2,0.0
151,6_hard_full,0.11,0.00408163265306,10,50,0.2,0.0
152,6_hard_pruned,0.17,0.00476145129035,10,50,0.2,0.0
153,10_easy_full,0.25,0.00193419856482,5,50,0.3,0.0
154,10_easy_pruned,0.49,0.00266191071951,5,50,0.3,0.0
155,10_hard_full,0.25,0.00185487461048,5,50,0.3,0.0
156,10_hard_pruned,0.23,0.00185253797703,5,50,0.3,0.0
157,10_medium_full,0.06,0.00175217269414,5,50,0.3,0.0
158,10_medium_full,0.12,0.000781408723647,5,50,0.3,0.5
159,10_medium_pruned,0.36,0.00233852485852,5,50,0.3,0.0
160,6_easy_full,0.67,0.0100492412823,5,50,0.3,0.0
161,6_easy_full,0.78,0.00578804190542,5,50,0.3,0.5
162,6_easy_pruned,0.93,0.0138255219135,5,50,0.3,0.0
163,6_hard_full,0.25,0.00423298340671,5,50,0.3,0.0
164,6_hard_pruned,0.18,0.00467923822002,5,50,0.3,0.0
165,10_easy_full,0.25,0.00196865894952,10,50,0.3,0.0
166,10_easy_pruned,0.55,0.0020571052415,10,50,0.3,0.0
167,10_hard_full,0.13,0.00188636535124,10,50,0.3,0.0
168,10_hard_pruned,0.12,0.00180946349407,10,50,0.3,0.0
169,10_medium_full,0.14,0.00172714554656,10,50,0.3,0.0
170,10_medium_pruned,0.31,0.00167804943534,10,50,0.3,0.0
171,6_easy_full,0.77,0.010055304173,10,50,0.3,0.0
172,6_easy_pruned,0.88,0.00989315393748,10,50,0.3,0.0
173,6_hard_full,0.13,0.00422119037569,10,50,0.3,0.0
174,6_hard_pruned,0.2,0.00472478147886,10,50,0.3,0.0
175,10_easy_full,0.3,0.0012171521075,5,100,0.05,0.0
176,10_easy_pruned,0.42,0.00266766259404,5,100,0.05,0.0
177,10_easy_pruned,0.55,0.00115610946044,5,100,0.05,0.5
178,10_hard_full,0.23,0.00102227538054,5,100,0.05,0.0
179,10_hard_pruned,0.21,0.0012542330365,5,100,0.05,0.0
180,10_medium_full,0.07,0.00102285047972,5,100,0.05,0.0
181,10_medium_pruned,0.41,0.00224911160092,5,100,0.05,0.0
182,6_easy_full,0.69,0.00629366228208,5,100,0.05,0.0
183,6_easy_pruned,0.89,0.0146198830409,5,100,0.05,0.0
184,6_easy_pruned,0.95,0.00915583226515,5,100,0.05,0.5
185,6_hard_full,0.32,0.00255297421496,5,100,0.05,0.0
186,6_hard_pruned,0.18,0.00343076711953,5,100,0.05,0.0
187,10_easy_full,0.28,0.00108679114048,10,100,0.05,0.0
188,10_easy_pruned,0.47,0.00148062600868,10,100,0.05,0.0
189,10_hard_full,0.23,0.00102132527167,10,100,0.05,0.0
190,10_hard_pruned,0.12,0.00100225507392,10,100,0.05,0.0
191,10_medium_full,0.12,0.000949965326266,10,100,0.05,0.0
192,10_medium_pruned,0.32,0.00135036594917,10,100,0.05,0.0
193,6_easy_full,0.7,0.00584692743963,10,100,0.05,0.0
194,6_easy_pruned,0.9,0.00734699875101,10,100,0.05,0.0
195,6_hard_full,0.23,0.00234252383518,10,100,0.05,0.0
196,6_hard_pruned,0.2,0.00269171758499,10,100,0.05,0.0
197,10_easy_full,0.31,0.00123033009757,5,100,0.1,0.0
198,10_easy_pruned,0.55,0.00258638526795,5,100,0.1,0.0
199,10_hard_full,0.28,0.00102365670649,5,100,0.1,0.0
200,10_hard_pruned,0.1,0.00127621016629,5,100,0.1,0.0
201,10_hard_pruned,0.19,0.00045709479689,5,100,0.1,1.0
202,10_medium_full,0.03,0.00103133186197,5,100,0.1,0.0
203,10_medium_full,0.16,0.000436022428994,5,100,0.1,0.5
204,10_medium_pruned,0.34,0.00235949223727,5,100,0.1,0.0
205,6_easy_full,0.7,0.00616142945163,5,100,0.1,0.0
206,6_easy_pruned,0.86,0.0140134529148,5,100,0.1,0.0
207,6_hard_full,0.34,0.00257168574,5,100,0.1,0.0
208,6_hard_pruned,0.17,0.00334515287349,5,100,0.1,0.0
209,6_hard_pruned,0.29,0.00173638242086,5,100,0.1,0.5
210,10_easy_full,0.34,0.00110786138438,10,100,0.1,0.0
211,10_easy_pruned,0.53,0.00139468068786,10,100,0.1,0.0
212,10_hard_full,0.21,0.00101985660816,10,100,0.1,0.0
213,10_hard_pruned,0.19,0.00100926505319,10,100,0.1,0.0
