userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,score_move_non_zero,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,deltaScoreByScore,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
c7fffe38,6_hard_pruned,6,hard,pruned,wrong,reset,1.51192E+12,184038,1,-10000,-10000,,,,,0,0,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 0, 1], [2, 3, 2], [4, 3, 1]]",0.058823529,6.12E-06,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 2, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.433,3.433,click,,7,,1.51192E+12
c7fffe38,6_hard_pruned,6,hard,pruned,wrong,reset,1.51192E+12,252331,1,10000,10000,,,,,0,0,"[[2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.99418907,0.000106771,4,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,16.22,16.22,click,,5,,1.51192E+12
c9f64da2,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,72561,1,-10000,-10000,,,,,-9997.72,-0.999772,"[[4, 0, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [2, 2, 1], [3, 2, 2], [3, 4, 1]]",0.0001,5.77E-17,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 2, 2, 1, 0], [1, 1, 2, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.821,3.821,click,,7,,1.52209E+12
d2f65bb5,6_hard_pruned,6,hard,pruned,wrong,reset,1.5221E+12,25070,2,-10000,-10000,,,,,-20000,-2,"[[2, 2, 1], [2, 0, 2], [3, 2, 1], [4, 2, 2], [2, 3, 1], [2, 4, 2]]",0.332501793,6.57E-06,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [2, 1, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.704,6.704,click,,6,,1.5221E+12
d2f65bb5,6_hard_pruned,6,hard,pruned,wrong,reset,1.5221E+12,33502,2,10000,10000,,,,,0,0,"[[2, 2, 1], [2, 0, 2], [3, 2, 1], [4, 2, 2]]",0.05,3.97E-05,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 0, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,0.921,0.921,click,,4,,1.5221E+12
d2f65bb5,6_hard_pruned,6,hard,pruned,wrong,reset,1.5221E+12,49230,2,-1.39,-1.39,,,,,-6.847121599,-4.925986762,"[[2, 2, 1], [0, 2, 2]]",0.014446338,0.001209697,3,"[[0, 2, 2, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,11.522,11.522,click,,2,,1.5221E+12
d2f65bb5,6_hard_pruned,6,hard,pruned,wrong,reset,1.5221E+12,59956,2,10000,10000,,,,,0,0,"[[2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2]]",0.05,0.000107395,4,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.175,2.175,click,,4,,1.5221E+12
d2f65bb5,6_hard_pruned,6,hard,pruned,wrong,reset,1.5221E+12,78892,1,10000,10000,,,,,10011,1.0011,"[[2, 2, 1], [2, 0, 2], [2, 3, 1], [2, 4, 2], [3, 2, 1], [0, 2, 2], [4, 2, 1]]",0.332565299,2.67E-14,5,"[[0, 2, 2, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,7.728,7.728,click,,7,,1.5221E+12
d4fac87b,6_hard_pruned,6,hard,pruned,wrong,reset,1.51354E+12,76884,1,7.208754252,7.208754252,,,,,7.208754252,1,"[[3, 2, 1]]",0.110615276,0.110615276,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,15.195,15.195,click,,1,,1.51354E+12
d4fac87b,6_hard_pruned,6,hard,pruned,wrong,reset,1.51354E+12,145537,2,-11.43875283,-11.43875283,,,,,9988.561247,873.2211799,"[[4, 2, 1], [4, 3, 2], [5, 3, 1], [2, 0, 2], [2, 2, 1], [3, 2, 2]]",0.000380759,4.65E-20,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 2, 0, 1, 2, 0]]",,4.087,4.087,click,,6,,1.51354E+12
