,userid,player,missed_win
0,11dfe866,1.0,0.0
1,11dfe866,2.0,1.0
2,12ebbfd2,1.0,0.0
3,13b7468e,1.0,0.0
4,13b7468e,2.0,1.0
5,13dbbfb8,1.0,0.0
6,13dbbfb8,2.0,0.6
7,13f4ff5a,1.0,0.5
8,13f4ff5a,2.0,0.833333333333
9,16d516ad,1.0,0.0
10,16d516ad,2.0,1.0
11,16e512d0,1.0,0.0
12,16e512d0,2.0,1.0
13,16f6e58d,1.0,0.5
14,16f6e58d,2.0,0.666666666667
15,17e120dd,1.0,0.5
16,17e120dd,2.0,0.142857142857
17,18c75602,1.0,0.0
18,18dac9ef,1.0,0.0
19,19a105e3,1.0,0.0
20,19a105e3,2.0,0.666666666667
21,19b680e2,1.0,0.0
22,1bd72c42,1.0,0.0
23,1dac01e7,1.0,1.0
24,1dac01e7,2.0,1.0
25,1de715c7,1.0,0.0
26,1df6940e,1.0,0.0
27,1fdbc072,1.0,0.0
28,1ff4f828,1.0,0.0
29,1ff4f828,2.0,0.666666666667
30,20bfd7bd,1.0,0.0
31,20bfd7bd,2.0,0.333333333333
32,21abc061,1.0,0.6
33,21abc061,2.0,0.666666666667
34,25cfdeaf,1.0,0.5
35,25cfdeaf,2.0,1.0
36,25dfef96,1.0,0.333333333333
37,25dfef96,2.0,1.0
38,26dbf6e9,1.0,0.0
39,26dbf6e9,2.0,0.0
40,26e680e4,2.0,1.0
41,28d4fefb,1.0,0.25
42,28d4fefb,2.0,0.833333333333
43,28e67c08,1.0,0.0
44,2aabe76a,1.0,1.0
45,2aabe76a,2.0,1.0
46,2afbbf79,1.0,0.2
47,2afbbf79,2.0,0.8
48,2bd72f3e,1.0,0.0
49,2dca846d,1.0,0.0
50,2dca846d,2.0,1.0
51,2dfbc35a,1.0,0.333333333333
52,2fb4f99a,1.0,0.0
53,2fe692a5,1.0,0.0
54,2ff50f64,1.0,0.0
55,2ff50f64,2.0,1.0
56,30e4feac,1.0,0.666666666667
57,30e4feac,2.0,1.0
58,31b4fc9e,1.0,0.0
59,31b4fc9e,2.0,1.0
60,32ebf2e8,1.0,0.6
61,32ebf2e8,2.0,0.833333333333
62,32fad07f,1.0,0.125
63,33a74451,1.0,0.25
64,33a74451,2.0,1.0
65,33b693e2,1.0,0.0
66,33b693e2,2.0,1.0
67,33bbca9a,1.0,0.0
68,33ebe68d,1.0,0.0
69,33ebe68d,2.0,0.0
70,34cffc40,2.0,1.0
71,34d51755,1.0,0.0
72,36ebe4da,1.0,0.0
73,38abe966,1.0,0.0
74,38cbc1f6,1.0,0.5
75,38cbc1f6,2.0,1.0
76,38ebbf94,1.0,1.0
77,38ebbf94,2.0,0.6
78,39afd1eb,1.0,0.0
79,39afd1eb,2.0,1.0
80,3ac5170c,1.0,0.0
81,3ac5170c,2.0,1.0
82,3acff9fa,1.0,0.0
83,3bac0799,1.0,0.0
84,3df11bae,1.0,0.333333333333
85,3df11bae,2.0,0.25
86,3ed1161d,1.0,0.0
87,3ed1161d,2.0,1.0
88,3fcbc0ab,1.0,1.0
89,3fcbc0ab,2.0,0.4
90,40a74de0,1.0,0.0
91,41bad9a2,1.0,0.0
92,41bad9a2,2.0,0.857142857143
93,42f75809,1.0,0.0
94,43c516b5,1.0,0.333333333333
95,43c516b5,2.0,1.0
96,44a4fa14,1.0,0.0
97,44a4fa14,2.0,0.5
98,48c70a00,2.0,0.833333333333
99,48ec02bc,1.0,0.625
100,48ec02bc,2.0,1.0
101,49c72e9b,1.0,0.0
102,4bca7fc9,1.0,0.0
103,4bca7fc9,2.0,1.0
104,4cb73467,1.0,0.2
105,4cb73467,2.0,1.0
106,4cffe209,1.0,0.5
107,4cffe209,2.0,1.0
108,4dc50d03,2.0,1.0
109,4de4f27d,1.0,0.25
110,4de4f27d,2.0,1.0
111,4eb4f441,1.0,0.0
112,4ed755f1,2.0,1.0
113,4fba815c,1.0,0.2
114,54d4fd9d,1.0,0.666666666667
115,54d4fd9d,2.0,1.0
116,54f6b927,1.0,0.5
117,55a709fd,2.0,0.5
118,56e6f5d2,1.0,0.0
119,56e6f5d2,2.0,0.5
120,58e72ee8,1.0,0.0
121,58e72ee8,2.0,1.0
122,59d51c4c,1.0,1.0
123,59d51c4c,2.0,0.666666666667
124,5acfeabc,1.0,0.0
125,5adff9a5,1.0,0.333333333333
126,5adff9a5,2.0,0.5
127,5aebf3c2,1.0,0.0
128,5aebf3c2,2.0,0.833333333333
129,5bc4f225,1.0,0.0
130,5cd6bb63,1.0,0.571428571429
131,5cd6bb63,2.0,0.583333333333
132,5dbfe29c,1.0,0.333333333333
133,5dbfe29c,2.0,0.0
134,5de11557,1.0,0.5
135,5de11557,2.0,0.7
136,5edbbf73,1.0,0.0
137,5edbbf73,2.0,0.25
138,5efbf191,1.0,0.0
139,5efbf191,2.0,0.75
140,65f68460,1.0,0.0
141,67abc3ab,1.0,0.5
142,67abc3ab,2.0,0.583333333333
143,67abf219,1.0,0.0
144,67abf219,2.0,1.0
145,67eac875,1.0,0.727272727273
146,67eac875,2.0,0.705882352941
147,67f69d24,1.0,0.0
148,67f69d24,2.0,1.0
149,69bad0fe,1.0,0.0
150,69bad0fe,2.0,0.294117647059
151,6ac7311a,2.0,0.777777777778
152,6bb10472,1.0,0.0
153,6bca8117,1.0,0.333333333333
154,6bca8117,2.0,1.0
155,6bf51f66,1.0,0.0
156,6bf51f66,2.0,0.6
157,6cbbcdf7,1.0,0.0
158,6cbbcdf7,2.0,1.0
159,6db76212,1.0,0.0
160,6dd103e2,1.0,0.5
161,6dd103e2,2.0,1.0
162,6dfbeafe,2.0,1.0
163,6fc70a09,1.0,0.0
164,6fc70a09,2.0,1.0
165,70bffd4d,2.0,0.230769230769
166,70da8cfb,1.0,0.0
167,70da8cfb,2.0,0.555555555556
168,71ebc315,1.0,0.0
169,72e6961c,1.0,0.0
170,7acbc3e2,1.0,0.5
171,7acbc3e2,2.0,1.0
172,7cc119e0,1.0,0.2
173,7cc119e0,2.0,1.0
174,7db4f1d2,1.0,0.0
175,7db4f1d2,2.0,1.0
176,7dd704e0,1.0,0.0909090909091
177,7dd704e0,2.0,0.5
178,7dea8d37,1.0,0.5
179,7dea8d37,2.0,0.785714285714
180,81a10227,1.0,0.0
181,81a10227,2.0,1.0
182,81c11c9f,1.0,0.333333333333
183,84dbf4f9,1.0,0.0
184,84dbf4f9,2.0,1.0
185,85e50169,1.0,0.25
186,86f6e2cb,1.0,0.5
187,86f6e2cb,2.0,0.666666666667
188,87b50908,1.0,0.0
189,87b50908,2.0,0.375
190,8aa6d830,1.0,0.222222222222
191,8aa6d830,2.0,0.714285714286
192,8ab71c6b,1.0,0.0
193,8de6a2af,1.0,0.0
194,8df4f6e8,1.0,0.0
195,8df4f6e8,2.0,0.5
196,8ea50714,1.0,0.6
