userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
5dd4c056,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.889582270960689,-1.532518027075026,-1.2996283147084189,-0.8937788734415548,-0.5982531848910273,-0.851824192426995,-0.5659004931580642
5edbbf73,6_hard_full,6,hard,full,interaction,0.2,100,-2.860437990381411,-2.519288408079639,-2.4391910539380657,-2.062110483305456,-2.3083641305875755,-2.2028088857421197,-2.380134678555282
5fd6115c,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.30466530059096,-2.1839266743017083,-1.2327719217520465
63c4bfcb,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.412177773452519,-3.626130760863139,-3.620684818529075,-3.7898833134671133,-4.045233700811679,-2.067729452248584,-1.9755847318562223
63e5efe1,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7297203660955525,-2.170486628544567,-2.003358472581907,-1.7582672216525335,-1.576306290862413,-1.6495940227486152,-1.4800150173405122
64f61543,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.2941152184057327,-2.1861677876970744,-2.0914620084527793,-2.0346497734709774,-1.7132793639688861,-1.8248530552066726,-1.648125474709935
67eac875,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.4170319042297823,-2.933416916205849,-3.022423598767891,-3.146580437743326,-3.0778922612292456,-2.800395495962594,-2.7390784178261387
68d5e249,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.594406170206342,-2.422527480826782,-2.342606970275698,-2.084746299494884,-2.234926676589294,-1.7268218807497764,-1.7783895507696423
69bad0fe,6_hard_full,6,hard,full,interaction,0.2,100,-2.873424456406498,-2.1176096255946195,-1.9951070476849757,-1.7880321746579488,-1.8205837040489738,-2.141552256169873,-2.22292428174154
6bf51f66,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.812470899002935,-2.620873577387205,-2.5574905765394935,-2.129255334379202,-2.448674796303426,-2.0812346280263583,-2.3494720119684076
6ee61190,6_hard_full,6,hard,full,linear,0.2,100,-2.999309713259895,-2.1470455898992924,-2.1472501752556434,-2.415891451725309,-2.4622802636633456,-2.4099365564016164,-2.5759656453045947
70da8cfb,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.754419482634125,-2.202099332938116,-2.1076300826921397,-1.8558774568315657,-1.9600402023124173,-1.5638856906156524,-1.825688299552433
72f4c145,6_hard_full,6,hard,full,blocking,0.2,100,-3.598726174575701,-2.9637430624515244,-3.0029155836728014,-2.8146410838315545,-2.378010838521309,-2.9655597739980353,-2.5033308852346083
74b60b9f,6_hard_full,6,hard,full,density,0.2,100,-3.194555167329578,-3.5602868526678217,-3.5172730603346767,-3.636998085095977,-3.451137208423095,-3.845079085036618,-3.5777775987383507
76e60f84,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.801676040946787,-2.3649805726382103,-2.2795508098428074,-2.268250351706997,-2.0175431650303977,-1.844738006008388,-1.3956739102536613
78f60c95,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.5511963078168467,-1.5362629125726004,-1.343875438560782,-1.0359048878348678,-0.8513259736414633,-0.9977986571446306,-0.822550397383369
7bf4bf38,6_hard_full,6,hard,full,non-linear,0.2,100,-2.624745390772162,-2.170866609605109,-2.091515882285857,-2.1884135559893783,-2.1953114475708215,-2.8031044960398552,-2.9770282288124954
84a4bf3c,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7561800894409725,-2.2101691102677323,-2.0564732527213683,-2.035725501351602,-1.7593693613574641,-2.0128961515756187,-1.7444760927181482
87b50908,6_hard_full,6,hard,full,interaction,0.2,100,-2.8010399953573772,-2.205520831737759,-2.1300947696373735,-1.7082375914680221,-1.960406368704528,-1.9246008484604344,-2.1372926904785516
87f4bf56,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.808587461447505,-3.5678337886048745,-3.6057181745891276,-3.3811998704610984,-3.496536043185988,-3.6339434452812487,-3.3636051304442294
87f610ee,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.343372241924896,-1.9861764135747393,-1.9427385531459724,-2.19920371316958,-2.232674752560288,-1.9078226492185812,-2.2544820955523344
89d60ba4,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.7598495270560446,-2.193758484435904,-2.1065887652190587,-1.9732661586512317,-1.985876052805364,-1.8461160985447274,-1.8747568070979
8ac4c37c,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.133928227399375,-2.84593773730633,-2.714813797448154,-2.410363757102197,-2.3422439775199733,-2.1553481819359983,-1.9673786950266536
8ea4bf56,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.4934009121460274,-2.013307860518604,-1.9045466270355265,-1.507099211770297,-1.7753396252442315,-1.4805471744960235,-1.651491427085717
8fc76287,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.9791003139167063,-2.3020108110914763,-2.2335079419869603,-1.9241975099090542,-1.8225250213052808,-1.9157305029174345,-1.7292953669161724
8fcbec83,6_hard_full,6,hard,full,density,0.2,100,-3.0144266283435135,-3.637381510806761,-3.6850853799617047,-3.9545605760206795,-4.176179921885931,-3.5642828079266677,-3.7700508107701385
90c60de8,6_hard_full,6,hard,full,interaction,0.2,100,-3.251509354272884,-2.5559623648990306,-2.485551573939587,-2.29369349382418,-2.349464374954542,-2.661866544719869,-2.867376596828136
91a61ead,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.776212105751841,-4.018579079846183,-4.122966406045626,-4.576498530388383,-4.50333550354974,-2.3823186261430105,-2.722733644599719
91cfd7fb,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7054154653569658,-2.2958761101722165,-2.146952675293908,-1.8057547707836836,-1.7825753248881233,-1.6865920229178075,-1.626384612211839
92b722f3,6_hard_full,6,hard,full,blocking,0.2,100,-3.0461455936101296,-2.646800395521978,-2.6201919115103838,-2.5629867708091574,-2.557500689797314,-2.6442772669893553,-2.62806579937839
94d6ef33,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.9522268829252414,-2.525878641549467,-2.448293130933742,-2.155997959490074,-2.2726541612728566,-2.0024489044310023,-2.0791908082560067
94e4c554,6_hard_full,6,hard,full,blocking,0.2,100,-3.3778870345800054,-3.053404209596723,-3.0664762767318,-2.7749246807247103,-2.714136205823456,-2.850191728716412,-2.912153096245465
98c4bf54,6_hard_full,6,hard,full,interaction_blind,0.2,100,-3.514779021928634,-3.74516378998355,-3.822490586957239,-3.502503147694526,-3.9451771281287313,-2.6514581692149854,-2.910269869209724
9adbc2df,6_hard_full,6,hard,full,density,0.2,100,-2.4873622118775662,-3.090356641658566,-3.015300763951014,-2.7503037347350223,-3.0916928377817436,-2.8903763812790753,-2.945143259417263
9dc50a3d,6_hard_full,6,hard,full,linear,0.2,100,-3.0843423092773903,-3.0076939389872384,-3.0106035772419215,-3.224150278123439,-3.1696396696911497,-3.5980136993991616,-3.733875264142869
9df60bf8,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.5700631138760164,-2.1692441459950893,-2.12476353932706,-2.215606592628814,-2.431656595606325,-1.7527353896470839,-1.8357661157334202
a2f6ba1d,6_hard_full,6,hard,full,density,0.2,100,-1.8419683427197329,-4.219712244145872,-4.0122879590144445,-3.926386183140082,-3.6930239910340252,-3.8673060869433438,-3.644057687061079
a3d4c3b2,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.873101526693529,-2.7649735757533564,-2.696725721433954,-2.5948907240757753,-2.5716942564098826,-1.883872832944506,-1.716272210701955
a3d5dfda,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7496208894620473,-3.0070207628606647,-3.01167571629761,-2.948103789794069,-2.9958905329675902,-2.7673834969100786,-2.742360987524098
a4c60d7a,6_hard_full,6,hard,full,non-linear,0.2,100,-2.8492984613559784,-2.738134192958568,-2.692022452843996,-2.9793830012520433,-2.8261337568662417,-3.0577565645421907,-3.2224932935647472
a6f610e1,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.8802047846455556,-2.2169379982144433,-2.077103526735385,-1.9341134532743773,-1.8587534976574935,-1.750552943501712,-1.812210597191119
acd61c3d,6_hard_full,6,hard,full,density,0.2,100,-2.9876733674084526,-3.7759246019272164,-3.75023450519812,-4.233468167028635,-4.1286534805194695,-3.76454394854135,-3.906286389978168
ada4c06f,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.0280683396027546,-2.8671542988577454,-2.813334166127867,-2.663209616763962,-2.587937404044538,-2.3176226641399356,-2.247059002832705
b0d518a1,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.16007957985257,-3.168204776247558,-3.118423014945284,-2.9590949450843764,-3.067890099009605,-2.3388528703507996,-2.256496761247756
b2d60bc9,6_hard_full,6,hard,full,interaction,0.2,100,-2.7855971432152673,-2.4815273143898557,-2.4104302451735475,-2.2133682307164992,-2.313755400189705,-2.30403846845567,-2.4414113526538426
b7a4fe27,6_hard_full,6,hard,full,blocking,0.2,100,-3.183438573868798,-2.207033334626834,-2.1685869144626952,-1.8249903381006023,-1.8117337775853863,-2.1853558968355196,-2.2638427481209864
b8e4bf48,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.0883895830436487,-2.1697570036183516,-2.1079685691759265,-1.9877930563552382,-2.4264178728605907,-1.4843187892816188,-1.8240060661407664
bae515f2,6_hard_full,6,hard,full,blocking,0.2,100,-2.3855180977563184,-1.6994959457548793,-1.5328812954877287,-1.1888536998095138,-1.175611590529284,-1.298431965962956,-1.251106021268541
bca5dc5e,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.30466530059096,-2.1839266743017083,-1.2327719217520465
bcdfd2df,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.4031948001109606,-3.308557704906046,-3.332387002150641,-3.117143532166257,-3.044102958825962,-2.8907736761256877,-2.7733921661790464
bed50a1d,6_hard_full,6,hard,full,blocking_blind,0.2,100,-2.9095557403784142,-2.584912359546458,-2.40712223921058,-2.0290260608897492,-1.7966589641987158,-2.048845240263469,-1.7572210358995557
bfa60c8b,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.660855772498943,-2.5209681910169737,-2.386509714236881,-2.147916981279834,-2.2078081243544587,-1.8560754621492233,-1.8685819245427187
bfe4c87d,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.9381880815093164,-2.0848642603592555,-2.026487184186473,-1.9494426498094741,-2.042877743448818,-1.9060034611083874,-2.1197901796560092
c0f60e45,6_hard_full,6,hard,full,interaction,0.2,100,-2.646531955572445,-1.964107624832919,-1.8306589939839035,-1.5110828886876124,-1.61010930226011,-2.0356835589292963,-2.076063331038224
c5e4c4a5,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.7850112422383386,-2.70805020110221,-2.6795785270208974,-2.3521133100562026,-2.9008466819938845,-2.2639989643513947,-2.883442290919569
c6b4c141,6_hard_full,6,hard,full,density,0.2,100,-3.3801503439903304,-5.228920224916993,-5.289397248140065,-5.285395573723047,-5.215987085399061,-4.557943438732221,-4.335364719819232
c6b60d63,6_hard_full,6,hard,full,blocking_blind,0.2,100,-3.0154698769977064,-3.4774196715170986,-3.4400627679397586,-3.6296988622602475,-3.5607187859502125,-2.875294031083505,-2.754643130763978
c7a61295,6_hard_full,6,hard,full,blocking,0.2,100,-3.065427796972349,-2.7056452126280797,-2.6459103605746885,-2.2463245173775612,-2.239787169230112,-2.7611517838725654,-2.7893889273189814
c7a67aab,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.857762547483285,-3.3481870028981904,-3.3635794850793617,-3.250801118992439,-3.413903043720762,-1.9490032672804753,-2.0772052366955527
c8a4fa50,6_hard_full,6,hard,full,interaction_blind,0.2,100,-2.9380746651526994,-3.046764173612834,-2.9958390038784013,-2.873117440557642,-2.9260988669421995,-2.4936536612921723,-2.624128030981378
