,board,correct,fitted_heuristic,o_prob_mean,o_prob_median,o_prob_ratio_mean,o_prob_ratio_median,o_rank_mean,o_rank_median,userid,x_prob_mean,x_prob_median,x_prob_ratio_mean,x_prob_ratio_median,x_rank_mean,x_rank_median
0,6_hard_full,0,density,0.366963427248,0.105263157895,0.857142857143,1.0,2.0,0.0,11d4bf94,0.271902777294,0.0516339869281,0.6,0.5125,6.0,7.0
1,6_hard_full,0,interaction,0.374673959529,0.40846179235,0.753055555556,1.0,2.5,0.0,14b4c043,0.144399136575,0.0997369492988,0.878531871054,1.0,1.0,0.0
2,6_hard_full,0,blocking,0.147005544436,0.0417245464149,0.542177441185,0.563933000283,3.0,2.5,14c5dc72,0.1686753616,0.161725355747,0.771698210303,0.830956622302,1.22222222222,1.0
3,6_hard_full,1,blocking,0.273797128919,0.129623273563,0.684137810374,1.0,2.57142857143,0.0,17b4c1ea,0.294272824019,0.210034309069,0.782581052923,1.0,1.18181818182,0.0
4,6_hard_full,0,interaction,0.246595880923,0.108195056517,0.537222182326,0.331915042604,2.64705882353,1.0,17e120dd,0.152711342459,0.104043292039,0.632345394154,0.675264828113,3.75,2.0
5,6_hard_full,0,blocking,0.0001,0.0001,0.0,0.0,1.0,1.0,18dac9ef,0.384791200056,0.210034309069,0.921375828813,1.0,0.333333333333,0.0
6,6_hard_full,0,interaction,0.25846031853,0.173026362164,0.756966500142,1.0,1.75,0.0,20bfd7bd,0.228750144816,0.1317506206,0.900481484265,1.0,0.8,0.0
7,6_hard_full,0,blocking,0.0520537377363,0.0374568990182,0.434219802949,0.364689605898,5.5,4.0,24a5e25a,0.196511162972,0.0778925454701,0.676203368271,1.0,1.90909090909,0.0
8,6_hard_full,0,density,0.0520186335404,0.0520186335404,0.651785714286,0.651785714286,8.0,8.0,24b61c03,0.351981974022,0.0731707317073,0.666666666667,0.75,6.0,4.0
9,6_hard_full,0,blocking,0.16780428348,0.0555555555556,0.582357295603,1.0,3.33333333333,0.0,24f4c091,0.172642403802,0.126135291512,0.806495803885,1.0,1.4375,0.0
10,6_hard_full,0,interaction,0.0340597833581,0.0340597833581,0.5133837089,0.5133837089,2.5,2.5,25c4c0ab,0.310191591092,0.0997369492988,0.556049669795,0.647315676052,2.66666666667,3.0
