,max_moves,noise_sig,k,shutter_size,board,numberOfHeuristicComp,numberOfHeuristicComp_sem,correct,correct_sem,inverse_computation
701,50,1.0,3,1.0,6_hard_pruned,331.026315789,5.08379016963,0.194736842105,0.0203410501951,0.00302090786231
702,50,1.0,3,2.0,10_easy_full,1566.96023857,16.0674501821,0.17296222664,0.0168805443774,0.00063817828646
703,50,1.0,3,2.0,10_easy_pruned,846.005964215,11.9013374955,0.389662027833,0.0217659376007,0.00118202476377
704,50,1.0,3,2.0,10_hard_full,1965.824,16.5273348015,0.148,0.0158964585613,0.000508692538091
705,50,1.0,3,2.0,10_hard_pruned,1570.466,18.4520513246,0.094,0.013064047561,0.000636753676934
706,50,1.0,3,2.0,10_medium_full,1691.19839679,15.9003711174,0.110220440882,0.0140332290174,0.000591296681629
707,50,1.0,3,2.0,10_medium_pruned,923.987975952,10.8538448928,0.326653306613,0.0210159111597,0.00108226516581
708,50,1.0,3,2.0,6_easy_full,208.247368421,2.68214371853,0.536842105263,0.0256134580431,0.00480198144919
709,50,1.0,3,2.0,6_easy_pruned,101.973684211,1.27020740953,0.802631578947,0.0204445402988,0.0098064516129
710,50,1.0,3,2.0,6_hard_full,574.813157895,9.90277683925,0.184210526316,0.0199125401884,0.00173969573637
711,50,1.0,3,2.0,6_hard_pruned,446.35,7.30124337152,0.139473684211,0.0177954350394,0.0022403943094
712,50,1.0,5,0.0,10_easy_full,523.112,2.87559959976,0.206,0.0181047940373,0.00191163651379
713,50,1.0,5,0.0,10_easy_pruned,366.516,5.53362571151,0.414,0.0220494979698,0.00272839384911
714,50,1.0,5,0.0,10_hard_full,534.378,2.56991812912,0.194,0.0177018278553,0.0018713345235
715,50,1.0,5,0.0,10_hard_pruned,532.952,3.02251726434,0.134,0.0152496920039,0.00187634158423
716,50,1.0,5,0.0,10_medium_full,600.452,2.25529157143,0.076,0.0118629447827,0.00166541205625
717,50,1.0,5,0.0,10_medium_pruned,394.504,4.15924351068,0.268,0.0198277148596,0.0025348285442
718,50,1.0,5,0.0,6_easy_full,112.558,0.956658592878,0.456,0.0222962383484,0.00888430853427
719,50,1.0,5,0.0,6_easy_pruned,72.094,0.778989073063,0.772,0.0187813065294,0.0138707798152
720,50,1.0,5,0.0,6_hard_full,235.626,1.75055108643,0.236,0.0190086996221,0.00424401381851
721,50,1.0,5,0.0,6_hard_pruned,216.522,1.77552132738,0.194,0.0177018278553,0.00461846833116
722,50,1.0,5,0.5,10_easy_full,1131.926,6.74285081566,0.224,0.0186639944647,0.000883449978179
723,50,1.0,5,0.5,10_easy_pruned,784.856,12.9127355742,0.416,0.0220649433139,0.00127411907407
724,50,1.0,5,0.5,10_hard_full,1127.772,5.42724515864,0.204,0.0180393691041,0.000886704050109
725,50,1.0,5,0.5,10_hard_pruned,1131.702,6.4880771174,0.126,0.0148556177508,0.000883624841168
726,50,1.0,5,0.5,10_medium_full,1310.022,4.9302960022,0.084,0.0124175840156,0.000763345959075
727,50,1.0,5,0.5,10_medium_pruned,843.872,9.96668354036,0.296,0.0204353420919,0.00118501384096
728,50,1.0,5,0.5,6_easy_full,179.418,1.49280926813,0.574,0.0221365773351,0.00557357678717
729,50,1.0,5,0.5,6_easy_pruned,113.79,1.36624193834,0.808,0.0176321804544,0.00878811846384
730,50,1.0,5,0.5,6_hard_full,406.384,3.46630518438,0.17,0.0168156335314,0.00246072680027
731,50,1.0,5,0.5,6_hard_pruned,392.818,3.65381972039,0.178,0.0171236221891,0.00254570819056
732,50,1.0,5,1.0,10_easy_full,1367.57,8.47654846903,0.25,0.0193843107436,0.000731223995847
733,50,1.0,5,1.0,10_easy_pruned,946.436,15.4463621612,0.446,0.0222521530786,0.00105659548031
734,50,1.0,5,1.0,10_hard_full,1375.626,6.37169500545,0.182,0.0172727732977,0.00072694177051
735,50,1.0,5,1.0,10_hard_pruned,1408.992,7.62670131958,0.118,0.0144419229425,0.000709727237628
736,50,1.0,5,1.0,10_medium_full,1582.284,6.04961505988,0.082,0.0122822517241,0.000631997795592
737,50,1.0,5,1.0,10_medium_pruned,1008.254,11.7595752554,0.32,0.0208823404888,0.000991813570787
738,50,1.0,5,1.0,6_easy_full,205.828,1.78176603751,0.568,0.0221751092656,0.00485842548147
739,50,1.0,5,1.0,6_easy_pruned,132.83,1.55613280237,0.83,0.0168156335314,0.00752841978469
740,50,1.0,5,1.0,6_hard_full,490.466,4.01112901812,0.152,0.0160719823679,0.0020388773126
741,50,1.0,5,1.0,6_hard_pruned,478.154,4.17083160059,0.186,0.0174188067806,0.00209137641848
742,50,1.0,5,2.0,10_easy_full,1808.744,12.1645658473,0.204,0.0180393691041,0.000552869836749
743,50,1.0,5,2.0,10_easy_pruned,1216.904,18.8708989511,0.408,0.0220009108939,0.00082175750922
744,50,1.0,5,2.0,10_hard_full,2040.666,8.67885579808,0.204,0.0180393691041,0.000490036096059
745,50,1.0,5,2.0,10_hard_pruned,2068.782,12.2294010258,0.128,0.0149559138376,0.000483376208803
746,50,1.0,5,2.0,10_medium_full,2267.214,6.43261793946,0.096,0.0131877151798,0.000441069965164
747,50,1.0,5,2.0,10_medium_pruned,1392.776,16.8276083998,0.3,0.0205144262256,0.0007179905455
748,50,1.0,5,2.0,6_easy_full,286.032,2.08783813745,0.58,0.0220947132298,0.0034961123231
749,50,1.0,5,2.0,6_easy_pruned,167.042,2.1248223955,0.832,0.0167365535415,0.00598651836065
750,50,1.0,5,2.0,6_hard_full,715.39,4.57150139999,0.132,0.0151529278506,0.001397838941
751,50,1.0,5,2.0,6_hard_pruned,671.058,5.87166741467,0.142,0.0156256302478,0.00149018415696
752,50,1.0,10,0.0,10_easy_full,509.709141274,2.89888918006,0.224376731302,0.0219868530005,0.00196190320915
753,50,1.0,10,0.0,10_easy_pruned,507.155124654,3.06873062874,0.421052631579,0.0260217490775,0.00197178328955
754,50,1.0,10,0.0,10_hard_full,528.930747922,2.39629354438,0.17728531856,0.0201284234067,0.00189060667002
755,50,1.0,10,0.0,10_hard_pruned,538.141274238,2.6097571775,0.0831024930748,0.0145484314465,0.00185824809929
756,50,1.0,10,0.0,10_medium_full,595.739612188,2.31865440068,0.0886426592798,0.0149800921815,0.00167858571017
757,50,1.0,10,0.0,10_medium_pruned,577.628808864,3.07744535312,0.260387811634,0.0231292262917,0.00173121559149
758,50,1.0,10,0.0,6_easy_full,108.18,1.0097238655,0.55,0.0222708774854,0.00924385283786
759,50,1.0,10,0.0,6_easy_pruned,108.104,0.628834822882,0.726,0.0199661035403,0.00925035151336
760,50,1.0,10,0.0,6_hard_full,234.76,1.23728839206,0.15,0.0159847121352,0.00425966944965
761,50,1.0,10,0.0,6_hard_pruned,215.026,1.23022500182,0.11,0.0140068691994,0.00465060039251
762,50,1.0,10,0.5,10_easy_full,1128.94459834,6.05037644994,0.229916897507,0.022177009977,0.000885783059215
763,50,1.0,10,0.5,10_easy_pruned,1113.30193906,7.96183382459,0.426592797784,0.0260667616507,0.000898228921478
764,50,1.0,10,0.5,10_hard_full,1097.45429363,5.77436991552,0.124653739612,0.0174097023407,0.000911199678935
