,condition,entropy
0,Full,0.515342313321484
1,Truncated,1.0089984586249001
2,Full,0.5270151735090639
3,Truncated,0.8856367802331657
4,Full,0.556648699898574
5,Truncated,0.9961672818434799
6,Full,0.5063867648077796
7,Truncated,0.9845999068191785
8,Full,0.47149306266448976
9,Truncated,0.9555696883510926
10,Full,0.6429127229984793
11,Truncated,1.1164166906533104
12,Full,0.46744363137040906
13,Truncated,0.957722040081936
14,Full,0.485826420623757
15,Truncated,0.937883012045821
16,Full,0.5093529868687728
17,Truncated,1.0389541102777546
18,Full,0.568398620128363
19,Truncated,1.017747002309599
20,Full,0.5246656911325982
21,Truncated,1.0814361106949322
22,Full,0.5306557443269679
23,Truncated,0.9302737337451727
24,Full,0.4889409614620123
25,Truncated,0.9962151260156702
26,Full,0.5696458704070408
27,Truncated,1.0623628811309123
28,Full,0.5546312857480168
29,Truncated,1.0494946488713193
30,Full,0.6054706263428505
31,Truncated,1.1035505902158362
32,Full,0.5091106499666955
33,Truncated,1.0076626173693948
34,Full,0.5227740694460491
35,Truncated,1.0441361873730943
36,Full,0.5017028904588563
37,Truncated,1.0083865389111166
38,Full,0.5146992908471355
39,Truncated,1.0462863111652336
40,Full,0.5265940355076653
41,Truncated,0.9430090456143991
42,Full,0.4700829059164127
43,Truncated,1.070585982712153
44,Full,0.45251780533600694
45,Truncated,0.8937953259436585
46,Full,0.5149076704648476
47,Truncated,0.9654777338655715
48,Full,0.49481863362813744
49,Truncated,0.926628989719883
50,Full,0.5002365928447112
51,Truncated,0.9667840835135667
52,Full,0.5238313489485624
53,Truncated,1.0367627951563245
54,Full,0.5084676257497223
55,Truncated,0.8966288819897186
56,Full,0.5810420059496736
57,Truncated,1.0364787233154453
58,Full,0.5091175792081379
59,Truncated,0.9689668553740239
60,Full,0.5840450313330459
61,Truncated,0.993594295722734
62,Full,0.49182544852485616
63,Truncated,0.9586553283115855
64,Full,0.481378335504661
65,Truncated,0.9604382791536862
66,Full,0.6234939718702711
67,Truncated,1.0496797360711903
68,Full,0.5797787454727343
69,Truncated,0.9748325684156879
70,Full,0.46899265592679845
71,Truncated,0.9960000723695719
72,Full,0.5204287865827855
73,Truncated,0.9697154888263994
74,Full,0.5860474969197375
75,Truncated,0.9277768777997559
76,Full,0.591746432167051
77,Truncated,1.0251826214757696
78,Full,0.45728843897717936
79,Truncated,0.9206393493445102
80,Full,0.5289287442472442
81,Truncated,0.9734213063506084
82,Full,0.525350921316665
83,Truncated,0.920221198903752
84,Full,0.6068809953989787
85,Truncated,0.979367010669958
86,Full,0.4780563008349938
87,Truncated,0.9457163570434429
88,Full,0.5154587577914747
89,Truncated,0.9384250068784349
90,Full,0.5241831421765875
91,Truncated,0.9571463122035597
92,Full,0.48872459262402074
93,Truncated,0.9767813592820397
94,Full,0.5367446642872046
95,Truncated,1.0035470384627643
96,Full,0.46719664551717743
97,Truncated,0.8864448596555878
98,Full,0.6421746594085337
99,Truncated,0.9808911613110389
100,Full,0.5272128849933858
101,Truncated,0.9888982644619749
102,Full,0.5823640841613
103,Truncated,1.0450447032898575
104,Full,0.5068348117339091
105,Truncated,0.9635299767834439
106,Full,0.5716269559154993
107,Truncated,1.0481142724069747
108,Full,0.5347326663517756
109,Truncated,1.0208051996087237
110,Full,0.5911484884644442
111,Truncated,0.9703910616308198
112,Full,0.5338587283394394
113,Truncated,1.0842229889469253
114,Full,0.5229550879547502
115,Truncated,0.970977415885749
116,Full,0.46965857468651395
117,Truncated,0.9162323720977616
118,Full,0.5194573745963259
119,Truncated,0.9887347211760676
120,Full,0.5731129108751963
121,Truncated,0.9657854047231619
122,Full,0.5320169177902466
123,Truncated,0.9475598161267705
124,Full,0.4568847085969965
125,Truncated,1.0549488215943745
126,Full,0.5446626108897038
127,Truncated,1.0139772329996617
128,Full,0.48272117935099657
129,Truncated,0.8970088225271988
130,Full,0.6641073557031413
131,Truncated,1.03320158594084
132,Full,0.5495398219852847
133,Truncated,1.0225670467623666
134,Full,0.5754669508630231
135,Truncated,0.9719779878966327
136,Full,0.47733224317356554
137,Truncated,0.9947337196079059
138,Full,0.5589366405695431
139,Truncated,1.0191646327175317
140,Full,0.5048057362113333
141,Truncated,0.9630127124964016
142,Full,0.583651441458543
143,Truncated,1.0627512297548052
144,Full,0.43663756731507664
145,Truncated,0.9915937225169672
146,Full,0.5554524804796962
147,Truncated,0.9495970619476427
148,Full,0.5638595227009965
149,Truncated,1.064478459032328
150,Full,0.4456499317333717
151,Truncated,0.9976256254235503
152,Full,0.5053339877631249
153,Truncated,1.0335003493604893
154,Full,0.5568440846855608
155,Truncated,1.0147016383959975
156,Full,0.5396959560531421
157,Truncated,0.997634286856894
158,Full,0.5864280335864782
159,Truncated,1.011145057059113
160,Full,0.5042213539400063
161,Truncated,0.9151939290775102
162,Full,0.5296595732780794
163,Truncated,1.0378635488735635
164,Full,0.5784899582474871
165,Truncated,1.0226835755375352
166,Full,0.46406796089247165
167,Truncated,0.9731092252671474
168,Full,0.5306923961502785
169,Truncated,1.1087915920494917
170,Full,0.47818134302273785
