time_before,time_before_sec
2331,2.331
4458,4.458
1962,1.962
1411,1.411
1740,1.74
2194,2.194
2978,2.978
3634,3.634
1290,1.29
5915,5.915
135704,135.704
5876,5.876
7301,7.301
4332,4.332
70918,70.918
3365,3.365
3458,3.458
3627,3.627
3586,3.586
3629,3.629
11521,11.521
15836,15.836
73994,73.994
18666,18.666
70371,70.371
18409,18.409
15626,15.626
14237,14.237
5258,5.258
13211,13.211
5939,5.939
16,0.016
25096,25.096
59,0.059
11864,11.864
148273,148.273
13603,13.603
48728,48.728
4213,4.213
9836,9.836
10054,10.054
7924,7.924
7081,7.081
19035,19.035
6696,6.696
6945,6.945
2625,2.625
6063,6.063
3415,3.415
5202,5.202
6594,6.594
9328,9.328
5739,5.739
1563,1.563
2331,2.331
4064,4.064
7963,7.963
3536,3.536
5333,5.333
25048,25.048
7274,7.274
42346,42.346
2545,2.545
8538,8.538
7993,7.993
5523,5.523
3127,3.127
8475,8.475
16206,16.206
8481,8.481
3569,3.569
5163,5.163
3566,3.566
5203,5.203
2511,2.511
11179,11.179
7239,7.239
2297,2.297
6827,6.827
2671,2.671
4755,4.755
1074,1.074
118635,118.635
3279,3.279
8602,8.602
3807,3.807
23787,23.787
2465,2.465
6445,6.445
5184,5.184
1316,1.316
6584,6.584
2787,2.787
2609,2.609
4460,4.46
7283,7.283
6818,6.818
1062,1.062
5237,5.237
2608,2.608
2077,2.077
7078,7.078
4660,4.66
5853,5.853
2430,2.43
20601,20.601
89996,89.996
7398,7.398
2066,2.066
7476,7.476
4625,4.625
4600,4.6
2121,2.121
1229,1.229
3959,3.959
5524,5.524
5158,5.158
1507,1.507
19931,19.931
3965,3.965
5595,5.595
12525,12.525
11972,11.972
1671,1.671
3142,3.142
7462,7.462
2000,2
19908,19.908
26164,26.164
1536,1.536
22503,22.503
19285,19.285
17494,17.494
1737,1.737
6905,6.905
2870,2.87
1733,1.733
3637,3.637
1974,1.974
516,0.516
17870,17.87
1975,1.975
593,0.593
460,0.46
13599,13.599
546,0.546
750,0.75
1685,1.685
1529,1.529
908,0.908
21326,21.326
1202,1.202
785,0.785
313,0.313
3466,3.466
97019,97.019
12278,12.278
13294,13.294
12693,12.693
3172,3.172
5927,5.927
6223,6.223
3118,3.118
4944,4.944
19653,19.653
1309,1.309
47048,47.048
19429,19.429
8467,8.467
1800,1.8
1638,1.638
11282,11.282
2985,2.985
51466,51.466
933,0.933
1577,1.577
4743,4.743
2052,2.052
685,0.685
59097,59.097
2460,2.46
63680,63.68
53917,53.917
18570,18.57
17235,17.235
1656,1.656
4709,4.709
7392,7.392
13212,13.212
5477,5.477
5078,5.078
38378,38.378
1659,1.659
1492,1.492
444,0.444
3322,3.322
67696,67.696
2920,2.92
17413,17.413
25505,25.505
1489,1.489
5177,5.177
2563,2.563
10169,10.169
9848,9.848
8392,8.392
6746,6.746
6720,6.72
1073,1.073
5095,5.095
16312,16.312
3160,3.16
4752,4.752
191,0.191
152,0.152
200,0.2
176,0.176
1827,1.827
14171,14.171
18841,18.841
10293,10.293
11009,11.009
3545,3.545
20004,20.004
7163,7.163
2749,2.749
97805,97.805
8303,8.303
2737,2.737
106412,106.412
11634,11.634
86360,86.36
6966,6.966
1204,1.204
1901,1.901
6819,6.819
2029,2.029
1981,1.981
4867,4.867
2423,2.423
2918,2.918
5685,5.685
7360,7.36
9671,9.671
4107,4.107
20595,20.595
34800,34.8
43946,43.946
6830,6.83
27545,27.545
10855,10.855
40438,40.438
3718,3.718
22896,22.896
197027,197.027
4222,4.222
27931,27.931
2066,2.066
5741,5.741
1179,1.179
3611,3.611
7646,7.646
980,0.98
3151,3.151
32122,32.122
3509,3.509
7052,7.052
4046,4.046
3686,3.686
6739,6.739
8549,8.549
2111,2.111
2646,2.646
2251,2.251
3027,3.027
6360,6.36
111799,111.799
1648,1.648
5869,5.869
702,0.702
1952,1.952
7221,7.221
1557,1.557
4202,4.202
3395,3.395
3191,3.191
7629,7.629
2180,2.18
3067,3.067
2137,2.137
4126,4.126
10928,10.928
2200,2.2
3482,3.482
1490,1.49
380,0.38
2618,2.618
1236,1.236
2689,2.689
5291,5.291
2175,2.175
4717,4.717
2339,2.339
3918,3.918
3787,3.787
8313,8.313
9992,9.992
4247,4.247
3689,3.689
1019,1.019
66425,66.425
1285,1.285
5433,5.433
10437,10.437
688,0.688
1052,1.052
1007,1.007
6558,6.558
21409,21.409
4868,4.868
2763,2.763
48727,48.727
3068,3.068
13213,13.213
3485,3.485
15061,15.061
39589,39.589
15120,15.12
104917,104.917
586,0.586
7580,7.58
2393,2.393
506,0.506
28848,28.848
416,0.416
2004,2.004
5480,5.48
5440,5.44
10546,10.546
1451,1.451
4453,4.453
4570,4.57
5572,5.572
4761,4.761
14862,14.862
1419,1.419
1570,1.57
1125,1.125
9291,9.291
3942,3.942
5274,5.274
13514,13.514
646,0.646
159,0.159
3216,3.216
5519,5.519
193,0.193
167,0.167
31739,31.739
2454,2.454
16278,16.278
3632,3.632
87530,87.53
14322,14.322
3234,3.234
6875,6.875
9826,9.826
15033,15.033
688,0.688
1082,1.082
3560,3.56
2072,2.072
1704,1.704
412,0.412
33257,33.257
2147,2.147
1409,1.409
2723,2.723
1133,1.133
1533,1.533
1742,1.742
1191,1.191
2807,2.807
2317,2.317
1477,1.477
1625,1.625
11596,11.596
8692,8.692
6095,6.095
119940,119.94
3677,3.677
3436,3.436
10368,10.368
10674,10.674
75975,75.975
1296,1.296
3195,3.195
2332,2.332
114927,114.927
26181,26.181
8462,8.462
6952,6.952
16925,16.925
1189,1.189
2194,2.194
6166,6.166
79210,79.21
6747,6.747
12008,12.008
5264,5.264
1427,1.427
9592,9.592
2023,2.023
5502,5.502
1783,1.783
8806,8.806
5873,5.873
12379,12.379
5630,5.63
43200,43.2
