userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time,solutionCorrect,validationCorrect,solutionAndValidationCorrect,solutionTimeMinutes
55a709fd,6,pruned,easy,FALSE,FALSE,509810,130895,30,0,1.51231E+12,0,0,0,8.496833333
6fc70a09,6,pruned,easy,TRUE,TRUE,325747,25884,33,3,1.51231E+12,1,1,1,5.429116667
bcf51783,10,pruned,hard,FALSE,FALSE,98160,17580,10,0,1.5112E+12,0,0,0,1.636
a2c12212,10,pruned,easy,FALSE,FALSE,89169,35482,5,0,1.51192E+12,0,0,0,1.48615
8dc12353,6,verify,easy,FALSE,FALSE,139084,29128,10,0,1.51192E+12,0,0,0,2.318066667
c6c100be,10,full,medium,TRUE,TRUE,428911,106593,77,10,1.51192E+12,1,1,1,7.148516667
8ab71c6b,6,pruned,easy,TRUE,TRUE,176539,56132,13,3,1.51232E+12,1,1,1,2.942316667
c7dffe06,10,verify,medium,FALSE,FALSE,295875,7493,32,0,1.51192E+12,0,0,0,4.93125
ded705a5,10,full,medium,FALSE,FALSE,156232,22476,6,0,1.51231E+12,0,0,0,2.603866667
98d105c1,10,full,hard,TRUE,TRUE,198324,48027,16,5,1.51192E+12,1,1,1,3.3054
7ae11252,6,verify,hard,FALSE,FALSE,88796,92869,4,0,1.51192E+12,0,0,0,1.479933333
27afe7e1,10,verify,medium,FALSE,FALSE,187378,44977,19,0,1.51191E+12,0,0,0,3.122966667
39afd1eb,10,pruned,easy,TRUE,TRUE,104220,22944,11,3,1.5119E+12,1,1,1,1.737
c8a4fa50,6,full,hard,FALSE,FALSE,574899,33278,54,0,1.51119E+12,0,0,0,9.58165
6aa4f436,6,pruned,easy,TRUE,FALSE,98434,45454,3,3,1.51119E+12,1,0,0,1.640566667
b7e510d3,6,pruned,easy,TRUE,TRUE,74618,37218,15,3,1.5112E+12,1,1,1,1.243633333
c9c1128b,6,verify,hard,TRUE,TRUE,147380,21927,17,4,1.51192E+12,1,1,1,2.456333333
28d4fefb,10,pruned,hard,TRUE,TRUE,176238,45882,51,4,1.51119E+12,1,1,1,2.9373
b8a4fbaa,10,full,easy,FALSE,FALSE,306194,39999,35,0,1.51119E+12,0,0,0,5.103233333
2cfff069,10,verify,easy,TRUE,TRUE,485047,77975,55,3,1.51191E+12,1,1,1,8.084116667
a7b511d6,10,full,medium,FALSE,FALSE,590149,20471,101,0,1.5112E+12,0,0,0,9.835816667
b3e4f78d,6,full,easy,FALSE,FALSE,134635,87518,24,0,1.51119E+12,0,0,0,2.243916667
62b5140d,6,pruned,easy,FALSE,FALSE,80789,63159,2,0,1.5112E+12,0,0,0,1.346483333
d3b525de,6,full,easy,FALSE,FALSE,514198,60247,61,0,1.51121E+12,0,0,0,8.569966667
5acfeabc,6,full,easy,TRUE,TRUE,65006,27110,13,4,1.51191E+12,1,1,1,1.083433333
2ff50f64,6,pruned,hard,FALSE,FALSE,72778,31346,19,0,1.5112E+12,0,0,0,1.212966667
b0c6f3a8,10,pruned,medium,TRUE,FALSE,382774,11025,51,0,1.51231E+12,1,0,0,6.379566667
