,heuristic,percent
255,density,11.3725490196
256,linear,2.35294117647
257,non-linear,11.3725490196
258,interaction,21.1764705882
259,blocking,53.7254901961
260,density,12.5490196078
261,linear,2.74509803922
262,non-linear,11.7647058824
263,interaction,21.9607843137
264,blocking,50.9803921569
265,density,13.3333333333
266,linear,3.52941176471
267,non-linear,10.9803921569
268,interaction,23.9215686275
269,blocking,48.2352941176
270,density,17.2549019608
271,linear,2.35294117647
272,non-linear,9.41176470588
273,interaction,20.3921568627
274,blocking,50.5882352941
275,density,12.9411764706
276,linear,3.13725490196
277,non-linear,11.7647058824
278,interaction,21.1764705882
279,blocking,50.9803921569
280,density,15.2941176471
281,linear,1.96078431373
282,non-linear,10.9803921569
283,interaction,18.0392156863
284,blocking,53.7254901961
285,density,12.1568627451
286,linear,2.74509803922
287,non-linear,10.9803921569
288,interaction,20.3921568627
289,blocking,53.7254901961
290,density,12.9411764706
291,linear,1.96078431373
292,non-linear,10.5882352941
293,interaction,19.2156862745
294,blocking,55.2941176471
295,density,14.1176470588
296,linear,2.74509803922
297,non-linear,9.80392156863
298,interaction,20.3921568627
299,blocking,52.9411764706
300,density,12.5490196078
301,linear,2.35294117647
302,non-linear,9.80392156863
303,interaction,18.8235294118
304,blocking,56.4705882353
305,density,17.2549019608
306,linear,1.96078431373
307,non-linear,10.1960784314
308,interaction,19.6078431373
309,blocking,50.9803921569
310,density,12.1568627451
311,linear,1.56862745098
312,non-linear,12.5490196078
313,interaction,21.568627451
314,blocking,52.1568627451
315,density,15.2941176471
316,linear,3.13725490196
317,non-linear,10.5882352941
318,interaction,18.8235294118
319,blocking,52.1568627451
320,density,10.9803921569
321,linear,2.74509803922
322,non-linear,10.9803921569
323,interaction,23.5294117647
324,blocking,51.7647058824
325,density,12.1568627451
326,linear,1.96078431373
327,non-linear,9.41176470588
328,interaction,21.568627451
329,blocking,54.9019607843
330,density,12.5490196078
331,linear,1.56862745098
332,non-linear,9.80392156863
333,interaction,20.3921568627
334,blocking,55.6862745098
335,density,12.9411764706
336,linear,2.35294117647
337,non-linear,9.01960784314
338,interaction,24.7058823529
339,blocking,50.9803921569
340,density,13.7254901961
341,linear,1.56862745098
342,non-linear,10.9803921569
343,interaction,20.7843137255
344,blocking,52.9411764706
345,density,11.7647058824
346,linear,2.74509803922
347,non-linear,10.5882352941
348,interaction,21.1764705882
349,blocking,53.7254901961
350,density,14.1176470588
351,linear,2.74509803922
352,non-linear,12.9411764706
353,interaction,18.431372549
354,blocking,51.7647058824
355,density,14.1176470588
356,linear,1.96078431373
357,non-linear,12.9411764706
358,interaction,21.9607843137
359,blocking,49.0196078431
360,density,12.9411764706
361,linear,1.56862745098
362,non-linear,9.41176470588
363,interaction,23.5294117647
364,blocking,52.5490196078
365,density,13.3333333333
366,linear,1.56862745098
367,non-linear,9.80392156863
368,interaction,22.7450980392
369,blocking,52.5490196078
370,density,14.1176470588
371,linear,0.78431372549
372,non-linear,12.5490196078
373,interaction,22.3529411765
374,blocking,50.1960784314
375,density,13.3333333333
376,linear,2.35294117647
377,non-linear,11.3725490196
378,interaction,20.7843137255
379,blocking,52.1568627451
380,density,10.9803921569
381,linear,1.96078431373
382,non-linear,9.01960784314
383,interaction,21.9607843137
384,blocking,56.0784313725
385,density,14.5098039216
386,linear,2.35294117647
387,non-linear,12.5490196078
388,interaction,20.3921568627
389,blocking,50.1960784314
390,density,10.5882352941
391,linear,4.3137254902
392,non-linear,11.7647058824
393,interaction,21.9607843137
394,blocking,51.3725490196
