,correlation,path_length
0,0.7582545029296768,2
1,0.6122968846393883,1
2,,7
3,,6
4,,5
5,0.5976386414540389,4
6,0.8821571717253078,3
7,0.7950939772280979,2
8,0.5038148523826622,1
9,,7
10,,6
11,0.6570625781107475,5
12,0.8831577888420783,4
13,0.8400236896636638,3
14,0.7464645118997407,2
15,0.4880314325672191,1
16,,7
17,,6
18,0.6574318858992992,5
19,0.5189455916149841,4
20,-0.04355007831319802,3
21,0.719602923834293,2
22,0.6088454650077334,1
23,,7
24,,6
25,0.8034709532720323,5
26,0.5443301180864831,4
27,0.7487886667445292,3
28,0.7202782415404716,2
29,0.3626507558727878,1
30,,7
31,,6
32,,5
33,0.8894797648821908,4
34,0.8722420027937108,3
35,0.6820913514717112,2
36,0.5734530822416897,1
37,,7
38,,6
39,,5
40,0.4480161096358364,4
41,0.8400236896636637,3
42,0.7561459866335695,2
43,0.45473204365238434,1
44,,7
45,,6
46,0.7822365738217265,5
47,0.805045116721916,4
48,0.7986949608282983,3
49,0.7658854720032656,2
50,0.6095730933044429,1
51,,7
52,,6
53,0.6315742475973297,5
54,0.5476039444955232,4
55,0.5125462543008543,3
56,0.913107380341798,2
57,0.4954646323922636,1
58,,7
59,,6
60,,5
61,0.47423430069248673,4
62,0.6934321768595849,3
63,0.6869749669363904,2
64,0.39743059398541214,1
65,,7
66,,6
67,0.6999028325965239,5
68,0.4902698855482494,4
69,0.5185463762200889,3
70,0.7511930687767598,2
71,0.487007717877696,1
72,,7
73,,6
74,,5
75,0.8545378203100481,4
76,0.8819104551233019,3
77,0.764437297258921,2
78,0.589829006349456,1
79,,7
80,,6
81,0.6246096110794712,5
82,0.9536949321394051,4
83,0.8352017399447842,3
84,0.7182622559551053,2
85,0.19904245787690727,1
86,,7
87,,6
88,0.8034709532720322,5
89,0.48597594180488973,4
90,0.8291572555405023,3
91,0.8609528953233463,2
92,0.45873717536159764,1
93,,7
94,,6
95,0.8411379121850353,5
96,0.5499639482902038,4
97,0.8341448119121155,3
98,0.7100503636624407,2
99,0.4589919263063335,1
100,,7
101,,6
102,,5
103,0.4186044493025247,4
104,0.8192669155057889,3
105,0.588976985119845,2
106,0.5630153225940995,1
107,,7
108,,6
109,0.81620909647951,5
110,0.550824030596306,4
111,0.8245614680519652,3
112,0.8670345893592863,2
113,0.3223274776557424,1
114,,7
115,,6
116,0.8234506203555555,5
117,0.7975478149553163,4
118,0.8192669155057888,3
119,0.7010478730022878,2
120,0.4971191874350221,1
121,,7
122,,6
123,0.633835019848029,5
124,0.5108980339688102,4
125,0.6934321768595848,3
126,0.6523070166362631,2
127,0.4310214133170816,1
128,,7
129,,6
130,0.653931692920076,5
131,0.4647418524924257,4
132,0.924811343519552,3
133,0.7157042909221135,2
134,0.6461191694187224,1
135,,7
136,,6
137,,5
138,0.46672527675177167,4
139,0.900904630298404,3
140,0.7623545677710248,2
141,0.5781721038788614,1
142,,7
143,,6
144,0.9999999999999998,5
145,0.44028437134617254,4
146,0.8252040661918023,3
147,0.7211204043284418,2
148,0.43748492397206995,1
149,,7
150,,6
151,,5
152,0.44479970928441864,4
153,0.900904630298404,3
154,0.7829486683630779,2
155,0.4867672331771702,1
156,,7
157,,6
158,0.6596022800166341,5
159,0.8045970007799096,4
160,0.8331719451002129,3
161,0.9170265080265194,2
162,0.596196220128959,1
163,,7
164,,6
165,,5
166,0.45117490305325647,4
167,0.6856935195220963,3
168,0.7275997698292921,2
169,0.6612983365944612,1
170,,7
171,,6
172,0.6338350198480289,5
173,0.40914984140635646,4
174,0.8252040661918024,3
175,0.7528408025953507,2
176,0.4991474132679502,1
177,,7
178,,6
179,0.659602280016634,5
180,0.5427480377406374,4
181,0.22341482066624285,3
