,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,heuristic,prob_path
48,9,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2], [1, 2, 1]]",7,1,0.009708737864077669,linear,1.13e-13
49,9,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2], [1, 2, 1]]",7,1,0.009708737864077669,non-linear,1.99e-13
50,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.01324503311258278,blocking,9.09e-13
51,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.01324503311258278,density,6.820000000000001e-11
52,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.01324503311258278,interaction,5.68e-13
53,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.01324503311258278,linear,2.27e-11
54,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.01324503311258278,non-linear,4.4200000000000006e-11
55,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.019230769230769232,blocking,3.19e-10
56,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.019230769230769232,density,2.04e-09
57,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.019230769230769232,interaction,1.67e-10
58,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.019230769230769232,linear,1.3699999999999998e-09
59,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.019230769230769232,non-linear,3.55e-09
60,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.006622516556291391,blocking,6.76e-08
61,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.006622516556291391,density,8.42e-12
62,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.006622516556291391,interaction,8.590000000000001e-09
63,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.006622516556291391,linear,1.1e-08
64,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.006622516556291391,non-linear,6.950000000000001e-08
65,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.004807692307692308,blocking,6.76e-08
66,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.004807692307692308,density,1.81e-09
67,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.004807692307692308,interaction,8.590000000000001e-09
68,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.004807692307692308,linear,1.1e-08
69,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.004807692307692308,non-linear,6.950000000000001e-08
70,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,blocking,5.679999999999999e-12
71,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,density,2.42e-13
72,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,interaction,2.9600000000000005e-13
73,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,linear,8.229999999999998e-13
74,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,non-linear,6.3200000000000005e-12
75,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.006622516556291391,blocking,5.68e-08
