board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
10,truncated,CV,51,1,0,6.379566667,100,0,10 DC,DC,0.125089542,7.50537252,10
10,truncated,hard,14,1,1,3.144633333,100,100,10 HC,HC,0.224616667,13.47700002,10
10,full,CV,15,0,0,2.702,0,0,10 DC,DC,0.180133333,10.80799998,10
6,truncated,hard,71,0,0,6.18235,0,0,6 HC,HC,0.087075352,5.22452112,6
10,truncated,medium,64,0,0,3.82715,0,0,10 MC,MC,0.059799219,3.58795314,10
6,truncated,medium,22,0,0,4.075383333,0,0,6 MC,MC,0.185244697,11.11468182,6
10,full,CV,10,1,1,3.491516667,100,100,10 DC,DC,0.349151667,20.94910002,10
10,truncated,hard,20,1,1,1.825116667,100,100,10 HC,HC,0.091255833,5.47534998,10
10,full,medium,42,1,1,6.7194,100,100,10 MC,MC,0.159985714,9.59914284,10
10,truncated,medium,47,1,1,5.045766667,100,100,10 MC,MC,0.107356738,6.44140428,10
10,truncated,hard,0,0,0,1.233316667,0,0,10 HC,HC,0,0,10
10,full,CV,97,0,0,9.947666667,0,0,10 DC,DC,0.102553265,6.1531959,10
6,truncated,medium,6,0,0,1.344433333,0,0,6 MC,MC,0.224072222,13.44433332,6
6,truncated,medium,19,1,1,3.564466667,100,100,6 MC,MC,0.187603509,11.25621054,6
10,full,hard,15,1,1,3.17925,100,100,10 HC,HC,0.21195,12.717,10
10,full,medium,32,1,1,8.9829,100,100,10 MC,MC,0.280715625,16.8429375,10
6,full,hard,22,0,0,1.92585,0,0,6 HC,HC,0.087538636,5.25231816,6
10,full,CV,36,0,0,3.496083333,0,0,10 DC,DC,0.097113426,5.82680556,10
10,truncated,hard,36,0,0,5.225383333,0,0,10 HC,HC,0.145149537,8.70897222,10
6,truncated,hard,43,0,0,3.772816667,0,0,6 HC,HC,0.087739922,5.26439532,6
10,truncated,CV,3,1,1,1.177733333,100,100,10 DC,DC,0.392577778,23.55466668,10
6,truncated,hard,101,1,1,6.8294,100,100,6 HC,HC,0.067617822,4.05706932,6
6,full,hard,61,0,0,8.797733333,0,0,6 HC,HC,0.144225137,8.65350822,6
10,full,hard,28,0,0,5.189266667,0,0,10 HC,HC,0.185330952,11.11985712,10
6,full,medium,35,0,0,3.089416667,0,0,6 MC,MC,0.088269048,5.29614288,6
10,full,medium,13,1,1,3.700216667,100,100,10 MC,MC,0.284632051,17.07792306,10
10,full,hard,31,0,0,5.777183333,0,0,10 HC,HC,0.186360753,11.18164518,10
10,truncated,medium,43,0,0,10.12833333,0,0,10 MC,MC,0.235542636,14.13255816,10
6,full,medium,80,0,0,9.7855,0,0,6 MC,MC,0.12231875,7.339125,6
