board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
6,truncated,medium,36,1,0,2.797833333,100,0,6 MC,MC,0.077717593,4.66305558,6
10,full,medium,13,1,1,1.411633333,100,100,10 MC,MC,0.108587179,6.51523074,10
10,full,CV,13,0,0,0.754083333,0,0,10 DC,DC,0.05800641,3.4803846,10
10,full,hard,21,0,0,2.961483333,0,0,10 HC,HC,0.141023016,8.46138096,10
10,full,medium,172,0,0,10.03778333,0,0,10 MC,MC,0.058359205,3.5015523,10
10,truncated,hard,6,1,1,1.5414,100,100,10 HC,HC,0.2569,15.414,10
6,full,hard,13,1,0,4.455216667,100,0,6 HC,HC,0.342708974,20.56253844,6
10,truncated,hard,31,0,0,6.402,0,0,10 HC,HC,0.206516129,12.39096774,10
10,full,CV,12,0,0,2.68045,0,0,10 DC,DC,0.223370833,13.40224998,10
6,full,hard,34,0,0,3.618333333,0,0,6 HC,HC,0.106421569,6.38529414,6
6,truncated,medium,102,1,1,9.91375,100,100,6 MC,MC,0.097193627,5.83161762,6
10,full,CV,12,0,0,1.874916667,0,0,10 DC,DC,0.156243056,9.37458336,10
6,truncated,medium,42,0,0,5.837416667,0,0,6 MC,MC,0.138986111,8.33916666,6
6,full,hard,5,0,0,0.890016667,0,0,6 HC,HC,0.178003333,10.68019998,6
6,truncated,hard,19,1,0,2.642933333,100,0,6 HC,HC,0.139101754,8.34610524,6
10,full,CV,19,1,0,2.783533333,100,0,10 DC,DC,0.146501754,8.79010524,10
6,truncated,medium,21,1,1,2.670933333,100,100,6 MC,MC,0.127187302,7.63123812,6
6,truncated,medium,8,1,0,2.554766667,100,0,6 MC,MC,0.319345833,19.16074998,6
6,full,medium,53,1,1,5.135333333,100,100,6 MC,MC,0.096893082,5.81358492,6
10,full,hard,37,0,0,4.018333333,0,0,10 HC,HC,0.108603604,6.51621624,10
10,full,CV,55,0,0,5.13965,0,0,10 DC,DC,0.093448182,5.60689092,10
10,full,hard,5,1,0,1.727583333,100,0,10 HC,HC,0.345516667,20.73100002,10
10,full,CV,11,1,1,1.358833333,100,100,10 DC,DC,0.123530303,7.41181818,10
10,full,medium,61,0,0,10.06065,0,0,10 MC,MC,0.164928689,9.89572134,10
10,full,CV,9,0,0,1.5131,0,0,10 DC,DC,0.168122222,10.08733332,10
6,truncated,medium,8,1,1,2.378966667,100,100,6 MC,MC,0.297370833,17.84224998,6
6,truncated,medium,15,1,1,2.30055,100,100,6 MC,MC,0.15337,9.2022,6
10,truncated,medium,5,0,0,0.569233333,0,0,10 MC,MC,0.113846667,6.83080002,10
6,truncated,hard,41,0,0,4.274383333,0,0,6 HC,HC,0.104253252,6.25519512,6
6,truncated,hard,41,0,0,3.336416667,0,0,6 HC,HC,0.081376016,4.88256096,6
10,truncated,CV,12,1,1,0.851266667,100,100,10 DC,DC,0.070938889,4.25633334,10
10,truncated,CV,14,1,1,1.2724,100,100,10 DC,DC,0.090885714,5.45314284,10
10,truncated,medium,28,0,0,9.07905,0,0,10 MC,MC,0.324251786,19.45510716,10
10,truncated,CV,16,0,0,1.203266667,0,0,10 DC,DC,0.075204167,4.51225002,10
10,truncated,medium,32,1,1,7.580416667,100,100,10 MC,MC,0.236888021,14.21328126,10
10,full,hard,66,0,0,9.124166667,0,0,10 HC,HC,0.13824495,8.294697,10
6,full,hard,23,0,0,3.665016667,0,0,6 HC,HC,0.159348551,9.56091306,6
6,full,hard,74,0,0,10.03331667,0,0,6 HC,HC,0.13558536,8.1351216,6
6,full,medium,39,0,0,8.000333333,0,0,6 MC,MC,0.205136752,12.30820512,6
10,full,medium,75,0,0,8.114033333,0,0,10 MC,MC,0.108187111,6.49122666,10
10,full,medium,80,0,0,9.548483333,0,0,10 MC,MC,0.119356042,7.16136252,10
10,truncated,hard,34,0,0,3.94445,0,0,10 HC,HC,0.116013235,6.9607941,10
