win_score,blocking_score,fitted_heuristic,num_participants,proportion_participants
400,0.1,density,40,0.108108108
400,0.1,interaction,20,0.054054054
400,0.1,interaction_blind,91,0.245945946
400,0.1,linear,7,0.018918919
400,0.1,non-linear,41,0.110810811
400,0.2,blocking,40,0.108108108
400,0.2,blocking_blind,103,0.278378378
400,0.2,density,41,0.110810811
400,0.2,interaction,26,0.07027027
400,0.2,interaction_blind,112,0.302702703
400,0.2,linear,7,0.018918919
400,0.2,non-linear,41,0.110810811
400,0.4,blocking,29,0.078378378
400,0.4,blocking_blind,86,0.232432432
400,0.4,density,42,0.113513514
400,0.4,interaction,31,0.083783784
400,0.4,interaction_blind,131,0.354054054
400,0.4,linear,8,0.021621622
400,0.4,non-linear,43,0.116216216
400,0.8,blocking,22,0.059459459
400,0.8,blocking_blind,65,0.175675676
400,0.8,density,43,0.116216216
400,0.8,interaction,34,0.091891892
400,0.8,interaction_blind,151,0.408108108
400,0.8,linear,8,0.021621622
400,0.8,non-linear,47,0.127027027
800,0.05,blocking,51,0.137837838
800,0.05,blocking_blind,122,0.32972973
800,0.05,density,43,0.116216216
800,0.05,interaction,18,0.048648649
800,0.05,interaction_blind,86,0.232432432
800,0.05,linear,7,0.018918919
800,0.05,non-linear,43,0.116216216
800,0.1,blocking,44,0.118918919
800,0.1,blocking_blind,107,0.289189189
800,0.1,density,43,0.116216216
800,0.1,interaction,25,0.067567568
800,0.1,interaction_blind,99,0.267567568
800,0.1,linear,7,0.018918919
800,0.1,non-linear,45,0.121621622
800,0.2,blocking,31,0.083783784
800,0.2,blocking_blind,90,0.243243243
800,0.2,density,44,0.118918919
800,0.2,interaction,32,0.086486486
800,0.2,interaction_blind,118,0.318918919
800,0.2,linear,7,0.018918919
800,0.2,non-linear,48,0.12972973
800,0.4,blocking,29,0.078378378
800,0.4,blocking_blind,72,0.194594595
800,0.4,density,44,0.118918919
800,0.4,interaction,32,0.086486486
800,0.4,interaction_blind,136,0.367567568
800,0.4,linear,8,0.021621622
800,0.4,non-linear,49,0.132432432
800,0.8,blocking,20,0.054054054
800,0.8,blocking_blind,60,0.162162162
800,0.8,density,44,0.118918919
800,0.8,interaction,36,0.097297297
800,0.8,interaction_blind,151,0.408108108
800,0.8,linear,9,0.024324324
800,0.8,non-linear,50,0.135135135
1600,0.05,blocking,41,0.110810811
1600,0.05,blocking_blind,110,0.297297297
1600,0.05,density,43,0.116216216
1600,0.05,interaction,23,0.062162162
1600,0.05,interaction_blind,94,0.254054054
1600,0.05,linear,8,0.021621622
1600,0.05,non-linear,51,0.137837838
1600,0.1,blocking,36,0.097297297
1600,0.1,blocking_blind,95,0.256756757
1600,0.1,density,44,0.118918919
1600,0.1,interaction,28,0.075675676
1600,0.1,interaction_blind,107,0.289189189
1600,0.1,linear,8,0.021621622
1600,0.1,non-linear,52,0.140540541
1600,0.2,blocking,30,0.081081081
1600,0.2,blocking_blind,78,0.210810811
1600,0.2,density,44,0.118918919
1600,0.2,interaction,33,0.089189189
1600,0.2,interaction_blind,123,0.332432432
1600,0.2,linear,9,0.024324324
1600,0.2,non-linear,53,0.143243243
1600,0.4,blocking,27,0.072972973
1600,0.4,blocking_blind,67,0.181081081
1600,0.4,density,43,0.116216216
1600,0.4,interaction,36,0.097297297
1600,0.4,interaction_blind,135,0.364864865
1600,0.4,linear,9,0.024324324
1600,0.4,non-linear,53,0.143243243
1600,0.8,blocking,17,0.045945946
1600,0.8,blocking_blind,54,0.145945946
1600,0.8,density,43,0.116216216
1600,0.8,interaction,39,0.105405405
1600,0.8,interaction_blind,152,0.410810811
1600,0.8,linear,10,0.027027027
1600,0.8,non-linear,55,0.148648649
3200,0.05,blocking,36,0.097297297
3200,0.05,blocking_blind,98,0.264864865
3200,0.05,density,44,0.118918919
3200,0.05,interaction,26,0.07027027
3200,0.05,interaction_blind,99,0.267567568
3200,0.05,linear,8,0.021621622
3200,0.05,non-linear,59,0.159459459
3200,0.1,blocking,35,0.094594595
3200,0.1,blocking_blind,79,0.213513514
3200,0.1,density,44,0.118918919
3200,0.1,interaction,28,0.075675676
3200,0.1,interaction_blind,116,0.313513514
3200,0.1,linear,9,0.024324324
3200,0.1,non-linear,59,0.159459459
3200,0.2,blocking,28,0.075675676
3200,0.2,blocking_blind,72,0.194594595
3200,0.2,density,44,0.118918919
3200,0.2,interaction,33,0.089189189
3200,0.2,interaction_blind,126,0.340540541
