,size,type,condition,board,heuristic_name,moves,userid,board_size,board_type,board_name,solved,action,solutionAndValidationCorrectPercent,solutionAndValidationCorrect,solutionCorrect,actionsSolution
78,10,MC,full,10 MC full,interaction,450,d5b22aaa,10,easy,10_easy_full,wrong,112,0,0,0,112
79,10,MC,full,10 MC full,interaction,450,d6a29462,10,easy,10_easy_full,wrong,11,0,0,0,11
80,10,MC,full,10 MC full,interaction,450,d6c10e9a,10,easy,10_easy_full,wrong,48,0,0,0,48
81,10,MC,full,10 MC full,interaction,450,dacfd3d4,10,easy,10_easy_full,wrong,74,0,0,0,74
82,10,MC,full,10 MC full,interaction,450,daf74d3f,10,easy,10_easy_full,validatedCorrect,12,100,1,1,12
83,10,MC,full,10 MC full,interaction,450,dec24cb0,10,easy,10_easy_full,wrong,68,0,0,0,68
84,10,MC,full,10 MC full,interaction,450,e4a2eb1e,10,easy,10_easy_full,validatedCorrect,24,100,1,1,24
85,10,MC,full,10 MC full,interaction,450,e6abcdb2,10,easy,10_easy_full,validatedCorrect,12,100,1,1,12
86,10,MC,full,10 MC full,interaction,450,e9bbf006,10,easy,10_easy_full,wrong,55,0,0,0,55
87,10,MC,full,10 MC full,interaction,450,ebb5828a,10,easy,10_easy_full,validatedCorrect,59,100,1,1,59
88,10,MC,full,10 MC full,interaction,450,edd28ea2,10,easy,10_easy_full,wrong,1,0,0,0,1
89,10,MC,full,10 MC full,interaction,450,efa589db,10,easy,10_easy_full,wrong,13,0,0,0,13
90,10,MC,full,10 MC full,interaction,450,efcee9b9,10,easy,10_easy_full,solvedCorrect,14,0,0,1,14
91,10,MC,full,10 MC full,interaction,450,f1fbe0de,10,easy,10_easy_full,wrong,21,0,0,0,21
92,10,MC,full,10 MC full,interaction,450,f2a2ed5c,10,easy,10_easy_full,wrong,1,0,0,0,1
93,10,MC,full,10 MC full,interaction,450,f5dac888,10,easy,10_easy_full,wrong,58,0,0,0,58
94,10,MC,full,10 MC full,interaction,450,f8c437b8,10,easy,10_easy_full,wrong,8,0,0,0,8
95,10,MC,full,10 MC full,interaction,450,fcb2e96f,10,easy,10_easy_full,solvedCorrect,11,0,0,1,11
96,10,MC,full,10 MC full,interaction,450,fcf4f6d3,10,easy,10_easy_full,wrong,26,0,0,0,26
97,10,MC,full,10 MC full,interaction,450,fcfefd95,10,easy,10_easy_full,solvedCorrect,5,0,0,1,5
98,10,MC,full,10 MC full,interaction,450,fedbec09,10,easy,10_easy_full,solvedCorrect,26,0,0,1,26
99,10,MC,full,10 MC full,interaction,450,fee29090,10,easy,10_easy_full,wrong,49,0,0,0,49
100,10,MC,full,10 MC full,interaction,450,feef235a,10,easy,10_easy_full,wrong,89,0,0,0,89
101,10,MC,truncated,10 MC truncated,interaction,198,11f436f2,10,easy,10_easy_pruned,validatedCorrect,3,100,1,1,3
102,10,MC,truncated,10 MC truncated,interaction,198,13e5a30f,10,easy,10_easy_pruned,validatedCorrect,27,100,1,1,27
103,10,MC,truncated,10 MC truncated,interaction,198,16c1a872,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
104,10,MC,truncated,10 MC truncated,interaction,198,1feef0c1,10,easy,10_easy_pruned,validatedCorrect,18,100,1,1,18
105,10,MC,truncated,10 MC truncated,interaction,198,23a58279,10,easy,10_easy_pruned,validatedCorrect,7,100,1,1,7
106,10,MC,truncated,10 MC truncated,interaction,198,23b6aa96,10,easy,10_easy_pruned,solvedCorrect,39,0,0,1,39
107,10,MC,truncated,10 MC truncated,interaction,198,29bff31a,10,easy,10_easy_pruned,validatedCorrect,3,100,1,1,3
108,10,MC,truncated,10 MC truncated,interaction,198,2ac591b0,10,easy,10_easy_pruned,wrong,15,0,0,0,15
109,10,MC,truncated,10 MC truncated,interaction,198,2ce1ab22,10,easy,10_easy_pruned,validatedCorrect,9,100,1,1,9
110,10,MC,truncated,10 MC truncated,interaction,198,2ed2eb11,10,easy,10_easy_pruned,validatedCorrect,11,100,1,1,11
111,10,MC,truncated,10 MC truncated,interaction,198,2fd101b0,10,easy,10_easy_pruned,wrong,61,0,0,0,61
112,10,MC,truncated,10 MC truncated,interaction,198,34c6c058,10,easy,10_easy_pruned,wrong,6,0,0,0,6
113,10,MC,truncated,10 MC truncated,interaction,198,38c1ac46,10,easy,10_easy_pruned,validatedCorrect,13,100,1,1,13
114,10,MC,truncated,10 MC truncated,interaction,198,39afd1eb,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
115,10,MC,truncated,10 MC truncated,interaction,198,39eeed89,10,easy,10_easy_pruned,wrong,21,0,0,0,21
116,10,MC,truncated,10 MC truncated,interaction,198,3ab7160d,10,easy,10_easy_pruned,validatedCorrect,62,100,1,1,62
117,10,MC,truncated,10 MC truncated,interaction,198,3ebbc051,10,easy,10_easy_pruned,wrong,3,0,0,0,3
118,10,MC,truncated,10 MC truncated,interaction,198,40a29d8c,10,easy,10_easy_pruned,validatedCorrect,28,100,1,1,28
119,10,MC,truncated,10 MC truncated,interaction,198,43dbc360,10,easy,10_easy_pruned,validatedCorrect,31,100,1,1,31
120,10,MC,truncated,10 MC truncated,interaction,198,44b696ef,10,easy,10_easy_pruned,wrong,1,0,0,0,1
121,10,MC,truncated,10 MC truncated,interaction,198,46c12352,10,easy,10_easy_pruned,validatedCorrect,18,100,1,1,18
122,10,MC,truncated,10 MC truncated,interaction,198,47dbc824,10,easy,10_easy_pruned,wrong,25,0,0,0,25
123,10,MC,truncated,10 MC truncated,interaction,198,48f1c6a9,10,easy,10_easy_pruned,validatedCorrect,9,100,1,1,9
124,10,MC,truncated,10 MC truncated,interaction,198,49b6bf52,10,easy,10_easy_pruned,wrong,40,0,0,0,40
125,10,MC,truncated,10 MC truncated,interaction,198,4eb4f441,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
126,10,MC,truncated,10 MC truncated,interaction,198,4ecfea32,10,easy,10_easy_pruned,wrong,64,0,0,0,64
127,10,MC,truncated,10 MC truncated,interaction,198,4fb692a0,10,easy,10_easy_pruned,wrong,5,0,0,0,5
128,10,MC,truncated,10 MC truncated,interaction,198,53e6ac01,10,easy,10_easy_pruned,wrong,23,0,0,0,23
129,10,MC,truncated,10 MC truncated,interaction,198,58e1a94c,10,easy,10_easy_pruned,validatedCorrect,9,100,1,1,9
130,10,MC,truncated,10 MC truncated,interaction,198,59f235f8,10,easy,10_easy_pruned,validatedCorrect,6,100,1,1,6
131,10,MC,truncated,10 MC truncated,interaction,198,5aa6aa9a,10,easy,10_easy_pruned,wrong,22,0,0,0,22
132,10,MC,truncated,10 MC truncated,interaction,198,5aebf3c2,10,easy,10_easy_pruned,wrong,19,0,0,0,19
133,10,MC,truncated,10 MC truncated,interaction,198,5de15d4b,10,easy,10_easy_pruned,wrong,1,0,0,0,1
134,10,MC,truncated,10 MC truncated,interaction,198,60e6bcce,10,easy,10_easy_pruned,wrong,53,0,0,0,53
135,10,MC,truncated,10 MC truncated,interaction,198,66eee342,10,easy,10_easy_pruned,validatedCorrect,129,100,1,1,129
136,10,MC,truncated,10 MC truncated,interaction,198,67f6aca8,10,easy,10_easy_pruned,wrong,5,0,0,0,5
137,10,MC,truncated,10 MC truncated,interaction,198,68e1bb60,10,easy,10_easy_pruned,wrong,5,0,0,0,5
138,10,MC,truncated,10 MC truncated,interaction,198,6df29cec,10,easy,10_easy_pruned,validatedCorrect,19,100,1,1,19
139,10,MC,truncated,10 MC truncated,interaction,198,6fcee175,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
140,10,MC,truncated,10 MC truncated,interaction,198,76bfdf0b,10,easy,10_easy_pruned,wrong,40,0,0,0,40
141,10,MC,truncated,10 MC truncated,interaction,198,79c1b235,10,easy,10_easy_pruned,solvedCorrect,11,0,0,1,11
142,10,MC,truncated,10 MC truncated,interaction,198,83aeef63,10,easy,10_easy_pruned,validatedCorrect,32,100,1,1,32
143,10,MC,truncated,10 MC truncated,interaction,198,83b2c2e2,10,easy,10_easy_pruned,validatedCorrect,25,100,1,1,25
144,10,MC,truncated,10 MC truncated,interaction,198,83b6b30c,10,easy,10_easy_pruned,wrong,42,0,0,0,42
145,10,MC,truncated,10 MC truncated,interaction,198,83e29fb7,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
146,10,MC,truncated,10 MC truncated,interaction,198,83f15600,10,easy,10_easy_pruned,wrong,1,0,0,0,1
147,10,MC,truncated,10 MC truncated,interaction,198,87a6b32b,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
148,10,MC,truncated,10 MC truncated,interaction,198,89cbfdf9,10,easy,10_easy_pruned,validatedCorrect,55,100,1,1,55
149,10,MC,truncated,10 MC truncated,interaction,198,8defd34b,10,easy,10_easy_pruned,wrong,45,0,0,0,45
150,10,MC,truncated,10 MC truncated,interaction,198,8eb1ba3b,10,easy,10_easy_pruned,wrong,39,0,0,0,39
151,10,MC,truncated,10 MC truncated,interaction,198,8ec146c8,10,easy,10_easy_pruned,validatedCorrect,10,100,1,1,10
152,10,MC,truncated,10 MC truncated,interaction,198,8ff6ab84,10,easy,10_easy_pruned,solvedCorrect,7,0,0,1,7
153,10,MC,truncated,10 MC truncated,interaction,198,92f69945,10,easy,10_easy_pruned,validatedCorrect,12,100,1,1,12
154,10,MC,truncated,10 MC truncated,interaction,198,99b44e42,10,easy,10_easy_pruned,wrong,22,0,0,0,22
155,10,MC,truncated,10 MC truncated,interaction,198,99f6aaf6,10,easy,10_easy_pruned,solvedCorrect,38,0,0,1,38
156,10,MC,truncated,10 MC truncated,interaction,198,9af4b085,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
157,10,MC,truncated,10 MC truncated,interaction,198,9ef6ace9,10,easy,10_easy_pruned,wrong,40,0,0,0,40
158,10,MC,truncated,10 MC truncated,interaction,198,9fa593df,10,easy,10_easy_pruned,wrong,7,0,0,0,7
159,10,MC,truncated,10 MC truncated,interaction,198,9fe6c937,10,easy,10_easy_pruned,validatedCorrect,38,100,1,1,38
160,10,MC,truncated,10 MC truncated,interaction,198,a2c12212,10,easy,10_easy_pruned,wrong,4,0,0,0,4
161,10,MC,truncated,10 MC truncated,interaction,198,a7bfd4fc,10,easy,10_easy_pruned,wrong,15,0,0,0,15
162,10,MC,truncated,10 MC truncated,interaction,198,acb11b17,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
