,heuristic,percent
0,density,10.505836575875486
1,linear,5.836575875486381
2,non-linear,11.673151750972762
3,interaction,21.78988326848249
4,blocking,50.19455252918288
5,density,14.396887159533073
6,linear,5.447470817120623
7,non-linear,8.949416342412452
8,interaction,22.17898832684825
9,blocking,49.0272373540856
10,density,12.45136186770428
11,linear,6.614785992217899
12,non-linear,10.505836575875486
13,interaction,22.17898832684825
14,blocking,48.249027237354085
15,density,12.840466926070038
16,linear,3.8910505836575875
17,non-linear,8.171206225680933
18,interaction,23.73540856031128
19,blocking,51.36186770428015
20,density,12.840466926070038
21,linear,5.058365758754864
22,non-linear,6.22568093385214
23,interaction,25.680933852140075
24,blocking,50.19455252918288
25,density,10.505836575875486
26,linear,5.058365758754864
27,non-linear,8.560311284046692
28,interaction,19.844357976653697
29,blocking,56.03112840466926
30,density,10.894941634241246
31,linear,5.836575875486381
32,non-linear,8.560311284046692
33,interaction,22.957198443579767
34,blocking,51.75097276264592
35,density,12.45136186770428
36,linear,3.11284046692607
37,non-linear,11.673151750972762
38,interaction,21.011673151750973
39,blocking,51.75097276264592
40,density,10.894941634241246
41,linear,6.22568093385214
42,non-linear,13.618677042801556
43,interaction,20.622568093385212
44,blocking,48.63813229571984
45,density,14.785992217898833
46,linear,7.003891050583658
47,non-linear,8.949416342412452
48,interaction,19.45525291828794
49,blocking,49.80544747081712
50,density,12.062256809338521
51,linear,4.669260700389105
52,non-linear,9.72762645914397
53,interaction,20.233463035019454
54,blocking,53.30739299610895
55,density,11.673151750972762
56,linear,7.003891050583658
57,non-linear,8.560311284046692
58,interaction,23.73540856031128
59,blocking,49.0272373540856
60,density,13.229571984435799
61,linear,5.836575875486381
62,non-linear,9.33852140077821
63,interaction,16.731517509727624
64,blocking,54.86381322957199
65,density,13.229571984435799
66,linear,4.669260700389105
67,non-linear,8.560311284046692
68,interaction,22.17898832684825
69,blocking,51.36186770428015
70,density,12.45136186770428
71,linear,5.836575875486381
72,non-linear,8.171206225680933
73,interaction,19.06614785992218
74,blocking,54.474708171206224
75,density,8.560311284046692
76,linear,6.22568093385214
77,non-linear,8.949416342412452
78,interaction,24.5136186770428
79,blocking,51.75097276264592
80,density,14.396887159533073
81,linear,5.836575875486381
82,non-linear,8.560311284046692
83,interaction,20.622568093385212
84,blocking,50.583657587548636
85,density,10.505836575875486
86,linear,6.614785992217899
87,non-linear,10.116731517509727
88,interaction,20.622568093385212
89,blocking,52.14007782101168
90,density,11.673151750972762
91,linear,4.669260700389105
92,non-linear,9.72762645914397
93,interaction,18.67704280155642
94,blocking,55.252918287937746
95,density,10.894941634241246
96,linear,5.058365758754864
97,non-linear,8.949416342412452
98,interaction,20.233463035019454
99,blocking,54.86381322957199
100,density,11.284046692607005
101,linear,7.003891050583658
102,non-linear,8.949416342412452
103,interaction,17.898832684824903
104,blocking,54.86381322957199
105,density,13.229571984435799
106,linear,3.8910505836575875
107,non-linear,11.284046692607005
108,interaction,20.622568093385212
109,blocking,50.97276264591439
110,density,13.618677042801556
111,linear,4.280155642023346
112,non-linear,8.949416342412452
113,interaction,21.78988326848249
114,blocking,51.36186770428015
115,density,12.45136186770428
116,linear,5.447470817120623
117,non-linear,6.22568093385214
118,interaction,24.5136186770428
119,blocking,51.36186770428015
120,density,13.618677042801556
121,linear,5.836575875486381
122,non-linear,6.22568093385214
123,interaction,20.233463035019454
124,blocking,54.08560311284047
125,density,13.229571984435799
126,linear,4.669260700389105
127,non-linear,12.062256809338521
128,interaction,17.120622568093385
129,blocking,52.918287937743195
130,density,11.284046692607005
131,linear,6.614785992217899
132,non-linear,7.392996108949417
133,interaction,22.56809338521401
134,blocking,52.14007782101168
135,density,12.062256809338521
136,linear,3.11284046692607
137,non-linear,8.949416342412452
138,interaction,23.346303501945524
139,blocking,52.52918287937744
140,density,10.894941634241246
141,linear,7.003891050583658
142,non-linear,11.284046692607005
143,interaction,19.45525291828794
144,blocking,51.36186770428015
145,density,10.505836575875486
146,linear,5.836575875486381
147,non-linear,9.33852140077821
148,interaction,19.844357976653697
149,blocking,54.474708171206224
150,density,12.840466926070038
151,linear,4.669260700389105
152,non-linear,10.116731517509727
153,interaction,21.40077821011673
154,blocking,50.97276264591439
155,density,13.229571984435799
156,linear,5.836575875486381
157,non-linear,10.894941634241246
158,interaction,19.844357976653697
159,blocking,50.19455252918288
160,density,12.840466926070038
161,linear,4.669260700389105
162,non-linear,10.116731517509727
163,interaction,20.233463035019454
164,blocking,52.14007782101168
165,density,12.45136186770428
166,linear,4.669260700389105
167,non-linear,11.284046692607005
168,interaction,22.56809338521401
169,blocking,49.0272373540856
170,density,12.45136186770428
171,linear,5.058365758754864
172,non-linear,11.284046692607005
173,interaction,19.45525291828794
174,blocking,51.75097276264592
175,density,14.007782101167315
176,linear,5.058365758754864
177,non-linear,8.171206225680933
178,interaction,21.40077821011673
179,blocking,51.36186770428015
180,density,11.673151750972762
181,linear,3.8910505836575875
182,non-linear,9.72762645914397
183,interaction,19.45525291828794
184,blocking,55.252918287937746
185,density,12.840466926070038
186,linear,5.447470817120623
187,non-linear,9.33852140077821
188,interaction,19.844357976653697
189,blocking,52.52918287937744
190,density,14.007782101167315
191,linear,5.058365758754864
192,non-linear,11.284046692607005
193,interaction,19.844357976653697
194,blocking,49.80544747081712
195,density,12.840466926070038
196,linear,5.058365758754864
197,non-linear,9.33852140077821
198,interaction,22.957198443579767
199,blocking,49.80544747081712
200,density,11.673151750972762
201,linear,6.22568093385214
202,non-linear,8.949416342412452
203,interaction,21.011673151750973
204,blocking,52.14007782101168
205,density,10.505836575875486
206,linear,6.614785992217899
207,non-linear,11.673151750972762
208,interaction,20.622568093385212
209,blocking,50.583657587548636
210,density,12.45136186770428
211,linear,3.8910505836575875
212,non-linear,9.72762645914397
213,interaction,20.622568093385212
214,blocking,53.30739299610895
215,density,11.673151750972762
216,linear,5.836575875486381
217,non-linear,10.116731517509727
218,interaction,19.45525291828794
219,blocking,52.918287937743195
220,density,14.785992217898833
221,linear,5.058365758754864
222,non-linear,10.505836575875486
223,interaction,18.28793774319066
224,blocking,51.36186770428015
225,density,13.229571984435799
226,linear,4.280155642023346
227,non-linear,8.560311284046692
228,interaction,24.5136186770428
229,blocking,49.416342412451364
230,density,13.618677042801556
231,linear,6.22568093385214
232,non-linear,7.392996108949417
233,interaction,17.898832684824903
234,blocking,54.86381322957199
235,density,13.618677042801556
236,linear,6.22568093385214
237,non-linear,7.003891050583658
238,interaction,19.06614785992218
239,blocking,54.08560311284047
240,density,12.062256809338521
241,linear,5.058365758754864
242,non-linear,10.116731517509727
243,interaction,19.06614785992218
244,blocking,53.69649805447471
245,density,11.284046692607005
246,linear,5.058365758754864
247,non-linear,11.284046692607005
248,interaction,21.011673151750973
249,blocking,51.36186770428015
250,density,12.45136186770428
251,linear,6.22568093385214
252,non-linear,8.560311284046692
253,interaction,22.17898832684825
254,blocking,50.583657587548636
255,density,13.229571984435799
256,linear,5.058365758754864
257,non-linear,9.72762645914397
258,interaction,19.45525291828794
259,blocking,52.52918287937744
260,density,10.894941634241246
261,linear,6.614785992217899
262,non-linear,9.33852140077821
263,interaction,19.06614785992218
264,blocking,54.08560311284047
265,density,12.840466926070038
266,linear,5.447470817120623
267,non-linear,10.894941634241246
268,interaction,17.120622568093385
269,blocking,53.69649805447471
270,density,14.396887159533073
271,linear,4.280155642023346
272,non-linear,8.560311284046692
273,interaction,20.622568093385212
274,blocking,52.14007782101168
275,density,10.505836575875486
276,linear,6.614785992217899
277,non-linear,10.505836575875486
278,interaction,21.40077821011673
279,blocking,50.97276264591439
280,density,12.840466926070038
281,linear,7.003891050583658
282,non-linear,9.72762645914397
283,interaction,19.06614785992218
284,blocking,51.36186770428015
285,density,11.284046692607005
286,linear,7.782101167315175
287,non-linear,9.72762645914397
288,interaction,20.233463035019454
289,blocking,50.97276264591439
290,density,12.45136186770428
291,linear,4.280155642023346
292,non-linear,10.505836575875486
293,interaction,20.233463035019454
294,blocking,52.52918287937744
295,density,14.007782101167315
296,linear,5.447470817120623
297,non-linear,7.392996108949417
298,interaction,19.844357976653697
299,blocking,53.30739299610895
300,density,13.229571984435799
301,linear,4.280155642023346
302,non-linear,6.614785992217899
303,interaction,24.124513618677042
304,blocking,51.75097276264592
305,density,14.785992217898833
306,linear,4.669260700389105
307,non-linear,7.392996108949417
308,interaction,16.342412451361866
309,blocking,56.809338521400775
310,density,12.062256809338521
311,linear,4.669260700389105
312,non-linear,10.116731517509727
313,interaction,20.622568093385212
314,blocking,52.52918287937744
315,density,11.673151750972762
316,linear,5.836575875486381
317,non-linear,9.33852140077821
318,interaction,22.17898832684825
319,blocking,50.97276264591439
320,density,12.45136186770428
321,linear,5.058365758754864
322,non-linear,11.284046692607005
323,interaction,21.011673151750973
324,blocking,50.19455252918288
325,density,13.618677042801556
326,linear,5.058365758754864
327,non-linear,9.72762645914397
328,interaction,20.233463035019454
329,blocking,51.36186770428015
330,density,12.45136186770428
331,linear,6.22568093385214
332,non-linear,7.392996108949417
333,interaction,22.56809338521401
334,blocking,51.36186770428015
335,density,12.45136186770428
336,linear,5.447470817120623
337,non-linear,8.949416342412452
338,interaction,22.957198443579767
339,blocking,50.19455252918288
340,density,13.229571984435799
341,linear,5.447470817120623
342,non-linear,8.560311284046692
343,interaction,22.17898832684825
344,blocking,50.583657587548636
345,density,12.45136186770428
346,linear,7.003891050583658
347,non-linear,8.560311284046692
348,interaction,23.73540856031128
349,blocking,48.249027237354085
350,density,12.45136186770428
351,linear,5.058365758754864
352,non-linear,10.894941634241246
353,interaction,21.011673151750973
354,blocking,50.583657587548636
355,density,12.45136186770428
356,linear,5.447470817120623
357,non-linear,8.560311284046692
358,interaction,22.17898832684825
359,blocking,51.36186770428015
360,density,13.229571984435799
361,linear,4.280155642023346
362,non-linear,8.949416342412452
363,interaction,21.40077821011673
364,blocking,52.14007782101168
365,density,13.229571984435799
366,linear,4.669260700389105
367,non-linear,10.894941634241246
368,interaction,22.17898832684825
369,blocking,49.0272373540856
