,fitted_heuristic,log_likelihood,userid
144,density,-2.6552659669999996,67abf219
145,non-linear,-1.9253927230952377,6cbbcdf7
146,non-linear,-2.008641585095238,6fc70a09
147,density,-2.9134082829090913,7acbc3e2
148,blocking,-1.3838119705999998,7cc119e0
149,blocking,-0.8675318408181817,7db4f1d2
150,interaction,-1.3995535814285716,8ab71c6b
151,blocking,-1.161550420666667,94abbfb2
152,interaction,-2.293361902916667,96afd320
153,density,-2.0945164842,9db10b00
154,linear,-2.082494534333333,adfac866
155,interaction,-0.2044504505,b7e510d3
156,interaction,-0.206248088,c0cbeef2
157,blocking,-1.05357019025,c8afed22
158,interaction,-1.1294621363333333,c9c757af
159,non-linear,-1.8024362939230771,d2d73ea5
160,non-linear,-2.33317046875,dcfbe5af
161,density,-2.097352732333333,ddb7456a
162,linear,-2.6478131400625005,dfa705b9
163,blocking,-2.1151124605,e1b100ae
164,density,-2.8035500830370372,edbbcb60
165,blocking,-2.4495572388749998,26e680e4
166,blocking,-0.9789395916666667,2fe692a5
167,blocking,-1.7834572734444443,31b4fc9e
168,blocking,-2.0305217839333336,3ac5170c
169,blocking,-3.3735908513333337,56e6f5d2
170,blocking,-2.5362245963870973,5cd6bb63
171,interaction,-2.4524968254285717,67f69d24
172,interaction,-2.405903005510204,6ac7311a
173,blocking,-2.162558032375,6dfbeafe
174,blocking,-2.599097257367347,70bffd4d
175,blocking,-1.5610082122500002,8de6a2af
176,blocking,-2.5177529920000006,92a70054
177,blocking,-1.47187000768,9ae751bc
178,blocking,-2.2261996664285717,abdacc98
179,blocking,-2.377088333490196,acc6e9d4
180,blocking,-2.6292525898478267,b4a4f22a
181,blocking,-1.8854998116428567,c8c4f85a
182,non-linear,-2.822450879571428,cff10c9a
183,blocking,-2.413816757878788,d6c10e9a
184,blocking,-1.37376972475,daf74d3f
185,non-linear,-2.354610361125,e6abcdb2
186,blocking,-3.2572641492894725,e9bbf006
187,blocking,-2.501323696428571,f1fbe0de
188,interaction,-2.9064960343333333,39afd1eb
189,blocking,-0.9022221486666667,4eb4f441
190,non-linear,-2.838668334846154,5aebf3c2
191,blocking,-2.229201626125,92f69945
192,blocking,-0.7002993743333334,acb11b17
193,blocking,-1.8373200692,b9e10f8b
194,blocking,-2.7101862494285713,c7c6f18d
195,interaction,-2.672319276,ceafe698
196,non-linear,-1.4892269903333333,cec10cc8
197,non-linear,-2.6850335151999998,eec719ce
198,blocking,-1.8096564523636365,f8efd664
