,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
161,10_hard_pruned,blocking,-2.20588468623,-1.86795879867,-1.86795879867,-2.45167637256,-1.89340937383,-1.89340937383,-2.20588468623,32fad07f
162,10_hard_pruned,interaction,-3.145453503,-2.9932150022,-3.1734545422,-3.18712499844,-3.13761708023,-2.95737754022,-3.24589499377,41bad9a2
163,10_hard_pruned,interaction_dens,-5.42280803058,-5.65607618304,-5.32595367173,-5.33852629807,-5.29410885908,-5.62423137039,-5.36230216694,4bfffc8c
164,10_hard_pruned,blocking,-1.62537918981,-1.17293465819,-1.17293465819,-1.88990987806,-1.22481780355,-1.22481780355,-1.62537918981,5bc4f225
165,10_hard_pruned,density,-4.21443486747,-4.50715359038,-4.01891287609,-3.83378732148,-3.94171050131,-4.4299512156,-3.87124658713,77ba7edc
166,10_hard_pruned,blocking_dens,-2.69775523721,-2.35786716131,-2.24552614206,-2.76439520472,-2.36254477782,-2.47488579707,-2.61445151685,7dea8d37
167,10_hard_pruned,density,-3.64052653339,-3.653892573,-3.34173097766,-3.33873838079,-3.37920298547,-3.69136458081,-3.38209680423,7ef11f8d
168,10_hard_pruned,blocking_dens,-2.2582889539,-1.86024798908,-1.8384296468,-2.35102729844,-1.9000124613,-1.92183080357,-2.25202200356,8aa6d830
169,10_hard_pruned,blocking,-2.76399765702,-2.41048080758,-2.52294000761,-2.97857976587,-2.67827745942,-2.56581825939,-2.81811668516,8ea50714
170,10_hard_pruned,blocking_dens,-2.30243731174,-2.02958889877,-1.94460602991,-2.31310042428,-1.94847172279,-2.03345459165,-2.19355553979,98c10b8a
171,10_hard_pruned,density,-3.2293796314,-3.07948796727,-3.11190338085,-3.04974811457,-3.11443276103,-3.08201734745,-3.11229326066,acdac85f
172,10_hard_pruned,interaction_dens,-3.71473936668,-3.77680419424,-3.14683793021,-3.35413470909,-3.11771090509,-3.74767716912,-3.26430674874,b8bac8b7
173,10_hard_pruned,blocking_dens,-2.19663788025,-1.97035305316,-1.63794708128,-2.29879748144,-1.64937328164,-1.98177925352,-1.96056638749,bcf51783
174,10_hard_pruned,density,-4.00654236131,-4.08986685578,-3.49635426265,-3.36629673724,-3.46278486423,-4.05629745736,-3.43399651604,cce7504c
175,10_hard_pruned,blocking_dens,-3.17439580629,-2.87113379372,-2.80111928565,-3.16574073745,-2.84271842108,-2.91273292915,-3.12110917761,cdc514e1
176,10_hard_pruned,blocking_dens,-4.51733562987,-4.63487102277,-3.97381022595,-4.07457023683,-3.9876442103,-4.64870500712,-3.98155939888,d1cac84b
177,10_hard_pruned,interaction_dens,-3.2704447216,-3.08591494412,-2.94314757851,-3.36515192972,-2.93132682598,-3.0740941916,-3.04502399431,e2b10de5
178,10_hard_pruned,blocking,-2.76697542961,-2.4216414231,-2.5816105259,-2.9672379653,-2.65668967275,-2.49672056995,-2.93995656902,e6efec72
179,10_hard_pruned,blocking,-2.3644656482,-2.07380390055,-2.32716841901,-2.70800096327,-2.33776934547,-2.08440482701,-2.53882144805,edfff93e
180,10_hard_pruned,blocking_dens,-3.39843950379,-3.53738398676,-2.89287677431,-3.38954591501,-2.90634623196,-3.55085344441,-2.93932073187,efd4fa4a
181,10_hard_pruned,linear_dens,-4.14102293676,-4.45117487978,-4.14440061667,-4.49156122382,-4.04669961964,-4.35347388275,-3.97217970938,f3f4f4ae
182,10_hard_pruned,blocking_dens,-3.33141489916,-3.0782382079,-2.88460630602,-3.38630550268,-2.91420724417,-3.10783914606,-3.20000959705,f4c4f33c
183,10_hard_pruned,blocking_dens,-2.69483710181,-2.15501135883,-1.95119629793,-2.41995879898,-2.09052427688,-2.29433933779,-2.49102204091,fcb764e3
184,6_easy_full,blocking_dens,-2.26610084911,-1.83515481229,-1.14679454317,-1.78208031303,-1.43633735386,-2.12469762297,-1.57774058,25dfef96
185,6_easy_full,blocking_dens,-2.80630698509,-2.48631146117,-1.36100618922,-1.71172521514,-1.55691663412,-2.68222190607,-1.68100171314,2aabe76a
186,6_easy_full,density,-4.48420740902,-4.43640773966,-3.38640739161,-3.05568830992,-3.46463096056,-4.5146313086,-3.50257916236,2bcfe659
187,6_easy_full,density,-4.55009174591,-4.64649401685,-3.68809085081,-3.31948386085,-3.64526755017,-4.60367071621,-3.62937757422,32b10037
188,6_easy_full,linear_dens,-3.43853420008,-3.64322444678,-3.11282331597,-3.10412453968,-2.93860442043,-3.46900555124,-2.90784673823,34cffc40
189,6_easy_full,blocking_dens,-1.43086279383,-1.15241303257,-0.625191207417,-1.47788881575,-0.738375745402,-1.26559757055,-0.903640968683,38abe966
190,6_easy_full,blocking,-3.24764549601,-3.04049893808,-3.09166977729,-3.43558162344,-3.10865558529,-3.05748474608,-3.29881633522,3acff9fa
191,6_easy_full,blocking_dens,-1.35912907532,-1.18582214067,-0.824525670928,-1.69145724475,-0.873437608298,-1.23473407804,-0.997832605581,3bac0799
192,6_easy_full,interaction_dens,-2.81861213391,-3.05542655165,-2.73454895867,-2.72925409083,-2.50261305723,-2.8234906502,-2.51010582679,3fcbc0ab
193,6_easy_full,interaction_dens,-2.23189562719,-2.29241374292,-1.65138328829,-2.10547984987,-1.53389652007,-2.17492697469,-1.60217430007,40a74de0
194,6_easy_full,linear_dens,-3.14348056003,-3.41392845268,-3.11923254925,-3.15581734757,-2.93125639523,-3.22595229865,-2.8487846566,4ed755f1
195,6_easy_full,density,-3.07214619725,-3.13570058625,-2.77121600191,-2.63118227242,-2.69430190253,-3.05878648687,-2.70362773579,59d51c4c
196,6_easy_full,density,-4.00090073207,-4.05692983643,-3.10907507329,-2.77245331693,-3.05705583792,-4.00491060106,-3.08819397797,5de11557
197,6_easy_full,interaction_dens,-2.53839756746,-2.55880457,-1.87556689626,-1.97614626043,-1.83554722126,-2.518784895,-1.8589058627,6bca8117
198,6_easy_full,density,-3.67691992664,-3.63761453827,-2.87813658332,-2.69471898368,-2.88381292392,-3.64329087887,-2.9420725783,86f6e2cb
199,6_easy_full,blocking_dens,-2.34669229862,-2.23676587544,-1.8133324775,-2.0468437368,-1.84569746352,-2.26913086146,-1.92285721955,8df4f6e8
200,6_easy_full,density,-2.95259344846,-2.9776559855,-2.80939671831,-2.72823839844,-2.75518595902,-2.92344522622,-2.8245369374,9defd82d
201,6_easy_full,density,-4.45020914066,-4.42699790146,-3.31378860154,-2.79870531848,-3.33123117843,-4.44444047835,-3.34277836258,a6bff327
202,6_easy_full,blocking_dens,-1.83405348645,-1.54475025216,-0.67763872479,-1.44846330494,-0.818287603814,-1.68539913118,-0.966941959078,aedbea55
203,6_easy_full,density,-3.58774110335,-3.58779064471,-2.1577984833,-1.93263021647,-2.13876147528,-3.56875363669,-2.15354095635,b7eae04f
204,6_easy_full,blocking,-3.01558368329,-1.99402512816,-4.10068133285,-4.6858052596,-4.71113403487,-2.60447783018,-5.12223988799,b8a11f60
205,6_easy_full,interaction_dens,-3.92338750035,-4.01068500667,-3.17230386096,-3.15463486686,-3.11006253076,-3.94844367647,-3.12020350048,cfd6ff5a
206,6_easy_full,density,-4.04543772422,-4.472228043,-3.20885139806,-2.56969502503,-2.85658703277,-4.1199636777,-2.8024456945,d3b525de
207,6_easy_full,blocking_dens,-2.7982899614,-2.61221535895,-1.94552495417,-2.19186393529,-2.04531878756,-2.71200919234,-2.13159955662,d6b67ee1
208,6_easy_full,density,-3.49633244571,-3.50490218006,-3.57085734733,-3.3885451323,-3.5389826183,-3.47302745103,-3.56595242446,d6d500ab
209,6_easy_full,density,-3.44651177479,-3.4761478456,-2.56185741079,-2.47184108028,-2.51266853789,-3.4269589727,-2.53223262106,dabbe6bb
210,6_easy_full,density,-4.01226789552,-4.36434130546,-3.54330493056,-2.87296649768,-3.22012337722,-4.04115975212,-3.17768710823,efa7383d
211,6_easy_full,blocking_dens,-1.8624209708,-1.50784765347,-0.82358107443,-1.38517632093,-1.00844031839,-1.69270689744,-1.17815439175,f9c123d7
212,6_easy_full,interaction,-1.79955626388,-1.93947876788,-2.19286304587,-2.4017319226,-2.00953577931,-1.75615150132,-2.05294054187,fda4f169
213,6_easy_pruned,blocking_dens,-2.85926212362,-2.7631472375,-1.69890280045,-1.89464139538,-1.76956514662,-2.83380958367,-1.82311413157,11dfe866
214,6_easy_pruned,blocking_dens,-2.78451327802,-2.67872309841,-1.58278986222,-2.03079676033,-1.62819100313,-2.72412423932,-1.70190356538,16e512d0
215,6_easy_pruned,linear_dens,-2.20809201771,-2.27665253208,-2.02456804871,-2.1430487189,-2.00459491964,-2.25667940301,-1.96324154623,19a105e3
216,6_easy_pruned,interaction,-1.80983630995,-1.55244232513,-2.28547491063,-2.94858005353,-2.26268187887,-1.52964929337,-2.54286889545,1fdbc072
217,6_easy_pruned,density,-4.2999492093,-4.09200434225,-3.57747161843,-3.19080695423,-3.7934336151,-4.30796633892,-3.78515637375,2dca846d
218,6_easy_pruned,interaction_dens,-1.90189939779,-1.86178968721,-1.46570558404,-1.77389970034,-1.40147352012,-1.7975576233,-1.50581529461,2dfbc35a
219,6_easy_pruned,interaction_dens,-3.56095853064,-3.50709217839,-2.23089168792,-2.48206325905,-2.21451841713,-3.4907189076,-2.28475804017,33b693e2
220,6_easy_pruned,interaction_dens,-1.45085628733,-1.44584028032,-1.2615671885,-1.71394286277,-1.16113287803,-1.34540596985,-1.26635804592,33ebe68d
221,6_easy_pruned,density,-3.19470190176,-3.21994440199,-2.54495078776,-2.2302309268,-2.57039479376,-3.245388408,-2.53033362736,4dc50d03
222,6_easy_pruned,linear_dens,-3.45963999338,-3.66993335858,-2.97416382282,-2.96820319057,-2.81837801514,-3.5141475509,-2.77210213735,55a709fd
223,6_easy_pruned,blocking_dens,-2.22169900643,-2.04446517835,-1.33171811607,-1.93525405988,-1.38348966231,-2.09623672459,-1.51794592181,58e72ee8
224,6_easy_pruned,interaction,-2.83493209177,-2.83839641295,-3.2274250343,-3.51032599722,-3.19137653201,-2.80234791066,-3.22650408859,67abc3ab
225,6_easy_pruned,blocking_dens,-3.62274289527,-3.41230820622,-2.14870773638,-2.53209435541,-2.30284294552,-3.56644341535,-2.35874140779,6cbbcdf7
226,6_easy_pruned,blocking_dens,-3.27994148665,-3.24916331837,-2.12954560524,-2.39496876555,-2.14344509367,-3.26306280679,-2.15976583626,6fc70a09
227,6_easy_pruned,blocking_dens,-3.84335212718,-3.65708500337,-2.37400781837,-2.77761217533,-2.48206972417,-3.76514690918,-2.55985316895,7acbc3e2
228,6_easy_pruned,blocking_dens,-2.69558992452,-2.51673702088,-1.44525264932,-2.10458305247,-1.54568035207,-2.61716472363,-1.62410555296,7cc119e0
229,6_easy_pruned,blocking_dens,-2.11530132342,-1.80548942189,-0.963834179065,-1.55570970384,-1.13825066497,-1.9799059078,-1.27349345536,7db4f1d2
230,6_easy_pruned,interaction_dens,-1.56365199169,-1.56154376609,-1.05743672568,-1.71570045664,-0.958092145515,-1.46219918592,-1.05954495128,8ab71c6b
231,6_easy_pruned,blocking_dens,-2.28179379655,-1.64563691973,-0.853468713375,-1.54601071986,-1.30893890587,-2.10110711222,-1.4896255902,94abbfb2
232,6_easy_pruned,density,-2.73233607814,-2.85095289532,-2.44835968153,-2.29379334693,-2.34222281106,-2.74481602484,-2.32934452298,96afd320
233,6_easy_pruned,linear_dens,-2.94187853443,-3.87487810517,-3.50501645366,-2.9146555044,-2.91870491812,-3.28856656963,-2.57107125468,adfac866
234,6_easy_pruned,interaction_dens,-1.42450461303,-1.23155924433,-0.307363003586,-1.64350308321,-0.247379509849,-1.1715757506,-0.500308372285,b7e510d3
235,6_easy_pruned,interaction,-1.59411530647,-1.40991708815,-1.93351179208,-2.79459756781,-1.90583790156,-1.38224319763,-2.1177100104,c0cbeef2
236,6_easy_pruned,blocking_dens,-1.92514565133,-1.79137978584,-1.54145930367,-1.73129089382,-1.64994027176,-1.89986075394,-1.67802406233,c8afed22
237,6_easy_pruned,linear,-1.6277323493,-1.7924533355,-2.02912787553,-1.90575118876,-1.91340849352,-1.67673395349,-1.86742084964,d2d73ea5
238,6_easy_pruned,interaction_dens,-2.86699814441,-3.02827952533,-2.46518732077,-2.7739150735,-2.28232850743,-2.84542071199,-2.30363327442,ddb7456a
239,6_easy_pruned,density,-4.33522615446,-4.2757325217,-2.9198897038,-2.60125586642,-2.93396543228,-4.28980825018,-2.97928947668,dfa705b9
