,blocking,blocking_blind,board,density,heuristic,interaction,interaction_blind,non-linear,userid
0,-4.42473102824,-3.35675163326,6_hard_full,-2.10012951729,density,-4.53569986024,-3.36319017561,-3.93643323768,11d4bf94
1,-2.32386960504,-2.1379179142,6_hard_full,-2.47411664368,interaction_blind,-2.09399886022,-1.99353584314,-2.42580478479,14b4c043
2,-1.67268306384,-1.90115450585,6_hard_full,-2.81367872801,blocking,-1.82425586284,-1.96718486268,-1.97101295698,14c5dc72
3,-1.38873040051,-1.87656725202,6_hard_full,-2.54585899417,blocking,-1.40817373868,-1.83467077937,-1.69497366703,17b4c1ea
4,-2.27202344137,-2.55437424114,6_hard_full,-2.76707756346,interaction,-2.12605182837,-2.50010228142,-2.31899398793,17e120dd
5,-2.5619854393,-2.50034174291,6_hard_full,-2.53322914658,blocking_blind,-3.01728607558,-2.9472634684,-2.97362877857,18dac9ef
6,-1.85561469694,-1.86405834688,6_hard_full,-1.97981344244,interaction_blind,-1.83418821026,-1.6902696576,-1.78782458298,20bfd7bd
7,-3.26270651056,-2.84282831133,6_hard_full,-3.53559194932,blocking_blind,-3.203103977,-2.94607882126,-3.39169668414,22dac859
8,-2.2391906021,-1.48692137064,6_hard_full,-2.6554589885,blocking_blind,-2.29140506169,-1.59658218738,-2.31121670417,24a5e25a
9,-3.0379224229,-2.26879295272,6_hard_full,-2.48426307347,interaction_blind,-2.89593889578,-2.1699703627,-2.71350845158,24b61c03
10,-2.06617154861,-1.78147449689,6_hard_full,-3.02792554643,blocking_blind,-2.17697410453,-1.90674347047,-2.40409603874,24f4c091
11,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.66218678431,25a611ff
12,-5.65809957778,-5.63509869904,6_hard_full,-4.22913235413,density,-5.74031807529,-5.77728951263,-5.47477547356,25b60fb4
13,-1.85677011077,-1.72527404953,6_hard_full,-2.20533170312,non-linear,-1.95625791862,-1.81479885362,-1.61624322279,25c4c0ab
