userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,time_rel_sec,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,260933,260.933,1,5.692743764,2,8.430386905,7.208754252,25,0_3,1.326,4.883,reset,25,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,261809,261.809,2,1,0,1,-10000,24,3_0,0.876,0.876,click,26,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,264210,264.21,1,5.457121599,2,7.458754252,7.208754252,23,2_2,2.401,2.401,click,27,3,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,275549,275.549,2,3.483998016,2,12.23947988,7.141111111,22,2_3,11.339,11.339,click,28,4,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,277817,277.817,1,7.844377834,0,7.844377834,-10000,21,4_3,2.268,2.268,click,29,5,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,294437,294.437,2,4.084376417,2,11.78111111,4.871636905,20,3_2,16.62,16.62,click,30,6,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,298927,298.927,,,,,,,3_2,4.49,4.49,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,299296,299.296,2,4.871636905,1,11.78111111,4.871636905,20,4_2,0.369,4.859,undo,31,6,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,307481,307.481,1,6.512223639,0,6.512223639,-10000,19,2_4,8.185,8.185,click,32,7,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,328335,328.335,2,0.611111111,8,2.28,1.611111111,18,1_4,20.854,20.854,click,33,8,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,331996,331.996,1,0.361111111,8,10000,10000,17,3_4,3.661,3.661,click,34,9,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,336571,336.571,,,,,,,3_4,4.575,4.575,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,350718,350.718,,,,,,,1_4,14.147,18.722,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,351557,351.557,,,,,,,2_4,0.839,19.561,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,352311,352.311,,,,,,,4_2,0.754,20.315,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,353725,353.725,,,,,,,4_3,1.414,21.729,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,355840,355.84,1,7.844377834,0,7.844377834,-10000,21,4_3,2.115,23.844,undo,35,5,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,369963,369.963,2,0.75,10,11.78111111,4.871636905,20,1_0,14.123,14.123,click,36,6,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,376755,376.755,,,,,,,1_0,6.792,6.792,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,381687,381.687,2,1.39,6,11.78111111,4.871636905,20,0_2,4.932,11.724,undo,37,6,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,382983,382.983,1,10000,0,10000,10000,19,3_2,1.296,1.296,click,38,7,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,391166,391.166,2,-10000,0,-10000,-10000,18,1_0,8.183,8.183,click,39,8,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,399590,399.59,1,10000,0,10000,5.722222222,17,4_2,8.424,8.424,click,40,9,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,448077,448.077,,,,,,,,48.487,48.487,click,,,,1.51192E+12
18dac9ef,6_hard_full,6,hard,full,solvedCorrect,click,1.51354E+12,88573,88.573,1,5.692743764,2,8.430386905,7.208754252,25,0_3,88.555,0,,1,1,TRUE,1.51354E+12
18dac9ef,6_hard_full,6,hard,full,solvedCorrect,click,1.51354E+12,95754,95.754,2,1,0,1,-10000,24,3_0,7.181,7.181,click,2,2,FALSE,1.51354E+12
18dac9ef,6_hard_full,6,hard,full,solvedCorrect,click,1.51354E+12,111122,111.122,1,1.737847222,7,7.458754252,7.208754252,23,0_5,15.368,15.368,click,3,3,FALSE,1.51354E+12
18dac9ef,6_hard_full,6,hard,full,solvedCorrect,click,1.51354E+12,113257,113.257,2,-10000,1,1.611111111,-10000,22,2_3,2.135,2.135,click,4,4,FALSE,1.51354E+12
18dac9ef,6_hard_full,6,hard,full,solvedCorrect,click,1.51354E+12,114243,114.243,1,10000,0,10000,7.844377834,21,0_2,0.986,0.986,click,5,5,FALSE,1.51354E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,11065,11.065,1,5.457121599,3,8.430386905,7.208754252,25,2_2,10.985,0,,1,1,TRUE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,15889,15.889,2,10000,0,10000,12.23947988,24,2_3,4.824,4.824,click,2,2,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,23623,23.623,1,-10000,0,-10000,-10000,23,3_2,7.734,7.734,click,3,3,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,26156,26.156,2,10000,0,10000,10000,22,4_3,2.533,2.533,click,4,4,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,27822,27.822,1,10000,0,10000,10000,21,0_2,1.666,1.666,click,5,5,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,reset,1.51191E+12,33692,33.692,,,,,,,,5.87,5.87,click,,,,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,37857,37.857,1,7.208754252,1,8.430386905,7.208754252,25,3_2,4.165,10.035,reset,6,1,TRUE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,43185,43.185,2,1.885487528,8,10000,10000,24,4_3,5.328,5.328,click,7,2,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,44615,44.615,1,10000,0,10000,-10000,23,2_3,1.43,1.43,click,8,3,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,48360,48.36,2,-10000,0,-10000,-10000,22,1_4,3.745,3.745,click,9,4,FALSE,1.51191E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,click,1.51191E+12,50000,50,1,10000,0,10000,10000,21,5_0,1.64,1.64,click,10,5,FALSE,1.51191E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,46381,46.381,1,2.955488946,5,8.430386905,7.208754252,25,4_3,46.369,0,,1,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,56628,56.628,,,,,,,4_3,10.247,10.247,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,57483,57.483,1,0.553854875,16,8.430386905,7.208754252,25,5_0,0.855,11.102,undo,2,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,67141,67.141,2,5.692743764,5,10000,10000,24,0_3,9.658,9.658,click,3,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,73750,73.75,,,,,,,0_3,6.609,6.609,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,74526,74.526,,,,,,,5_0,0.776,7.385,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,90821,90.821,1,7.208754252,1,8.430386905,7.208754252,25,3_2,16.295,23.68,undo,4,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,100535,100.535,2,10000,0,10000,10000,24,2_2,9.714,9.714,click,5,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,102411,102.411,1,-10000,0,-10000,-10000,23,1_0,1.876,1.876,click,6,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,105397,105.397,2,2.972222222,7,10000,10000,22,4_3,2.986,2.986,click,7,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,106855,106.855,,,,,,,4_3,1.458,1.458,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,107038,107.038,,,,,,,1_0,0.183,1.641,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,107214,107.214,,,,,,,2_2,0.176,1.817,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,107386,107.386,,,,,,,3_2,0.172,1.989,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,109697,109.697,1,5.457121599,3,8.430386905,7.208754252,25,2_2,2.311,4.3,undo,8,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,112024,112.024,2,10000,0,10000,12.23947988,24,2_3,2.327,2.327,click,9,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,115948,115.948,,,,,,,2_3,3.924,3.924,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,116159,116.159,,,,,,,2_2,0.211,4.135,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,119489,119.489,1,0.710069444,12,8.430386905,7.208754252,25,5_2,3.33,7.465,undo,10,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,128773,128.773,,,,,,,5_2,9.284,9.284,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,129747,129.747,1,2.083333333,7,8.430386905,7.208754252,25,3_0,0.974,10.258,undo,11,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,134827,134.827,2,6.611111111,0,6.611111111,-10000,24,0_3,5.08,5.08,click,12,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,137849,137.849,1,-10000,1,12.70875425,-10000,23,2_0,3.022,3.022,click,13,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,141232,141.232,2,2.109481293,7,10000,10000,22,4_2,3.383,3.383,click,14,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,143971,143.971,1,-10000,0,-10000,-10000,21,2_3,2.739,2.739,click,15,5,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,146541,146.541,2,10000,0,10000,10000,20,2_2,2.57,2.57,click,16,6,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,152398,152.398,,,,,,,2_2,5.857,5.857,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,152814,152.814,,,,,,,2_3,0.416,6.273,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,153146,153.146,,,,,,,4_2,0.332,6.605,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,153374,153.374,,,,,,,2_0,0.228,6.833,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,153590,153.59,,,,,,,0_3,0.216,7.049,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,153792,153.792,,,,,,,3_0,0.202,7.251,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,155788,155.788,1,2.083333333,7,8.430386905,7.208754252,25,3_0,1.996,9.247,undo,17,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,169784,169.784,2,6.611111111,0,6.611111111,-10000,24,0_3,13.996,13.996,click,18,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,186343,186.343,1,-10000,1,12.70875425,-10000,23,4_2,16.559,16.559,click,19,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,190257,190.257,2,1.083475057,13,10000,10000,22,2_0,3.914,3.914,click,20,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,191253,191.253,1,-10000,1,10.4571216,-10000,21,5_2,0.996,0.996,click,21,5,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,195452,195.452,,,,,,,5_2,4.199,4.199,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,218986,218.986,,,,,,,2_0,23.534,27.733,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,219260,219.26,,,,,,,4_2,0.274,28.007,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,219500,219.5,,,,,,,0_3,0.24,28.247,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,219710,219.71,,,,,,,3_0,0.21,28.457,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,226839,226.839,1,2.334586168,6,8.430386905,7.208754252,25,2_4,7.129,35.586,undo,22,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,229516,229.516,2,0.819479875,10,10000,10000,24,3_4,2.677,2.677,click,23,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,231226,231.226,1,14.41712018,1,14.41712018,14.41712018,23,2_3,1.71,1.71,click,24,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,244703,244.703,2,10000,0,10000,-10000,22,2_2,13.477,13.477,click,25,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,259485,259.485,1,-10000,0,-10000,-10000,21,0_3,14.782,14.782,click,26,5,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,261528,261.528,2,1,6,10000,10000,20,3_0,2.043,2.043,click,27,6,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,265168,265.168,,,,,,,3_0,3.64,3.64,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,265520,265.52,,,,,,,0_3,0.352,3.992,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,265716,265.716,,,,,,,2_2,0.196,4.188,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,265883,265.883,,,,,,,2_3,0.167,4.355,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,266024,266.024,,,,,,,3_4,0.141,4.496,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,266205,266.205,,,,,,,2_4,0.181,4.677,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,290095,290.095,1,5.457121599,3,8.430386905,7.208754252,25,2_2,23.89,28.567,undo,28,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,292971,292.971,2,0.442743764,11,10000,12.23947988,24,2_0,2.876,2.876,click,29,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,294813,294.813,1,7.376217404,3,10000,19.05712018,23,2_4,1.842,1.842,click,30,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,296227,296.227,2,10000,0,10000,-10000,22,2_3,1.414,1.414,click,31,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,298134,298.134,1,-10000,0,-10000,-10000,21,4_2,1.907,1.907,click,32,5,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,299678,299.678,2,11.80437642,3,10000,10000,20,3_2,1.544,1.544,click,33,6,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,306473,306.473,1,-10000,0,-10000,-10000,19,4_4,6.795,6.795,click,34,7,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,307800,307.8,2,10000,0,10000,10000,18,4_3,1.327,1.327,click,35,8,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,312639,312.639,,,,,,,4_3,4.839,4.839,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,312864,312.864,,,,,,,4_4,0.225,5.064,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313056,313.056,,,,,,,3_2,0.192,5.256,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313243,313.243,,,,,,,4_2,0.187,5.443,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313425,313.425,,,,,,,2_3,0.182,5.625,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313611,313.611,,,,,,,2_4,0.186,5.811,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313801,313.801,,,,,,,2_0,0.19,6.001,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,313978,313.978,,,,,,,2_2,0.177,6.178,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,319954,319.954,1,5.457121599,3,8.430386905,7.208754252,25,2_2,5.976,12.154,undo,36,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,345510,345.51,2,10000,0,10000,12.23947988,24,2_3,25.556,25.556,click,37,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,348340,348.34,1,-10000,0,-10000,-10000,23,4_3,2.83,2.83,click,38,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,352347,352.347,2,4.084376417,3,10000,11.78111111,22,3_2,4.007,4.007,click,39,4,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,358853,358.853,,,,,,,3_2,6.506,6.506,click,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,359068,359.068,,,,,,,4_3,0.215,6.721,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,359407,359.407,,,,,,,2_3,0.339,7.06,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,undo,1.51354E+12,359607,359.607,,,,,,,2_2,0.2,7.26,undo,,,,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,362916,362.916,1,8.430386905,0,8.430386905,7.208754252,25,2_3,3.309,10.569,undo,40,1,TRUE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,365401,365.401,2,10000,0,10000,12.23947988,24,2_2,2.485,2.485,click,41,2,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,368923,368.923,1,-10000,0,-10000,-10000,23,0_3,3.522,3.522,click,42,3,FALSE,1.51354E+12
22dac859,6_hard_full,6,hard,full,wrong,click,1.51354E+12,372051,372.051,2,0.111111111,17,10000,10000,22,2_0,3.128,3.128,click,43,4,FALSE,1.51354E+12
