userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,time_rel_sec,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,31896,31.896,1,5.457121599,3,8.430386905,7.208754252,25,2_2,31.789,0,,1,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,38903,38.903,2,10000,0,10000,12.23947988,24,2_3,7.007,7.007,click,2,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,42025,42.025,1,-10000,0,-10000,-10000,23,4_3,3.122,3.122,click,3,3,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,55344,55.344,2,1.582743764,6,10000,11.78111111,22,0_2,13.319,13.319,click,4,4,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,66971,66.971,,,,,,,0_2,11.627,11.627,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,68133,68.133,,,,,,,4_3,1.162,12.789,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,70160,70.16,,,,,,,2_3,2.027,14.816,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,72631,72.631,,,,,,,2_2,2.471,17.287,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,73415,73.415,1,8.430386905,0,8.430386905,7.208754252,25,2_3,0.784,18.071,undo,5,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,82451,82.451,2,10000,0,10000,12.23947988,24,2_2,9.036,9.036,click,6,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,91160,91.16,,,,,,,2_2,8.709,8.709,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,91877,91.877,,,,,,,2_3,0.717,9.426,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,100546,100.546,1,1.377847222,10,8.430386905,7.208754252,25,0_2,8.669,18.095,undo,7,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,101794,101.794,2,10000,0,10000,10000,24,2_2,1.248,1.248,click,8,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,108521,108.521,,,,,,,,6.727,6.727,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,118977,118.977,1,1.377847222,10,8.430386905,7.208754252,25,0_2,10.456,17.183,reset,9,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,126274,126.274,2,10000,0,10000,10000,24,2_2,7.297,7.297,click,10,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,132856,132.856,,,,,,,,6.582,6.582,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,139821,139.821,1,5.457121599,3,8.430386905,7.208754252,25,2_2,6.965,13.547,reset,11,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,143648,143.648,2,10000,0,10000,12.23947988,24,2_3,3.827,3.827,click,12,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,153242,153.242,,,,,,,,9.594,9.594,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,154101,154.101,1,5.692743764,2,8.430386905,7.208754252,25,0_3,0.859,10.453,reset,13,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,157593,157.593,2,1,0,1,-10000,24,3_0,3.492,3.492,click,14,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,181844,181.844,1,5.457121599,2,7.458754252,7.208754252,23,2_2,24.251,24.251,click,15,3,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,185912,185.912,2,3.483998016,2,12.23947988,7.141111111,22,2_3,4.068,4.068,click,16,4,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,188612,188.612,1,7.844377834,0,7.844377834,-10000,21,4_3,2.7,2.7,click,17,5,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,199556,199.556,2,4.084376417,2,11.78111111,4.871636905,20,3_2,10.944,10.944,click,18,6,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,217771,217.771,1,0.333333333,12,10000,1.803854875,19,1_5,18.215,18.215,click,19,7,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,219572,219.572,,,,,,,1_5,1.801,1.801,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,230808,230.808,,,,,,,,11.236,13.037,undo,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,231331,231.331,1,5.692743764,2,8.430386905,7.208754252,25,0_3,0.523,13.56,reset,20,1,TRUE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,233693,233.693,2,-10000,1,1,-10000,24,4_0,2.362,2.362,click,21,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,undo,1.51192E+12,234951,234.951,,,,,,,4_0,1.258,1.258,click,,,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,235494,235.494,2,1,0,1,-10000,24,3_0,0.543,1.801,undo,22,2,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,247671,247.671,1,7.458754252,0,7.458754252,7.208754252,23,2_3,12.177,12.177,click,23,3,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,click,1.51192E+12,256050,256.05,2,10000,0,10000,12.23947988,22,2_2,8.379,8.379,click,24,4,FALSE,1.51192E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51192E+12,259607,259.607,,,,,,,,3.557,3.557,click,,,,1.51192E+12
