value,heuristic,
9.71E-17,density,
0.133770249,density,
0.119010178,density,
0.119515074,density,
0,density,
0.040519067,density,
0.110186337,density,
0.133547416,density,
0.136047058,density,
0.133741888,density,
1.94E-16,linear,
1.09E-17,linear,
0,linear,
1.08E-17,linear,
6.94E-17,linear,
1.61E-18,linear,
8.67E-19,linear,
2.41E-18,linear,
0,linear,
1.12E-17,linear,
0,non-linear,
2.72E-18,non-linear,
0,non-linear,
1.82E-18,non-linear,
0,non-linear,
4.64E-19,non-linear,
0,non-linear,
0,non-linear,
3.47E-18,non-linear,
5.95E-18,non-linear,
0.373764311,non-linear-interaction,
0.074551518,non-linear-interaction,
0.257476881,non-linear-interaction,
0.246193304,non-linear-interaction,
0.32441268,non-linear-interaction,
0.040074189,non-linear-interaction,
0.253380247,non-linear-interaction,
0.169616544,non-linear-interaction,
0.235225755,non-linear-interaction,
0.130943756,non-linear-interaction,
0.626235674,blocking,
0.791678217,blocking,
0.623512926,blocking,
0.634291607,blocking,
0.675587306,blocking,
0.919406729,blocking,
0.636433401,blocking,
0.696836025,blocking,
0.628727171,blocking,
0.735314342,blocking,
