chosen_moves,board,run,correct,num_nodes
57,10_easy_full,0,0,3596
55,10_easy_full,1,0,3566
50,10_easy_full,2,1,4022
67,10_easy_full,3,0,3853
66,10_easy_full,4,0,3661
99,10_easy_full,5,0,3129
85,10_easy_full,6,0,3577
64,10_easy_full,7,0,3779
76,10_easy_full,8,0,3573
88,10_easy_full,9,0,3534
66,10_easy_full,10,0,3589
63,10_easy_full,11,0,3625
48,10_easy_full,12,0,3583
57,10_easy_full,13,0,3530
88,10_easy_full,14,0,3570
60,10_easy_full,15,0,3548
50,10_easy_full,16,1,4025
65,10_easy_full,17,0,3672
85,10_easy_full,18,0,3638
50,10_easy_full,19,1,4016
66,10_easy_full,20,0,3582
6,10_easy_full,21,0,3999
20,10_easy_full,22,1,4035
55,10_easy_full,23,0,3678
50,10_easy_full,24,1,4015
76,10_easy_full,25,0,3751
66,10_easy_full,26,0,3794
66,10_easy_full,27,0,3708
63,10_easy_full,28,0,3555
19,10_easy_full,29,0,3995
50,10_easy_full,30,1,4006
84,10_easy_full,31,0,3569
53,10_easy_full,32,0,3685
88,10_easy_full,33,0,3569
50,10_easy_full,34,1,4010
48,10_easy_full,35,0,3620
55,10_easy_full,36,0,3622
20,10_easy_full,37,1,4048
20,10_easy_full,38,1,4042
93,10_easy_full,39,0,3593
55,10_easy_full,40,0,3704
64,10_easy_full,41,0,3675
45,10_easy_full,42,0,3625
50,10_easy_full,43,1,4028
55,10_easy_full,44,0,3608
56,10_easy_full,45,0,3857
20,10_easy_full,46,1,4036
93,10_easy_full,47,0,3602
50,10_easy_full,48,1,4011
19,10_easy_full,49,0,3993
