run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
46,12,None,1362,6_easy_pruned,5000,1
47,12,None,1349,6_easy_pruned,5004,1
48,12,None,1299,6_easy_pruned,5000,1
49,12,None,1282,6_easy_pruned,5001,1
50,12,None,1352,6_easy_pruned,5003,1
51,12,None,1350,6_easy_pruned,5001,1
52,12,None,1309,6_easy_pruned,5003,1
53,12,None,1298,6_easy_pruned,5003,1
54,12,None,1349,6_easy_pruned,5000,1
55,12,None,1343,6_easy_pruned,5001,1
56,12,None,1351,6_easy_pruned,5001,1
57,12,None,1314,6_easy_pruned,5003,1
58,12,None,1331,6_easy_pruned,5004,1
59,12,None,1340,6_easy_pruned,5000,1
60,12,None,1330,6_easy_pruned,5001,1
61,12,None,1344,6_easy_pruned,5001,1
62,12,None,1289,6_easy_pruned,5001,1
63,12,None,1285,6_easy_pruned,5001,1
64,12,None,1350,6_easy_pruned,5000,1
65,12,None,1277,6_easy_pruned,5002,1
66,12,None,1345,6_easy_pruned,5002,1
67,12,None,1372,6_easy_pruned,5000,1
68,12,None,1355,6_easy_pruned,5001,1
69,12,None,1386,6_easy_pruned,5003,1
70,12,None,1350,6_easy_pruned,5003,1
71,12,None,1332,6_easy_pruned,5002,1
72,12,None,1368,6_easy_pruned,5003,1
73,12,None,1319,6_easy_pruned,5001,1
74,12,None,1367,6_easy_pruned,5004,1
75,12,None,1360,6_easy_pruned,5002,1
76,12,None,1317,6_easy_pruned,5001,1
77,12,None,1337,6_easy_pruned,5000,1
78,12,None,1343,6_easy_pruned,5003,1
79,12,None,1386,6_easy_pruned,5001,1
80,12,None,1369,6_easy_pruned,5004,1
81,12,None,1352,6_easy_pruned,5003,1
82,12,None,1343,6_easy_pruned,5001,1
83,12,None,1335,6_easy_pruned,5000,1
84,12,None,1348,6_easy_pruned,5002,1
85,12,None,1356,6_easy_pruned,5000,1
86,12,None,1339,6_easy_pruned,5000,1
87,12,None,1366,6_easy_pruned,5001,1
88,12,None,1348,6_easy_pruned,5001,1
89,12,None,1278,6_easy_pruned,5001,1
90,12,None,1337,6_easy_pruned,5004,1
91,12,None,1376,6_easy_pruned,5004,1
92,12,None,1342,6_easy_pruned,5000,1
93,12,None,1355,6_easy_pruned,5001,1
94,12,None,1329,6_easy_pruned,5004,1
95,12,None,1356,6_easy_pruned,5000,1
96,12,None,1336,6_easy_pruned,5004,1
97,12,None,1343,6_easy_pruned,5004,1
98,12,None,1328,6_easy_pruned,5004,1
99,12,None,1355,6_easy_pruned,5002,1
0,21,None,9120,6_hard_full,5000,0
1,21,None,8992,6_hard_full,5002,0
2,21,None,9103,6_hard_full,5000,0
3,21,None,9081,6_hard_full,5001,0
4,21,None,8998,6_hard_full,5001,0
5,21,None,9133,6_hard_full,5001,0
6,15,None,9070,6_hard_full,5001,0
7,21,None,9146,6_hard_full,5003,0
8,21,None,8967,6_hard_full,5002,0
9,21,None,9013,6_hard_full,5001,0
10,21,None,9152,6_hard_full,5001,0
11,15,None,9192,6_hard_full,5002,0
12,15,None,9028,6_hard_full,5000,0
13,21,None,8940,6_hard_full,5000,0
14,21,None,9225,6_hard_full,5002,0
15,21,None,9026,6_hard_full,5000,0
16,21,None,9135,6_hard_full,5000,0
17,21,None,9086,6_hard_full,5000,0
18,21,None,9036,6_hard_full,5003,0
19,15,None,9130,6_hard_full,5000,0
20,21,None,9012,6_hard_full,5002,0
21,21,None,9136,6_hard_full,5002,0
22,21,None,9075,6_hard_full,5000,0
23,21,None,9156,6_hard_full,5002,0
24,21,None,9159,6_hard_full,5003,0
25,21,None,8956,6_hard_full,5002,0
26,15,None,9159,6_hard_full,5000,0
27,15,None,9002,6_hard_full,5001,0
28,15,None,9029,6_hard_full,5001,0
29,15,None,9050,6_hard_full,5003,0
30,21,None,8989,6_hard_full,5001,0
31,21,None,9058,6_hard_full,5002,0
32,21,None,9080,6_hard_full,5000,0
33,21,None,9021,6_hard_full,5001,0
34,21,None,9086,6_hard_full,5000,0
35,21,None,9079,6_hard_full,5001,0
36,21,None,9056,6_hard_full,5000,0
37,21,None,8967,6_hard_full,5001,0
38,21,None,8960,6_hard_full,5000,0
39,21,None,9116,6_hard_full,5000,0
40,21,None,8977,6_hard_full,5000,0
41,21,None,8959,6_hard_full,5002,0
42,21,None,8957,6_hard_full,5002,0
43,21,None,9185,6_hard_full,5000,0
44,21,None,8865,6_hard_full,5004,0
45,21,None,8957,6_hard_full,5000,0
46,21,None,9100,6_hard_full,5000,0
47,21,None,9087,6_hard_full,5002,0
48,21,None,9123,6_hard_full,5001,0
49,21,None,9218,6_hard_full,5002,0
50,21,None,9089,6_hard_full,5002,0
51,21,None,9054,6_hard_full,5001,0
52,21,None,9133,6_hard_full,5001,0
53,21,None,9081,6_hard_full,5000,0
54,21,None,8933,6_hard_full,5002,0
55,21,None,8981,6_hard_full,5001,0
56,21,None,8880,6_hard_full,5000,0
57,15,None,8962,6_hard_full,5000,0
58,21,None,9132,6_hard_full,5002,0
59,21,None,8946,6_hard_full,5001,0
60,21,None,9079,6_hard_full,5001,0
61,15,None,9084,6_hard_full,5001,0
