,board,correct,inverse_computation,k,move_limit,noise,shutter_size
81,10_easy_pruned,0.39,0.00305670181874,5,30,0.5,0.0
82,10_hard_full,0.27,0.00279540435524,5,30,0.5,0.0
83,10_hard_pruned,0.15,0.00279002287819,5,30,0.5,0.0
84,10_medium_full,0.04,0.00251597645046,5,30,0.5,0.0
85,10_medium_full,0.2,0.0012142258703,5,30,0.5,0.5
86,10_medium_pruned,0.37,0.00273119571749,5,30,0.5,0.0
87,6_easy_full,0.58,0.0130599451482,5,30,0.5,0.0
88,6_easy_full,0.7,0.00841325929665,5,30,0.5,0.5
89,6_easy_pruned,0.86,0.0153303694619,5,30,0.5,0.0
90,6_hard_full,0.19,0.00611583389395,5,30,0.5,0.0
91,6_hard_pruned,0.13,0.0069328896284,5,30,0.5,0.0
92,10_easy_full,0.37,0.00298204807061,10,30,0.5,0.0
93,10_easy_pruned,0.59,0.0028901734104,10,30,0.5,0.0
94,10_hard_full,0.2,0.0028384093554,10,30,0.5,0.0
95,10_hard_pruned,0.08,0.00283535115824,10,30,0.5,0.0
96,10_medium_full,0.1,0.00258819266506,10,30,0.5,0.0
97,10_medium_pruned,0.39,0.00255382179432,10,30,0.5,0.0
98,6_easy_full,0.65,0.0138331719463,10,30,0.5,0.0
99,6_easy_full,0.83,0.00848968503269,10,30,0.5,0.5
100,6_easy_pruned,0.82,0.0139958012596,10,30,0.5,0.0
101,6_hard_full,0.14,0.00647584509779,10,30,0.5,0.0
102,6_hard_pruned,0.16,0.00727272727273,10,30,0.5,0.0
103,10_easy_full,0.18,0.00291902621286,3,30,0.75,0.0
104,10_easy_pruned,0.36,0.00387461738153,3,30,0.75,0.0
105,10_hard_full,0.15,0.0028900898818,3,30,0.75,0.0
106,10_hard_full,0.26,0.00113345272369,3,30,0.75,1.0
107,10_hard_pruned,0.1,0.00281112079386,3,30,0.75,0.0
108,10_medium_full,0.11,0.00257997936017,3,30,0.75,0.0
109,10_medium_pruned,0.31,0.00345327716002,3,30,0.75,0.0
110,6_easy_full,0.4,0.0129282482224,3,30,0.75,0.0
111,6_easy_full,0.61,0.00833889259506,3,30,0.75,0.5
112,6_easy_pruned,0.69,0.0181917409496,3,30,0.75,0.0
113,6_easy_pruned,0.82,0.0125297581757,3,30,0.75,0.5
114,6_hard_full,0.27,0.00655780706932,3,30,0.75,0.0
115,6_hard_pruned,0.25,0.0069905627403,3,30,0.75,0.0
116,10_easy_full,0.25,0.00292928701154,5,30,0.75,0.0
117,10_easy_pruned,0.43,0.0031927460809,5,30,0.75,0.0
118,10_hard_full,0.19,0.00275103163686,5,30,0.75,0.0
119,10_hard_pruned,0.07,0.00282781438226,5,30,0.75,0.0
120,10_hard_pruned,0.14,0.00136765228808,5,30,0.75,0.5
121,10_medium_full,0.05,0.00254783561365,5,30,0.75,0.0
122,10_medium_pruned,0.27,0.00273912567109,5,30,0.75,0.0
123,10_medium_pruned,0.38,0.00132874473485,5,30,0.75,0.5
124,6_easy_full,0.55,0.0135685210312,5,30,0.75,0.0
125,6_easy_full,0.71,0.00716794495018,5,30,0.75,1.0
126,6_easy_pruned,0.8,0.015192950471,5,30,0.75,0.0
127,6_easy_pruned,0.89,0.0095529231945,5,30,0.75,0.5
128,6_hard_full,0.28,0.0062825909405,5,30,0.75,0.0
129,6_hard_pruned,0.19,0.0067732321864,5,30,0.75,0.0
130,6_hard_pruned,0.31,0.00220828548715,5,30,0.75,2.0
131,10_easy_full,0.3,0.00292585873954,10,30,0.75,0.0
132,10_easy_pruned,0.59,0.00295281403177,10,30,0.75,0.0
133,10_hard_full,0.17,0.00281817157029,10,30,0.75,0.0
134,10_hard_pruned,0.11,0.00280151281692,10,30,0.75,0.0
135,10_medium_full,0.1,0.00255154113084,10,30,0.75,0.0
136,10_medium_pruned,0.32,0.00256436557596,10,30,0.75,0.0
137,6_easy_full,0.63,0.0136593361563,10,30,0.75,0.0
138,6_easy_pruned,0.74,0.0138908181692,10,30,0.75,0.0
139,6_easy_pruned,0.84,0.00867678958785,10,30,0.75,0.5
140,6_hard_full,0.15,0.00638691958868,10,30,0.75,0.0
141,6_hard_pruned,0.18,0.0071367399372,10,30,0.75,0.0
142,10_easy_full,0.145631067961,0.00292497302209,3,30,1.0,0.0
143,10_easy_pruned,0.388349514563,0.00398529696266,3,30,1.0,0.0
144,10_hard_full,0.2,0.00286409852499,3,30,1.0,0.0
145,10_hard_pruned,0.08,0.00286123032904,3,30,1.0,0.0
146,10_hard_pruned,0.17,0.00139545917584,3,30,1.0,0.5
147,10_medium_full,0.1,0.00253350561171,3,30,1.0,0.0
148,10_medium_pruned,0.18,0.00369221680697,3,30,1.0,0.0
149,10_medium_pruned,0.32,0.00186744850511,3,30,1.0,0.5
150,6_easy_full,0.46,0.0128287363695,3,30,1.0,0.0
151,6_easy_pruned,0.77,0.0198728139905,3,30,1.0,0.0
152,6_hard_full,0.23,0.00658284510565,3,30,1.0,0.0
153,6_hard_pruned,0.23,0.00690512360171,3,30,1.0,0.0
154,10_easy_full,0.26,0.00289821469974,5,30,1.0,0.0
155,10_easy_pruned,0.41,0.0032421216444,5,30,1.0,0.0
156,10_hard_full,0.18,0.00281618744544,5,30,1.0,0.0
157,10_hard_pruned,0.08,0.00281373100732,5,30,1.0,0.0
158,10_medium_full,0.12,0.00252735865747,5,30,1.0,0.0
159,10_medium_pruned,0.38,0.00282119280032,5,30,1.0,0.0
160,6_easy_full,0.52,0.0134066228717,5,30,1.0,0.0
161,6_easy_pruned,0.75,0.0147015583652,5,30,1.0,0.0
162,6_easy_pruned,0.85,0.00796305144131,5,30,1.0,1.0
163,6_hard_full,0.21,0.00633593106507,5,30,1.0,0.0
164,6_hard_pruned,0.12,0.00679209400258,5,30,1.0,0.0
165,10_easy_full,0.23,0.00291791894021,10,30,1.0,0.0
166,10_easy_pruned,0.43,0.0029823148728,10,30,1.0,0.0
167,10_hard_full,0.12,0.0028930999566,10,30,1.0,0.0
168,10_hard_pruned,0.13,0.00283254022207,10,30,1.0,0.0
169,10_medium_full,0.08,0.00256154102308,10,30,1.0,0.0
170,10_medium_pruned,0.29,0.00258825965421,10,30,1.0,0.0
171,10_medium_pruned,0.39,0.00121245923106,10,30,1.0,0.5
172,6_easy_full,0.58,0.0133815067577,10,30,1.0,0.0
173,6_easy_full,0.71,0.0087496718873,10,30,1.0,0.5
174,6_easy_pruned,0.76,0.0136351240796,10,30,1.0,0.0
175,6_easy_pruned,0.86,0.00870170553428,10,30,1.0,0.5
176,6_hard_full,0.15,0.00650956906653,10,30,1.0,0.0
177,6_hard_pruned,0.13,0.0071530758226,10,30,1.0,0.0
178,10_easy_full,0.18,0.00297743107247,3,30,1.25,0.0
179,10_easy_pruned,0.35,0.00389195921227,3,30,1.25,0.0
180,10_hard_full,0.15,0.00289276519425,3,30,1.25,0.0
181,10_hard_pruned,0.09,0.00286213114285,3,30,1.25,0.0
182,10_hard_pruned,0.16,0.00141474732613,3,30,1.25,0.5
183,10_medium_full,0.08,0.00258625148709,3,30,1.25,0.0
184,10_medium_pruned,0.24,0.00345733646799,3,30,1.25,0.0
185,6_easy_full,0.46,0.0133904659882,3,30,1.25,0.0
186,6_easy_pruned,0.68,0.0181257930034,3,30,1.25,0.0
187,6_hard_full,0.21,0.00657981313331,3,30,1.25,0.0
188,6_hard_pruned,0.16,0.00713012477718,3,30,1.25,0.0
189,10_easy_full,0.24,0.00298418382572,5,30,1.25,0.0
190,10_easy_full,0.34,0.000875932868505,5,30,1.25,2.0
191,10_easy_pruned,0.3,0.00322092311657,5,30,1.25,0.0
192,10_easy_pruned,0.46,0.00157547303578,5,30,1.25,0.5
193,10_hard_full,0.14,0.00284584080367,5,30,1.25,0.0
194,10_hard_pruned,0.14,0.00282613610671,5,30,1.25,0.0
195,10_medium_full,0.12,0.00256337955961,5,30,1.25,0.0
196,10_medium_pruned,0.28,0.00278287972394,5,30,1.25,0.0
197,10_medium_pruned,0.38,0.00137822677343,5,30,1.25,0.5
198,6_easy_full,0.45,0.0132961042415,5,30,1.25,0.0
199,6_easy_full,0.61,0.0085631101216,5,30,1.25,0.5
200,6_easy_pruned,0.75,0.0149342891278,5,30,1.25,0.0
201,6_easy_pruned,0.88,0.00942329438372,5,30,1.25,0.5
202,6_hard_full,0.14,0.00630318310747,5,30,1.25,0.0
203,6_hard_pruned,0.11,0.00659891777748,5,30,1.25,0.0
204,10_easy_full,0.37,0.00294273438879,10,30,1.25,0.0
205,10_easy_pruned,0.41,0.00288292443855,10,30,1.25,0.0
206,10_easy_pruned,0.58,0.00139971725711,10,30,1.25,0.5
207,10_hard_full,0.12,0.00285632676378,10,30,1.25,0.0
208,10_hard_pruned,0.05,0.00286327845383,10,30,1.25,0.0
209,10_medium_full,0.09,0.00258585022755,10,30,1.25,0.0
210,10_medium_pruned,0.32,0.00256298536535,10,30,1.25,0.0
211,10_medium_pruned,0.46,0.000740274641892,10,30,1.25,2.0
212,6_easy_full,0.5,0.0130276185513,10,30,1.25,0.0
