,correlation,heuristic,path_length
252,,non-linear,54
253,,interaction,54
254,,blocking,54
255,,density,53
256,,linear,53
257,,non-linear,53
258,,interaction,53
259,,blocking,53
260,,density,52
261,,linear,52
262,,non-linear,52
263,,interaction,52
264,,blocking,52
265,,density,51
266,,linear,51
267,,non-linear,51
268,,interaction,51
269,,blocking,51
270,,density,50
271,,linear,50
272,,non-linear,50
273,,interaction,50
274,,blocking,50
275,,density,49
276,,linear,49
277,,non-linear,49
278,,interaction,49
279,,blocking,49
280,,density,48
281,,linear,48
282,,non-linear,48
283,,interaction,48
284,,blocking,48
285,,density,47
286,,linear,47
287,,non-linear,47
288,,interaction,47
289,,blocking,47
290,,density,46
291,,linear,46
292,,non-linear,46
293,,interaction,46
294,,blocking,46
295,,density,45
296,,linear,45
297,,non-linear,45
298,,interaction,45
299,,blocking,45
300,,density,44
301,,linear,44
302,,non-linear,44
303,,interaction,44
304,,blocking,44
305,,density,43
306,,linear,43
307,,non-linear,43
308,,interaction,43
309,,blocking,43
310,,density,42
311,,linear,42
312,,non-linear,42
313,,interaction,42
314,,blocking,42
315,,density,41
316,,linear,41
317,,non-linear,41
318,,interaction,41
319,,blocking,41
320,,density,40
321,,linear,40
322,,non-linear,40
323,,interaction,40
324,,blocking,40
325,,density,39
326,,linear,39
327,,non-linear,39
328,,interaction,39
329,,blocking,39
330,,density,38
331,,linear,38
332,,non-linear,38
333,,interaction,38
334,,blocking,38
335,,density,37
336,,linear,37
337,,non-linear,37
338,,interaction,37
339,,blocking,37
340,0.476571086775,density,1
341,0.387925968975,linear,1
342,0.602464151865,non-linear,1
343,0.688774685661,interaction,1
344,0.670569241979,blocking,1
345,0.0736990087264,density,3
346,0.198023872717,linear,3
347,0.292531841117,non-linear,3
348,0.286365740637,interaction,3
349,0.324614711965,blocking,3
350,0.0832353548879,density,2
351,0.20357272827,linear,2
352,0.252810998449,non-linear,2
353,0.230607782956,interaction,2
354,0.29885871564,blocking,2
355,0.0909559245271,density,4
356,0.246725179526,linear,4
357,0.207714664335,non-linear,4
358,0.203789120203,interaction,4
359,0.221160962974,blocking,4
360,0.106095900181,density,5
361,0.142302069735,linear,5
362,0.199608104919,non-linear,5
363,0.148485230936,interaction,5
364,0.188366063076,blocking,5
365,0.372420022505,density,7
366,0.226464722293,linear,7
367,0.153981401181,non-linear,7
368,0.149852868175,interaction,7
369,0.154821077678,blocking,7
370,0.230820747575,density,6
371,0.183352622157,linear,6
372,0.223636719434,non-linear,6
373,0.0438348056726,interaction,6
374,0.191038735204,blocking,6
375,0.243784131441,density,9
376,0.130818912115,linear,9
377,0.0392590111568,non-linear,9
378,0.0452647229561,interaction,9
379,0.0515532855744,blocking,9
380,0.230356080704,density,8
381,0.156275337767,linear,8
382,0.067975947212,non-linear,8
383,0.200320345679,interaction,8
384,0.0937335645059,blocking,8
385,0.631882682367,density,14
386,-0.298306764059,linear,14
387,-0.393000600631,non-linear,14
388,0.0337734891167,interaction,14
389,-0.314485451017,blocking,14
390,0.114147601627,density,13
391,-0.147690375861,linear,13
392,-0.133478987746,non-linear,13
393,-0.183339699406,interaction,13
394,-0.235896129118,blocking,13
395,0.105234842576,density,12
396,-0.254934818383,linear,12
397,-0.361938977488,non-linear,12
398,-0.130774404581,interaction,12
399,-0.286461844099,blocking,12
400,0.211895115739,density,11
401,-0.0531032011944,linear,11
402,-0.164751004259,non-linear,11
403,-0.0210218364981,interaction,11
404,0.0585303653836,blocking,11
405,0.364984438427,density,10
406,0.0100307395223,linear,10
407,0.268881423453,non-linear,10
408,0.140503886216,interaction,10
409,0.0422176504164,blocking,10
410,,density,36
411,,linear,36
412,,non-linear,36
413,,interaction,36
414,,blocking,36
415,,density,35
416,,linear,35
417,,non-linear,35
418,,interaction,35
419,,blocking,35
420,,density,34
421,,linear,34
422,,non-linear,34
423,,interaction,34
424,,blocking,34
425,,density,33
426,,linear,33
427,,non-linear,33
428,,interaction,33
429,,blocking,33
430,,density,32
431,,linear,32
432,,non-linear,32
433,,interaction,32
434,,blocking,32
435,,density,31
436,,linear,31
437,,non-linear,31
438,,interaction,31
439,,blocking,31
440,,density,30
441,,linear,30
442,,non-linear,30
443,,interaction,30
444,,blocking,30
445,,density,29
446,1.0,linear,29
447,,non-linear,29
448,,interaction,29
449,-1.0,blocking,29
450,0.774596669241,density,28
451,,linear,28
452,0.707106781187,non-linear,28
453,0.707106781187,interaction,28
454,0.353553390593,blocking,28
455,,density,27
456,,linear,27
457,,non-linear,27
458,,interaction,27
459,,blocking,27
460,,density,26
461,,linear,26
462,,non-linear,26
463,,interaction,26
464,,blocking,26
465,,density,25
466,,linear,25
467,,non-linear,25
468,,interaction,25
469,,blocking,25
470,,density,24
471,,linear,24
472,,non-linear,24
473,,interaction,24
474,,blocking,24
475,,density,23
476,,linear,23
477,,non-linear,23
478,,interaction,23
479,,blocking,23
480,,density,22
481,,linear,22
482,,non-linear,22
483,,interaction,22
484,,blocking,22
485,,density,21
486,,linear,21
487,,non-linear,21
488,,interaction,21
489,,blocking,21
490,0.621059003408,density,20
491,0.474341649025,linear,20
492,0.0,non-linear,20
493,0.0,interaction,20
494,0.207019667803,blocking,20
495,,density,19
496,,linear,19
497,,non-linear,19
498,,interaction,19
499,,blocking,19
500,0.130930734142,density,18
501,,linear,18
502,-0.130930734142,non-linear,18
503,,interaction,18
504,0.130930734142,blocking,18
505,0.0,density,17
506,-0.392792202425,linear,17
507,0.130930734142,non-linear,17
508,-0.0912870929175,interaction,17
509,-0.11396057646,blocking,17
510,0.190692517849,density,16
511,0.408248290464,linear,16
512,-0.557773351023,non-linear,16
513,0.0697216688778,interaction,16
514,-0.229085483456,blocking,16
515,0.276134832499,density,15
516,-0.0370624658331,linear,15
517,-0.647750275631,non-linear,15
518,-0.234239953228,interaction,15
519,-0.100229358099,blocking,15
520,,density,68
521,,linear,68
522,,non-linear,68
523,,interaction,68
524,,blocking,68
525,,density,67
526,,linear,67
527,,non-linear,67
528,,interaction,67
529,,blocking,67
530,,density,66
531,,linear,66
532,,non-linear,66
533,,interaction,66
534,,blocking,66
535,,density,65
536,,linear,65
537,,non-linear,65
538,,interaction,65
539,,blocking,65
540,,density,64
541,,linear,64
542,,non-linear,64
543,,interaction,64
544,,blocking,64
545,,density,63
546,,linear,63
547,,non-linear,63
548,,interaction,63
549,,blocking,63
550,,density,62
551,,linear,62
552,,non-linear,62
553,,interaction,62
554,,blocking,62
555,,density,61
556,,linear,61
557,,non-linear,61
558,,interaction,61
559,,blocking,61
560,,density,60
561,,linear,60
562,,non-linear,60
563,,interaction,60
564,,blocking,60
565,,density,59
566,,linear,59
567,,non-linear,59
568,,interaction,59
569,,blocking,59
570,,density,58
571,,linear,58
572,,non-linear,58
573,,interaction,58
574,,blocking,58
575,,density,57
576,,linear,57
577,,non-linear,57
578,,interaction,57
579,,blocking,57
580,,density,56
581,,linear,56
582,,non-linear,56
583,,interaction,56
584,,blocking,56
585,,density,55
586,,linear,55
587,,non-linear,55
588,,interaction,55
589,,blocking,55
590,,density,54
591,,linear,54
592,,non-linear,54
593,,interaction,54
594,,blocking,54
595,,density,53
596,,linear,53
597,,non-linear,53
598,,interaction,53
599,,blocking,53
600,,density,52
601,,linear,52
602,,non-linear,52
603,,interaction,52
604,,blocking,52
605,,density,51
606,,linear,51
607,,non-linear,51
608,,interaction,51
609,,blocking,51
610,,density,50
611,,linear,50
612,,non-linear,50
613,,interaction,50
614,,blocking,50
615,,density,49
616,,linear,49
617,,non-linear,49
618,,interaction,49
619,,blocking,49
620,,density,48
621,,linear,48
622,,non-linear,48
623,,interaction,48
624,,blocking,48
625,,density,47
626,,linear,47
627,,non-linear,47
628,,interaction,47
629,,blocking,47
630,,density,46
631,,linear,46
632,,non-linear,46
633,,interaction,46
634,,blocking,46
635,,density,45
636,,linear,45
637,,non-linear,45
638,,interaction,45
639,,blocking,45
640,,density,44
641,,linear,44
642,,non-linear,44
643,,interaction,44
644,,blocking,44
645,,density,43
646,,linear,43
647,,non-linear,43
648,,interaction,43
649,,blocking,43
650,,density,42
651,,linear,42
652,,non-linear,42
653,,interaction,42
654,,blocking,42
655,,density,41
656,,linear,41
657,,non-linear,41
658,,interaction,41
659,,blocking,41
660,,density,40
661,,linear,40
662,,non-linear,40
663,,interaction,40
664,,blocking,40
665,,density,39
666,,linear,39
667,,non-linear,39
668,,interaction,39
669,,blocking,39
670,,density,38
671,,linear,38
672,,non-linear,38
673,,interaction,38
674,,blocking,38
675,,density,37
676,,linear,37
677,,non-linear,37
678,,interaction,37
679,,blocking,37
680,0.450636119629,density,1
681,0.458003249314,linear,1
682,0.642970739964,non-linear,1
683,0.691962808583,interaction,1
684,0.679815662768,blocking,1
685,0.118516769543,density,3
686,0.239288801521,linear,3
687,0.245019909302,non-linear,3
688,0.295183143746,interaction,3
689,0.286419744141,blocking,3
690,0.13269338579,density,2
691,0.214230467108,linear,2
692,0.247258717321,non-linear,2
693,0.256790348739,interaction,2
694,0.304461232354,blocking,2
695,0.0476210762982,density,4
696,0.22498289188,linear,4
697,0.204478313532,non-linear,4
698,0.228096528426,interaction,4
699,0.255677354447,blocking,4
700,0.141062475349,density,5
701,0.193519024447,linear,5
702,0.179829078128,non-linear,5
703,0.2101383634,interaction,5
704,0.168172577086,blocking,5
705,0.366349048693,density,7
706,0.126965769312,linear,7
707,0.18186072458,non-linear,7
708,0.189232749414,interaction,7
