,board_name,path,path_length,probability
50,6_hard_full,"[[2, 0], [2, 4]]",2,0.005
51,6_hard_full,"[[2, 2], [2, 3], [4, 5], [5, 3], [3, 5], [5, 2], [3, 4], [4, 3], [1, 0], [5, 5]]",10,0.005
52,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4], [5, 3], [5, 0], [0, 3], [5, 2], [0, 2]]",10,0.005
53,6_hard_full,"[[3, 2], [2, 3], [1, 0], [4, 3], [2, 0], [2, 4], [2, 2]]",7,0.005
54,6_hard_full,"[[4, 2], [2, 3], [3, 2]]",3,0.01
55,6_hard_full,"[[2, 3], [0, 0], [2, 2], [0, 5]]",4,0.005
56,6_hard_full,"[[2, 2], [5, 2], [5, 3], [4, 3], [2, 3], [1, 5], [3, 2], [3, 5]]",8,0.005
57,6_hard_full,"[[3, 2], [0, 0], [2, 2], [4, 3], [2, 0], [5, 2], [0, 3], [5, 3]]",8,0.005
58,6_hard_full,"[[4, 2], [4, 3], [2, 3], [5, 2], [5, 3]]",5,0.005
59,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 3], [4, 3]]",5,0.005
60,6_hard_full,"[[4, 2], [2, 3], [1, 4], [5, 3]]",4,0.005
61,6_hard_full,"[[2, 2], [5, 2], [5, 3], [4, 3]]",4,0.005
62,6_hard_full,"[[5, 2], [2, 2], [3, 0]]",3,0.005
63,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [4, 5], [0, 2], [3, 4], [3, 5], [2, 5], [2, 4]]",10,0.005
64,6_hard_full,"[[3, 0], [0, 3], [2, 3], [4, 4], [2, 2], [2, 0], [2, 4], [2, 5], [3, 2], [1, 0]]",10,0.005
65,6_hard_full,"[[0, 3], [3, 0], [0, 2], [0, 5], [2, 2], [3, 2], [2, 3], [1, 0]]",8,0.01
66,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 3], [4, 3], [3, 5]]",6,0.005
67,6_hard_full,"[[2, 2], [2, 3]]",2,0.04
68,6_hard_full,"[[4, 2], [4, 3], [2, 3], [2, 2], [3, 0], [4, 4]]",6,0.005
69,6_hard_full,"[[2, 3], [0, 0], [2, 2], [2, 5], [3, 4], [3, 0]]",6,0.005
70,6_hard_full,"[[0, 3], [3, 0], [4, 2], [5, 3], [5, 2], [4, 3]]",6,0.005
71,6_hard_full,"[[2, 0], [2, 2], [1, 5], [0, 0], [4, 4], [0, 3], [4, 5], [2, 3], [1, 4], [2, 4]]",10,0.005
72,6_hard_full,"[[2, 3], [2, 2], [1, 4], [4, 4], [3, 4]]",5,0.005
73,6_hard_full,"[[2, 3], [5, 3], [5, 2], [4, 4], [2, 2]]",5,0.005
74,6_hard_full,"[[4, 2], [4, 4], [2, 2]]",3,0.005
75,6_hard_full,"[[2, 2], [2, 3], [0, 5], [0, 3], [4, 3], [2, 4], [4, 2], [4, 0], [3, 2], [3, 4]]",10,0.005
76,6_hard_full,"[[0, 2], [2, 3], [2, 4], [5, 3], [4, 3], [2, 2], [3, 0], [4, 4], [0, 3]]",9,0.005
77,6_hard_full,"[[2, 3], [0, 0], [2, 2], [3, 4]]",4,0.005
78,6_hard_full,"[[1, 5], [2, 3], [0, 3], [5, 3], [3, 0], [0, 0], [5, 0], [4, 3]]",8,0.005
79,6_hard_full,"[[4, 2], [4, 3], [2, 3], [2, 2], [5, 2], [5, 5], [1, 4], [0, 0], [3, 4], [4, 4]]",10,0.005
80,6_hard_full,"[[3, 0], [0, 3], [2, 3], [3, 4]]",4,0.005
81,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [5, 3], [2, 2], [1, 5], [2, 4]]",8,0.005
82,6_hard_full,"[[2, 3], [2, 4], [4, 2], [2, 2], [3, 4], [4, 4]]",6,0.005
83,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [2, 4], [4, 4]]",6,0.005
84,6_hard_full,"[[3, 2], [5, 2], [5, 3], [2, 2], [2, 0], [2, 4], [4, 2], [4, 4]]",8,0.005
85,6_hard_full,"[[5, 0], [2, 3], [2, 0]]",3,0.005
86,6_hard_full,"[[4, 2], [2, 3], [0, 5], [0, 3], [4, 3], [2, 4]]",6,0.005
87,6_hard_full,"[[0, 3], [3, 0], [3, 2], [2, 2], [4, 0], [0, 0]]",6,0.005
88,6_hard_full,"[[2, 3], [5, 3], [5, 2], [2, 4], [4, 2], [3, 2], [4, 3], [2, 5], [3, 0]]",9,0.005
89,6_hard_full,"[[2, 3], [2, 4], [4, 2], [5, 2], [5, 3], [2, 0]]",6,0.005
90,6_hard_full,"[[4, 3], [2, 2], [3, 0]]",3,0.005
91,6_hard_full,"[[0, 3], [3, 0], [2, 2], [2, 3], [4, 3], [5, 3]]",6,0.005
92,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 2], [5, 2], [0, 0], [4, 4], [4, 3]]",8,0.005
93,6_hard_full,"[[4, 2], [0, 0], [2, 2], [3, 2], [2, 0], [1, 5], [5, 3], [2, 3], [3, 5], [4, 3]]",10,0.005
94,6_hard_full,"[[2, 2], [4, 3], [2, 3], [1, 4], [3, 2]]",5,0.005
95,6_hard_full,"[[2, 0], [2, 4], [4, 2], [5, 3], [5, 2]]",5,0.005
96,6_hard_full,"[[2, 2], [2, 3], [0, 3], [4, 3], [0, 2], [3, 2], [3, 0], [3, 4]]",8,0.005
97,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [5, 3], [2, 2]]",6,0.005
98,6_hard_full,"[[3, 2], [2, 4], [4, 2], [2, 2], [0, 0], [4, 4], [3, 0], [5, 5]]",8,0.005
99,6_hard_full,"[[3, 2], [2, 3], [4, 3], [2, 2], [4, 2], [0, 3], [4, 4], [2, 4]]",8,0.005
100,6_hard_full,"[[2, 2], [2, 4], [4, 2], [3, 2], [3, 0], [0, 3], [2, 3], [2, 0], [4, 3], [5, 3]]",10,0.005
101,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 2], [5, 2], [5, 3], [0, 2], [3, 2]]",9,0.005
102,6_hard_full,"[[3, 2], [2, 3], [0, 5], [2, 4], [4, 0], [4, 3]]",6,0.005
103,6_hard_full,"[[1, 4], [2, 3], [5, 0], [0, 3], [4, 3], [4, 2], [2, 4], [3, 4], [3, 2]]",9,0.005
104,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [0, 5], [0, 2], [2, 2]]",7,0.005
105,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [2, 5], [5, 5], [5, 3], [0, 0], [4, 4], [0, 2]]",10,0.005
106,6_hard_full,"[[0, 2], [4, 2], [2, 4], [4, 3]]",4,0.005
107,6_hard_full,"[[2, 0], [2, 4], [4, 2], [5, 3]]",4,0.005
108,6_hard_full,"[[0, 2], [4, 2], [2, 4], [4, 3], [2, 3], [2, 2], [3, 5]]",7,0.005
109,6_hard_full,"[[3, 0], [0, 3], [2, 3], [5, 3]]",4,0.015
110,6_hard_full,"[[3, 2], [2, 4], [4, 2], [2, 2], [0, 0], [4, 4], [3, 0], [5, 5], [2, 3], [3, 4]]",10,0.005
111,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 2], [2, 5], [5, 5], [5, 2]]",7,0.005
112,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 2], [5, 2]]",5,0.005
113,6_hard_full,"[[3, 2], [0, 0], [2, 2], [1, 5], [4, 2], [5, 0], [2, 3], [3, 0], [1, 4]]",9,0.005
114,6_hard_full,"[[2, 4], [5, 3], [5, 2], [4, 3], [0, 2], [2, 2], [5, 0], [0, 0], [2, 0], [4, 4]]",10,0.005
115,6_hard_full,"[[0, 3], [3, 0], [2, 3], [2, 2], [5, 0]]",5,0.005
116,6_hard_full,"[[2, 4], [2, 2], [2, 0], [2, 3], [4, 3]]",5,0.005
117,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 4], [4, 2], [0, 2], [0, 5], [4, 4]]",8,0.005
118,6_hard_full,"[[3, 2], [4, 4], [2, 2], [0, 5], [0, 2], [4, 2]]",6,0.005
119,6_hard_full,"[[4, 2], [2, 2], [5, 2], [2, 3], [4, 3], [0, 0], [4, 0]]",7,0.005
120,6_hard_full,"[[2, 4], [5, 3], [5, 2], [0, 3]]",4,0.005
121,6_hard_full,"[[0, 3], [3, 0], [3, 2], [2, 2]]",4,0.015
122,6_hard_full,"[[4, 2], [4, 4]]",2,0.005
123,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [3, 2], [1, 4]]",6,0.005
124,6_hard_full,"[[0, 5], [2, 2], [3, 4], [0, 0], [4, 4], [0, 3]]",6,0.005
125,6_hard_full,"[[0, 3], [3, 0], [2, 3], [2, 4], [4, 2], [4, 4]]",6,0.005
126,6_hard_full,"[[0, 5], [2, 4], [4, 2], [4, 4], [5, 3], [0, 0], [2, 0], [0, 2], [3, 0]]",9,0.005
127,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4], [5, 3], [5, 0], [0, 3]]",8,0.005
128,6_hard_full,"[[5, 0], [2, 3], [2, 0], [5, 3], [5, 5], [0, 3], [3, 0], [2, 4]]",8,0.005
129,6_hard_full,"[[2, 3], [0, 0], [2, 2], [3, 4], [2, 0]]",5,0.005
130,6_hard_full,"[[0, 5], [2, 2], [3, 4], [0, 0], [4, 4], [0, 3], [1, 4], [2, 3], [4, 3], [2, 4]]",10,0.005
131,6_hard_full,"[[0, 3], [3, 0], [2, 3], [0, 0], [2, 2], [3, 5], [2, 4], [4, 3], [1, 4], [0, 5]]",10,0.005
132,6_hard_full,"[[5, 2], [2, 4], [4, 2], [2, 3], [0, 2]]",5,0.005
133,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [3, 5], [4, 4], [3, 4], [3, 2], [4, 5]]",9,0.005
134,6_hard_full,"[[0, 3], [3, 0], [2, 4], [2, 2], [4, 0]]",5,0.005
135,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 3], [4, 3], [3, 5], [1, 0], [4, 4], [4, 0], [2, 2]]",10,0.005
136,6_hard_full,"[[2, 3], [4, 2], [2, 4], [2, 2]]",4,0.01
137,6_hard_full,"[[0, 3], [3, 0], [4, 3], [0, 0], [2, 2], [5, 3], [5, 2], [3, 2], [2, 3]]",9,0.005
138,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4], [5, 3]]",6,0.005
139,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 3], [2, 4], [4, 3], [4, 2]]",8,0.005
