board,max_moves,noise_sig,shutter_size,numberOfHeuristicComp,correct
6_hard_pruned,50,1.0,1.0,478.154,0.186
6_hard_pruned,50,1.0,2.0,671.058,0.142
6_hard_pruned,50,1.5,0.0,216.422,0.154
6_hard_pruned,50,1.5,0.5,396.34,0.164
6_hard_pruned,50,1.5,1.0,471.966,0.132
6_hard_pruned,50,1.5,2.0,668.842,0.166
6_hard_pruned,100,0.5,0.0,320.174,0.244
6_hard_pruned,100,0.5,1.0,654.874,0.184
6_hard_pruned,100,0.5,2.0,909.244,0.172
6_hard_pruned,100,1.0,0.0,319.462,0.25
6_hard_pruned,100,1.0,1.0,658.024,0.204
6_hard_pruned,100,1.0,2.0,913.556,0.19
6_hard_pruned,100,1.5,0.0,311.746,0.164
6_hard_pruned,100,1.5,1.0,637.974,0.134
6_hard_pruned,100,1.5,2.0,920.612,0.134
