,path,move_number_in_path,count,board_name,mcts_prob
44,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2]]",8,24993,6_easy_full,0.045452727
45,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2]]",4,99987,6_easy_full,0.0499997
46,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2]]",4,99987,6_easy_full,0.0499997
47,"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2], [1, 5, 1]]",5,99983,6_easy_full,0.052630498
48,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [1, 5, 2], [3, 5, 1]]",7,99978,6_easy_full,0.083332083
49,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1], [1, 5, 2]]",6,99982,6_easy_full,0.052631524
50,"[[1, 5, 1], [1, 4, 2], [3, 5, 1]]",3,199982,6_easy_full,0.1
51,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2], [5, 2, 1], [3, 5, 2]]",6,99979,6_easy_full,0.052629944
52,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1]]",7,49988,6_easy_full,0.041665208
53,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2], [3, 5, 1], [1, 5, 2]]",8,24992,6_easy_full,0.045450908
54,"[[4, 1, 1], [4, 5, 2]]",2,199984,6_easy_full,0.09999895
55,"[[1, 5, 1], [1, 4, 2], [4, 4, 1], [2, 5, 2]]",4,99987,6_easy_full,0.0499997
56,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1], [0, 5, 2]]",8,49987,6_easy_full,0.090907272
57,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1]]",5,99983,6_easy_full,0.052630498
58,"[[4, 1, 1]]",1,999960,6_easy_full,0.5
59,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1], [1, 5, 2]]",6,99982,6_easy_full,0.052631524
60,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1]]",5,99986,6_easy_full,0.052632078
61,"[[1, 5, 1], [1, 4, 2]]",2,399980,6_easy_full,0.2000039
62,"[[3, 5, 1]]",1,299988,6_easy_full,0.15
63,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2]]",4,299961,6_easy_full,0.1499991
64,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1], [1, 5, 2]]",8,99977,6_easy_full,0.18182
65,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2], [1, 5, 1]]",7,24994,6_easy_full,0.020832604
66,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [0, 2, 2], [5, 3, 1]]",7,99978,6_easy_full,0.083332083
67,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [1, 5, 2], [0, 2, 1], [3, 5, 2]]",6,99982,6_easy_full,0.052631524
68,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [4, 1, 1]]",5,49993,6_easy_full,0.026316039
69,"[[1, 5, 1], [1, 4, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2]]",6,99982,6_easy_full,0.052631524
70,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1], [3, 5, 2]]",6,99982,6_easy_full,0.052631524
71,"[[4, 1, 1], [2, 5, 2], [5, 2, 1]]",3,199982,6_easy_full,0.1
72,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [1, 5, 2]]",6,99982,6_easy_full,0.052631524
73,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [1, 5, 2], [3, 5, 1]]",7,99978,6_easy_full,0.083332083
74,"[[4, 4, 1], [3, 1, 2], [4, 1, 1]]",3,99991,6_easy_full,0.05
75,"[[4, 4, 1], [4, 1, 2], [3, 1, 1]]",3,99991,6_easy_full,0.05
76,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2]]",6,49991,6_easy_full,0.026315762
77,"[[1, 5, 1]]",1,399984,6_easy_full,0.2
78,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1]]",5,99983,6_easy_full,0.052630498
79,"[[1, 5, 1], [1, 4, 2], [0, 2, 1], [3, 5, 2]]",4,99990,6_easy_full,0.0500012
80,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [2, 5, 1]]",5,149979,6_easy_full,0.078948116
81,"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [0, 2, 2]]",4,99987,6_easy_full,0.0499997
82,"[[3, 5, 1], [0, 2, 2], [4, 1, 1]]",3,199982,6_easy_full,0.1
83,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2]]",6,99982,6_easy_full,0.052631524
84,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2]]",6,49989,6_easy_full,0.026314709
85,"[[1, 5, 1], [1, 4, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1]]",5,99986,6_easy_full,0.052632078
86,"[[4, 1, 1], [4, 5, 2], [4, 4, 1]]",3,199982,6_easy_full,0.1
87,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2], [5, 2, 1]]",5,99983,6_easy_full,0.052630498
88,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [1, 5, 2]]",4,99987,6_easy_full,0.0499997
89,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1], [4, 5, 2], [4, 4, 1]]",7,99981,6_easy_full,0.083334584
90,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2]]",6,99982,6_easy_full,0.052631524
91,"[[4, 4, 1], [3, 1, 2]]",2,99992,6_easy_full,0.049999475
92,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [1, 5, 2], [0, 2, 1]]",5,99983,6_easy_full,0.052630498
93,"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2]]",4,99990,6_easy_full,0.0500012
94,"[[4, 1, 1], [4, 4, 2]]",2,599952,6_easy_full,0.29999685
95,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1], [3, 5, 2], [1, 5, 1]]",7,99981,6_easy_full,0.083334584
96,"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2]]",6,99985,6_easy_full,0.052633103
97,"[[4, 1, 1], [2, 5, 2]]",2,199984,6_easy_full,0.09999895
98,"[[4, 4, 1], [2, 5, 2], [5, 2, 1]]",3,99991,6_easy_full,0.05
99,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2]]",4,24967,6_easy_pruned,0.124989362
100,"[[1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",5,74913,6_easy_pruned,0.416813184
101,"[[4, 4, 1], [4, 1, 2], [3, 1, 1]]",3,9991,6_easy_pruned,0.050001251
102,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 1, 2]]",4,9987,6_easy_pruned,0.049996746
103,"[[1, 5, 1], [1, 4, 2], [4, 1, 1], [5, 2, 2]]",4,9982,6_easy_pruned,0.049971715
104,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 4, 2], [4, 5, 1]]",5,4988,6_easy_pruned,0.027753049
105,"[[1, 5, 1]]",1,84966,6_easy_pruned,0.425
106,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1], [0, 5, 2]]",6,12471,6_easy_pruned,0.208318717
107,"[[2, 5, 1], [4, 5, 2], [4, 4, 1], [1, 5, 2]]",4,9987,6_easy_pruned,0.049996746
108,"[[4, 4, 1], [4, 1, 2]]",2,9992,6_easy_pruned,0.049994246
109,"[[4, 1, 1], [0, 5, 2]]",2,9992,6_easy_pruned,0.049994246
110,"[[2, 5, 1]]",1,19992,6_easy_pruned,0.1
111,"[[4, 4, 1], [5, 2, 2]]",2,49960,6_easy_pruned,0.24997123
112,"[[2, 5, 1], [4, 5, 2], [4, 4, 1]]",3,9991,6_easy_pruned,0.050001251
113,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 1, 2], [4, 5, 1], [1, 5, 2]]",6,12472,6_easy_pruned,0.208335421
114,"[[1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2]]",4,74922,6_easy_pruned,0.375073215
115,"[[1, 5, 1], [1, 4, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1]]",5,9980,6_easy_pruned,0.055528354
116,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 1, 2], [4, 1, 1]]",5,9986,6_easy_pruned,0.055561738
117,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [4, 5, 1], [1, 5, 2]]",6,12472,6_easy_pruned,0.208335421
118,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 1, 2]]",4,24968,6_easy_pruned,0.124994368
119,"[[4, 1, 1]]",1,14994,6_easy_pruned,0.075
120,"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [2, 5, 2], [5, 2, 1]]",5,9986,6_easy_pruned,0.055561738
121,"[[2, 5, 1], [4, 4, 2]]",2,9992,6_easy_pruned,0.049994246
122,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 1, 2], [4, 5, 1]]",5,12476,6_easy_pruned,0.069416006
123,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 1, 2], [1, 5, 1]]",5,12476,6_easy_pruned,0.069416006
124,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [4, 1, 2]]",4,9987,6_easy_pruned,0.049996746
125,"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [2, 5, 2]]",4,9987,6_easy_pruned,0.049996746
126,"[[4, 1, 1], [0, 5, 2], [0, 4, 1], [2, 5, 2], [5, 2, 1]]",5,9986,6_easy_pruned,0.055561738
127,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [4, 5, 1]]",5,12476,6_easy_pruned,0.069416006
128,"[[1, 5, 1], [1, 4, 2], [2, 5, 1]]",3,74931,6_easy_pruned,0.375001877
129,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1]]",5,12475,6_easy_pruned,0.069410442
130,"[[4, 4, 1], [2, 5, 2]]",2,19984,6_easy_pruned,0.099988492
131,"[[1, 5, 1], [1, 4, 2]]",2,84957,6_easy_pruned,0.425076177
132,"[[4, 4, 1], [5, 2, 2], [2, 5, 1], [5, 1, 2], [1, 5, 1], [0, 5, 2]]",6,12472,6_easy_pruned,0.208335421
133,"[[1, 5, 1], [1, 4, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1], [0, 5, 2]]",6,9978,6_easy_pruned,0.166675019
134,"[[4, 4, 1], [5, 2, 2], [2, 5, 1]]",3,49955,6_easy_pruned,0.250006256
135,"[[2, 5, 1], [4, 4, 2], [4, 1, 1]]",3,9991,6_easy_pruned,0.050001251
136,"[[2, 5, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",4,9990,6_easy_pruned,0.050011765
137,"[[4, 4, 1]]",1,79968,6_easy_pruned,0.4
138,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [4, 1, 2], [3, 1, 1]]",5,9986,6_easy_pruned,0.055561738
139,"[[2, 5, 1], [4, 5, 2]]",2,9992,6_easy_pruned,0.049994246
140,"[[4, 1, 1], [0, 5, 2], [0, 4, 1], [2, 5, 2]]",4,9987,6_easy_pruned,0.049996746
141,"[[4, 1, 1], [2, 5, 2], [5, 2, 1]]",3,4993,6_easy_pruned,0.024988114
142,"[[4, 1, 1], [0, 5, 2], [0, 4, 1]]",3,9991,6_easy_pruned,0.050001251
143,"[[1, 5, 1], [1, 4, 2], [4, 1, 1]]",3,9990,6_easy_pruned,0.049996247
144,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 4, 2]]",4,4989,6_easy_pruned,0.024975845
145,"[[4, 1, 1], [2, 5, 2]]",2,4994,6_easy_pruned,0.024987116
146,"[[4, 4, 1], [2, 5, 2], [5, 2, 1]]",3,19982,6_easy_pruned,0.100002502
