chosen_moves,board,run,correct,num_nodes
12,6_easy_full,0,1,4229
18,6_easy_full,1,0,3371
33,6_easy_full,2,0,3364
33,6_easy_full,3,0,3446
24,6_easy_full,4,1,4206
24,6_easy_full,5,1,4222
20,6_easy_full,6,0,3335
18,6_easy_full,7,0,3358
3,6_easy_full,8,0,4094
36,6_easy_full,9,0,3479
36,6_easy_full,10,0,3541
12,6_easy_full,11,1,4204
29,6_easy_full,12,0,3167
24,6_easy_full,13,1,4161
29,6_easy_full,14,0,3126
5,6_easy_full,15,0,3663
24,6_easy_full,16,1,4170
12,6_easy_full,17,1,4219
11,6_easy_full,18,0,4093
24,6_easy_full,19,1,4194
24,6_easy_full,20,1,4217
32,6_easy_full,21,0,3487
12,6_easy_full,22,1,4168
24,6_easy_full,23,1,4175
18,6_easy_full,24,0,3361
12,6_easy_full,25,1,4172
24,6_easy_full,26,1,4202
20,6_easy_full,27,0,3347
11,6_easy_full,28,0,4101
3,6_easy_full,29,0,4080
34,6_easy_full,30,0,3479
35,6_easy_full,31,0,3542
24,6_easy_full,32,1,4155
26,6_easy_full,33,0,3255
29,6_easy_full,34,0,3137
12,6_easy_full,35,1,4172
3,6_easy_full,36,0,4091
11,6_easy_full,37,0,4111
20,6_easy_full,38,0,3343
34,6_easy_full,39,0,3685
11,6_easy_full,40,0,4075
29,6_easy_full,41,0,3121
11,6_easy_full,42,0,4098
12,6_easy_full,43,1,4214
20,6_easy_full,44,0,3314
36,6_easy_full,45,0,3540
24,6_easy_full,46,1,4213
32,6_easy_full,47,0,3613
26,6_easy_full,48,0,3256
12,6_easy_full,49,1,4235
29,6_easy_pruned,0,0,3234
30,6_easy_pruned,1,0,3441
29,6_easy_pruned,2,0,3267
12,6_easy_pruned,3,1,4380
30,6_easy_pruned,4,0,3462
26,6_easy_pruned,5,0,3447
12,6_easy_pruned,6,1,4365
18,6_easy_pruned,7,0,3757
11,6_easy_pruned,8,0,4096
12,6_easy_pruned,9,1,4353
29,6_easy_pruned,10,0,3281
18,6_easy_pruned,11,0,3746
31,6_easy_pruned,12,0,3650
12,6_easy_pruned,13,1,4351
11,6_easy_pruned,14,0,4088
30,6_easy_pruned,15,0,3545
30,6_easy_pruned,16,0,3494
18,6_easy_pruned,17,0,3812
12,6_easy_pruned,18,1,3872
26,6_easy_pruned,19,0,3422
12,6_easy_pruned,20,1,4383
18,6_easy_pruned,21,0,3741
12,6_easy_pruned,22,1,3716
12,6_easy_pruned,23,1,4377
30,6_easy_pruned,24,0,3492
26,6_easy_pruned,25,0,3432
12,6_easy_pruned,26,1,3735
12,6_easy_pruned,27,1,4380
20,6_easy_pruned,28,0,3441
18,6_easy_pruned,29,0,3741
26,6_easy_pruned,30,0,3458
29,6_easy_pruned,31,0,3270
20,6_easy_pruned,32,0,3489
20,6_easy_pruned,33,0,3464
12,6_easy_pruned,34,1,4370
29,6_easy_pruned,35,0,3242
26,6_easy_pruned,36,0,3390
30,6_easy_pruned,37,0,3443
12,6_easy_pruned,38,1,4397
30,6_easy_pruned,39,0,3434
30,6_easy_pruned,40,0,3467
33,6_easy_pruned,41,0,3691
30,6_easy_pruned,42,0,3363
36,6_easy_pruned,43,0,3718
18,6_easy_pruned,44,0,3624
30,6_easy_pruned,45,0,3493
12,6_easy_pruned,46,1,3725
11,6_easy_pruned,47,0,4088
6,6_easy_pruned,48,0,4031
35,6_easy_pruned,49,0,3639
27,6_hard_full,0,0,3180
4,6_hard_full,1,1,3521
28,6_hard_full,2,0,3156
16,6_hard_full,3,0,3136
16,6_hard_full,4,0,3102
16,6_hard_full,5,0,3061
15,6_hard_full,6,0,3093
16,6_hard_full,7,0,3038
17,6_hard_full,8,0,3306
16,6_hard_full,9,0,3151
17,6_hard_full,10,0,3341
23,6_hard_full,11,0,3594
15,6_hard_full,12,0,3205
13,6_hard_full,13,0,3475
11,6_hard_full,14,0,3443
4,6_hard_full,15,1,4023
15,6_hard_full,16,0,3180
21,6_hard_full,17,0,3498
4,6_hard_full,18,1,3529
15,6_hard_full,19,0,3125
16,6_hard_full,20,0,3027
15,6_hard_full,21,0,3185
33,6_hard_full,22,0,3187
15,6_hard_full,23,0,3397
16,6_hard_full,24,0,3074
15,6_hard_full,25,0,3136
24,6_hard_full,26,0,3413
28,6_hard_full,27,0,3144
3,6_hard_full,28,0,3062
27,6_hard_full,29,0,3115
11,6_hard_full,30,0,3419
23,6_hard_full,31,0,3484
27,6_hard_full,32,0,3384
16,6_hard_full,33,0,3047
28,6_hard_full,34,0,3141
4,6_hard_full,35,1,3517
27,6_hard_full,36,0,3341
15,6_hard_full,37,0,3178
4,6_hard_full,38,1,4022
27,6_hard_full,39,0,3096
17,6_hard_full,40,0,3363
27,6_hard_full,41,0,3034
29,6_hard_full,42,0,3099
15,6_hard_full,43,0,3153
23,6_hard_full,44,0,3386
6,6_hard_full,45,0,3090
28,6_hard_full,46,0,3085
16,6_hard_full,47,0,3135
3,6_hard_full,48,0,3349
16,6_hard_full,49,0,3153
