,userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
116,f1ebd0b7,6_hard_full,6,hard,full,interaction,0.05,25,-2.602689685,-2.456735773,-2.405141681,-1.87029787,-1.914975961,-1.882391974,-1.934622257
118,f3dbeb7e,6_hard_full,6,hard,full,blocking,0.05,25,-2.705497586,-2.479855996,-2.417821384,-2.394837099,-2.361728738,-3.035077364,-3.058692791
120,f6fbf6b1,6_hard_full,6,hard,full,linear,0.05,25,-3.140139239,-2.951718002,-3.00492252,-3.043401537,-3.020474977,-3.220597562,-3.217951886
123,fac10d6e,6_hard_full,6,hard,full,linear,0.05,25,-2.931307232,-2.856965392,-2.900895138,-3.315870567,-3.319650854,-3.086978686,-3.086674388
132,16d516ad,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.77389765,-1.802538852,-1.685996422,-1.355644028,-1.334417567,-1.573913445,-1.545098255
133,1dac01e7,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.901291598,-1.830982841,-1.667013879,-1.526489302,-1.45831268,-1.42761731,-1.366921458
135,25cfdeaf,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.588061232,-2.025703685,-1.963439056,-1.854506124,-1.866642611,-1.841274156,-1.865694575
138,2afbbf79,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.718366348,-2.435239676,-2.370411669,-2.331797653,-2.301347397,-2.287021449,-2.257661113
142,2ff50f64,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.640531992,-2.23801875,-2.137273196,-2.0520673,-2.01590771,-1.91645546,-1.869620877
144,30e4feac,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.796259618,-3.366689844,-3.425820179,-3.681984939,-3.652917255,-2.632657814,-2.665970878
153,49c72e9b,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-1.943129336,-2.208403204,-2.110056562,-1.896115335,-1.978013185,-1.590217946,-1.649466764
154,4bca7fc9,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.480450373,-2.906888569,-2.698341676,-2.806103887,-2.713278941,-3.476295833,-3.467451807
164,5adff9a5,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.529192451,-2.878890455,-2.74687919,-2.529523086,-2.528023711,-2.463867895,-2.461041202
165,5dbfe29c,6_hard_pruned,6,hard,pruned,interaction,0.05,25,-2.458206906,-1.848092573,-1.733369063,-1.54986844,-1.57196908,-1.726983108,-1.744725379
169,65afea1f,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-3.497200169,-3.568118955,-3.615555121,-3.917701562,-3.900365868,-2.624937354,-2.690660624
175,6bb10472,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.354744901,-1.594324862,-1.385525447,-1.133235171,-1.121513652,-1.073088013,-1.063851943
177,6dd103e2,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.685134452,-2.241129201,-2.199377,-2.22611675,-2.21350398,-2.190017732,-2.194108667
179,74e11ee8,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.577688383,-3.265065207,-2.744126258,-2.234043307,-2.073196278,-2.093421355,-1.936886603
181,7dd704e0,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.484914921,-1.915577853,-1.817336458,-1.69979547,-1.688361498,-1.912218302,-1.933779299
184,81c11c9f,6_hard_pruned,6,hard,pruned,interaction,0.05,25,-2.409136827,-1.301559823,-1.187893002,-1.018851646,-1.025556972,-1.250768206,-1.287351938
189,92a74a76,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.393019907,-2.332455048,-2.220388951,-2.164318196,-2.171116619,-1.577575758,-1.581787936
194,a0f4f1bf,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.996110623,-3.164810595,-3.145370686,-3.131186619,-3.106857852,-3.018052706,-2.999849567
196,a2ebe618,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.50352315,-2.456528677,-2.387816204,-1.922726755,-1.986277928,-1.486717697,-1.551617968
199,aafbd6ab,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.682950098,-2.261515481,-2.189936806,-2.200053372,-2.152678151,-2.327927318,-2.341810507
201,b0e1157c,6_hard_pruned,6,hard,pruned,interaction,0.05,25,-2.387152265,-1.910541587,-1.802517043,-1.548987486,-1.551676853,-2.163079331,-2.155604624
205,b9e512db,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.705694638,-1.497737903,-1.416486639,-1.482203195,-1.400310557,-2.388669561,-2.396191948
212,c7fffe38,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.519836774,-2.534935485,-2.452199824,-2.40169386,-2.384004011,-1.75953253,-1.746246878
219,d4fac87b,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.619462902,-3.583839077,-3.556836409,-3.387005076,-3.415860615,-1.935753011,-1.912755787
222,daefd33a,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.240473646,-2.354092592,-2.309552496,-2.273870014,-2.328855317,-2.113592737,-2.152735734
225,e0a737b6,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.846763301,-4.034054945,-4.009532503,-3.692449203,-3.738590454,-3.270736384,-3.295595861
227,e1e500d7,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.354744901,-1.594324862,-1.385525447,-1.133235171,-1.121513652,-1.073088013,-1.063851943
232,e9dbbf8a,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.547219945,-2.979310474,-2.868088016,-2.92229432,-2.901372295,-2.14687908,-2.11291255
234,eba732b3,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.577688383,-3.265065207,-2.744126258,-2.234043307,-2.073196278,-2.093421355,-1.936886603
240,f8bbc519,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.577688383,-3.17805383,-3.234749174,-3.515137787,-3.563871243,-3.62062117,-3.677660518
241,fcaffad4,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.988965316,-3.033043959,-3.059622725,-3.063690453,-3.057442433,-2.968380402,-2.922874377
242,fdaa7ebb,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.751853578,-3.605523178,-3.565339669,-3.795532324,-3.750844445,-2.782779162,-2.75743124
246,13f4ff5a,10_hard_full,10,hard,full,interaction_blind,0.05,25,-3.66641137,-3.469041927,-3.191807697,-2.654043581,-2.645580439,-2.413071504,-2.416234663
247,1cdbeb89,10_hard_full,10,hard,full,interaction,0.05,25,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-2.585205245,-2.703950654,-2.728397761
248,1df6940e,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.360319517,-2.3000212,-1.942934682,-1.493558702,-1.480902918,-1.413067475,-1.401039942
249,1ff4f828,10_hard_full,10,hard,full,interaction_blind,0.05,25,-3.520530705,-3.375283257,-3.081686751,-2.842136774,-2.847230549,-2.681132005,-2.683946883
250,21abc061,10_hard_full,10,hard,full,blocking,0.05,25,-3.44820115,-3.442683309,-3.213172691,-2.973981598,-2.945982448,-3.088471972,-3.065911689
251,23dbc11c,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.646840167,-4.600360795,-4.407642238,-4.570806542,-4.568157578,-3.588351181,-3.568372345
252,26dbf473,10_hard_full,10,hard,full,interaction,0.05,25,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-2.585205245,-2.703950654,-2.728397761
253,28e67c08,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.298139985,-2.298319246,-1.9410214,-1.472552909,-1.459897125,-1.381388481,-1.369360948
