iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
5,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,31,0,"[[0.02, 0.06, 0.06, 0.08, 0.04, 0.02, 0.02, 0.0, 0.0, 0.0], [0.0, 0.04, 0.04, 0.08, 0.04, 0.02, 0.0, 0.0, 0.0, 0.0], [0.08, 0.04, -1e-05, 0.06, 0.04, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.02, 0.04, 0.04, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.04, 0.04, 0.02, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.02, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.02, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.02, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
5,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,25,43,0,"[[0.0, 0.09090909090909091, 0.09090909090909091, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.045454545454545456, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.09090909090909091, 0.045454545454545456, -1e-05, 0.045454545454545456, 0.045454545454545456, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.13636363636363635, 0.09090909090909091, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.045454545454545456, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.045454545454545456, 0.09090909090909091, 0.045454545454545456, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,49,83,0,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0], [0.0, 0.02631578947368421, 0.0, 0.02631578947368421, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.05263157894736842, 0.15789473684210525, 0.02631578947368421, 0.07894736842105263, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.02631578947368421, 0.05263157894736842, 0.05263157894736842, -1e-05, 0.07894736842105263, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.05263157894736842, 0.02631578947368421, 0.02631578947368421, 0.10526315789473684, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.05263157894736842, -1e-05, 0.02631578947368421, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
6,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,39,42,0,"[[0.0, 0.0, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.02857142857142857, 0.02857142857142857, 0.0, 0.0], [0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.05714285714285714, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0], [0.02857142857142857, 0.0, -1e-05, 0.02857142857142857, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.05714285714285714, 0.05714285714285714, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.02857142857142857, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.05714285714285714, 0.02857142857142857, 0.05714285714285714, 0.02857142857142857, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.02857142857142857, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.02857142857142857, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02857142857142857, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
7,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,96,0,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0], [0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.024390243902439025, -1e-05, 0.0, 0.024390243902439025, -2e-05, 0.0, 0.0, 0.024390243902439025, 0.0], [0.024390243902439025, 0.024390243902439025, 0.024390243902439025, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.04878048780487805, 0.024390243902439025, 0.0, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.07317073170731707, 0.04878048780487805, 0.024390243902439025, 0.024390243902439025, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.07317073170731707, -1e-05, 0.14634146341463414, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.12195121951219512, -1e-05, -1e-05, 0.024390243902439025, 0.0, 0.0, 0.0], [0.0, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, -2e-05, 0.0, 0.0, 0.0]]"
7,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,47,53,1,"[[0.0, 0.0, 0.0, 0.05714285714285714, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0], [0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0], [0.08571428571428572, 0.02857142857142857, -1e-05, 0.05714285714285714, 0.05714285714285714, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.02857142857142857, 0.11428571428571428, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.02857142857142857, 0.02857142857142857, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.05714285714285714, 0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
8,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,54,0,"[[0.0, 0.04, 0.02, 0.06, 0.04, 0.04, 0.02, 0.0, 0.0, 0.0], [0.04, 0.04, 0.04, 0.04, 0.06, 0.02, 0.0, 0.0, 0.0, 0.0], [0.02, 0.02, -1e-05, 0.04, 0.02, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.02, 0.04, 0.02, -1e-05, -1e-05, 0.0, 0.0, 0.02, 0.0, 0.0], [0.0, 0.04, 0.0, 0.02, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.04, 0.04, 0.04, 0.02, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.02, 0.04, 0.02, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.02, 0.0, 0.0, 0.02, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
8,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,30,53,1,"[[0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.0, 0.0, 0.0], [0.041666666666666664, 0.0, -1e-05, 0.041666666666666664, 0.041666666666666664, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.041666666666666664, 0.08333333333333333, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.041666666666666664, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.041666666666666664, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
9,10_medium_full,5,50,shutter,blocking,False,True,2,square,2,True,50,21,0,"[[0.10204081632653061, 0.04081632653061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.12244897959183673, 0.04081632653061224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02040816326530612, 0.061224489795918366, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.08163265306122448, 0.04081632653061224, 0.04081632653061224, -1e-05, -1e-05, 0.02040816326530612, 0.02040816326530612, 0.0, 0.0, 0.0], [0.08163265306122448, 0.08163265306122448, 0.0, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.08163265306122448, 0.02040816326530612, 0.04081632653061224, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.04081632653061224, 0.0, 0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.02040816326530612, 0.0], [0.0, 0.0, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02040816326530612, 0.0, -1e-05, 0.0, 0.02040816326530612, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
9,10_medium_pruned,5,50,shutter,blocking,False,True,2,square,2,True,41,43,0,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0625, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0], [0.03125, 0.0, -1e-05, 0.0, 0.0625, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0625, 0.0625, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.03125, 0.0625, 0.03125, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.09375, 0.0625, 0.0625, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.03125, 0.0, 0.0625, -1e-05, 0.03125, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.03125, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
