blocking,interactionDensity,densityDensity,interactionInteraction
0.017682552,0.015784294,0.022979579,0.016122853
0.008090906,0.005127371,0.004803386,0.005855576
0.004922757,0.003833369,0.00353533,0.004359884
0.003739164,0.003449054,0.003430498,0.003554895
0.003602595,0.003460055,0.003465845,0.003496412
0.003875363,0.003654056,0.003654182,0.003789729
0.003535994,0.003521219,0.003521219,0.003510989
0.003656083,0.003586278,0.003586278,0.00362949
0.00375374,0.003754091,0.003754091,0.003755823
0.003941851,0.003941851,0.003941851,0.003941851
