,max_moves,noise_sig,k,shutter_size,board,numberOfHeuristicComp,numberOfHeuristicComp_sem,correct,correct_sem,inverse_computation
288,30,0.5,5,0.0,6_hard_full,163.51,1.91598775855,0.19,0.0394277244404,0.00611583389395
298,30,0.5,5,0.5,6_hard_full,279.37,3.08615857458,0.14,0.034873508802,0.00357948240684
308,30,0.5,5,1.0,6_hard_full,335.0,4.17307386162,0.14,0.034873508802,0.00298507462687
318,30,0.5,5,2.0,6_hard_full,457.54,4.82929653785,0.17,0.0377525168069,0.00218560125891
