userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind,correctness,correct,user_count,num_participants
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-1.843714887,-2.115817039,-2.077067345,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-1.902162695,-2.115817039,-2.105095586,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-2.000581678,-2.115817039,-2.153195863,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-2.029602137,-2.115817039,-2.167246329,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-2.029602137,-2.115817039,-2.167246329,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,25,-2.511717543,-1.80962925,-1.707090994,-1.871199256,-2.029602137,-2.115817039,-2.167246329,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-1.87999238,-2.108438409,-2.057024379,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-1.920496232,-2.108438409,-2.076125328,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-2.005290585,-2.108438409,-2.118162319,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-2.13784493,-2.108438409,-2.183751772,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-2.175231017,-2.108438409,-2.201635518,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,50,-2.507693002,-1.800371113,-1.701731867,-1.933650152,-2.175231017,-2.108438409,-2.201635518,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-1.936976253,-2.104572579,-2.045564186,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-1.964241734,-2.104572579,-2.058474114,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-2.029065713,-2.104572579,-2.090949459,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-2.136201124,-2.104572579,-2.143926248,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-2.28559945,-2.104572579,-2.216970596,validatedCorrect,correct,1,130
