userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind,correctness,correct,user_count,num_participants
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,100,-2.505579184,-1.795171179,-1.698869512,-2.007186468,-2.334049844,-2.104572579,-2.240387977,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.007326152,-2.102592056,-2.039382879,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.026239916,-2.102592056,-2.048537664,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.076937802,-2.102592056,-2.074562783,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.162940451,-2.102592056,-2.117634096,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.285728639,-2.102592056,-2.177705953,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,200,-2.504494847,-1.79239943,-1.697387626,-2.086987364,-2.445300165,-2.102592056,-2.255021017,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.085396607,-2.101589414,-2.036164139,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.099557742,-2.101589414,-2.043229933,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.141593089,-2.101589414,-2.065413039,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.212987326,-2.101589414,-2.101898068,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.314017922,-2.101589414,-2.151885266,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,400,-2.503945541,-1.790966054,-1.696633296,-2.170131901,-2.446347559,-2.101589414,-2.216041962,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.167637882,-2.101084936,-2.034520503,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.179253782,-2.101084936,-2.040481205,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.216442701,-2.101084936,-2.060549757,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.279011541,-2.101084936,-2.093148136,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.365181993,-2.101084936,-2.136479319,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,800,-2.503669067,-1.790236847,-1.696252689,-2.255005731,-2.475429776,-2.101084936,-2.190459866,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.252050045,-2.100831899,-2.033689812,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.262347411,-2.100831899,-2.039081687,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.296965174,-2.100831899,-2.058038179,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.354639496,-2.100831899,-2.088509036,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.431901158,-2.100831899,-2.127930941,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,1600,-2.50353037,-1.789869028,-1.696061512,-2.340759214,-2.527160156,-2.100831899,-2.17522017,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.337570117,-2.10070518,-2.033272209,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.347196231,-2.10070518,-2.038375447,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.380488634,-2.10070518,-2.05676129,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.43557867,-2.10070518,-2.086116576,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.507921463,-2.10070518,-2.123404426,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,3200,-2.503460906,-1.789684304,-1.695965704,-2.42695636,-2.594229469,-2.10070518,-2.166772986,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.423649903,-2.10064177,-2.033062838,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.432937328,-2.10064177,-2.038020681,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.465556727,-2.10064177,-2.056117421,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.519317969,-2.10064177,-2.084901144,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.589069868,-2.10064177,-2.121071662,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,6400,-2.503426145,-1.789591736,-1.695917745,-2.513376306,-2.670446751,-2.10064177,-2.162302888,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,5,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.510011005,-2.100610053,-2.032958009,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.519128311,-2.100610053,-2.037842883,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,20,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.551408578,-2.100610053,-2.055794111,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,40,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.604495936,-2.100610053,-2.084288498,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,80,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.672917318,-2.100610053,-2.119886995,validatedCorrect,correct,1,130
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,160,12800,-2.503408757,-1.789545401,-1.695893752,-2.599907896,-2.751699993,-2.100610053,-2.160000005,validatedCorrect,correct,1,130
12eacae6,6_easy_full,6,easy,full,density,5,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.036389969,-4.612695821,-4.706900736,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.114970162,-4.626255861,-4.794268195,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.228844903,-4.648673455,-4.90063972,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.260432688,-4.682031312,-4.943785194,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.260432688,-4.72625356,-4.967625926,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-4.260432688,-4.779161549,-5.002545989,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.052873297,-4.658601645,-4.742145003,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.119797069,-4.669442654,-4.821750596,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.222458495,-4.687828817,-4.926435469,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.361758503,-4.716206011,-5.049694207,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.402270512,-4.755486527,-5.098311261,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,50,-2.993511485,-4.145527564,-4.059460858,-4.026373339,-4.402270512,-4.804451064,-5.122198854,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.088732681,-4.713228287,-4.789179232,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.147223762,-4.722309273,-4.862143397,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.235962631,-4.737752236,-4.958051091,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.355181316,-4.761815995,-5.073753588,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.506162667,-4.795846015,-5.205846789,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,100,-3.08468517,-4.195815842,-4.11644366,-4.071969046,-4.555334414,-4.839682141,-5.257921205,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.137716694,-4.773133481,-4.844404424,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.190881456,-4.781197568,-4.912694945,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.270123034,-4.794799401,-5.001426846,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.373884789,-4.815797048,-5.107715669,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.502993526,-4.845361141,-5.229613648,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,200,-3.179657833,-4.253252242,-4.177707286,-4.126737186,-4.660443756,-4.883803385,-5.365289935,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.194602055,-4.835975672,-4.904619608,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.244712798,-4.843490607,-4.970058524,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.318228285,-4.856050603,-5.053903254,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.411840388,-4.875164381,-5.152708766,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.524576867,-4.901597919,-5.264831937,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,400,-3.27662194,-4.314771767,-4.241282316,-4.186817073,-4.659121676,-4.935494869,-5.389988237,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.255876994,-4.900372422,-4.967620013,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.30434116,-4.907601626,-5.031469215,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.374675554,-4.919605509,-5.112392296,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.46233547,-4.937664623,-5.206194942,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.56455739,-4.962192346,-5.310668971,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,800,-3.374606114,-4.378483098,-4.306060184,-4.24977799,-4.682226082,-4.992925733,-5.425857361,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.319474612,-4.965569694,-5.032096774,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.367082081,-4.972653108,-5.095104386,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.435733628,-4.984369418,-5.174417447,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.520144372,-5.001868887,-5.265261872,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.616293432,-5.025335441,-5.364672711,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,1600,-3.473106589,-4.44333136,-4.371451869,-4.314242776,-4.723253995,-5.054151891,-5.472125724,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.38426828,-5.031173276,-5.097334294,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.431438542,-5.038183046,-5.159908597,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.499223668,-5.049753092,-5.238374582,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.581932752,-5.066964059,-5.327598602,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.674797365,-5.089869189,-5.424032524,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,3200,-3.571866805,-4.508758824,-4.437153644,-4.37947635,-4.775622667,-5.117621194,-5.526391531,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.449669027,-5.096981555,-5.162958061,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.496618405,-5.103954314,-5.225312469,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.563963804,-5.115450596,-5.303343717,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.645801512,-5.132515061,-5.391717887,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.736954881,-5.155131224,-5.486526152,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,6400,-3.670757292,-4.574478637,-4.50301127,-4.445098669,-4.834477777,-5.182320912,-5.585898788,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,5,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.515375629,-5.162892572,-5.228776449,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,10,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.562213984,-5.169846778,-5.291020084,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,20,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.629337857,-5.181306018,-5.368831073,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,40,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.710734567,-5.19829666,-5.456769789,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,80,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.801014058,-5.220766201,-5.550726808,wrong,wrong,1,240
12eacae6,6_easy_full,6,easy,full,density,160,12800,-3.769713014,-4.640345318,-4.568947023,-4.510916465,-4.896820872,-5.247666688,-5.648471146,wrong,wrong,1,240
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,5,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-0.846616684,-0.658438334,-0.772603508,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-0.915113683,-0.658438334,-0.856565086,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,20,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-1.040416532,-0.658438334,-0.997180096,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,40,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-1.087327979,-0.658438334,-1.048682785,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,80,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-1.087327979,-0.658438334,-1.048682785,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,160,25,-2.098614744,-1.342716353,-1.162995491,-0.762184102,-1.087327979,-0.658438334,-1.048682785,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,5,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-0.765541469,-0.634826717,-0.708466016,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-0.809558441,-0.634826717,-0.763860261,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,20,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-0.884168887,-0.634826717,-0.850472363,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,40,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-0.999833783,-0.634826717,-0.976977331,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,80,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-1.056960873,-0.634826717,-1.036898872,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,160,50,-2.085736214,-1.313090314,-1.145846284,-0.714850617,-1.056960873,-0.634826717,-1.036898872,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,5,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-0.717649055,-0.622456063,-0.6717934,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-0.743605701,-0.622456063,-0.707376375,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,20,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-0.79001674,-0.622456063,-0.763391211,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,40,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-0.867943073,-0.622456063,-0.849535654,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,80,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-0.987622744,-0.622456063,-0.975623684,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,160,100,-2.078971998,-1.296450526,-1.136686748,-0.688887269,-1.041116374,-0.622456063,-1.030887431,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,5,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.691277356,-0.616118389,-0.652013217,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.705823393,-0.616118389,-0.675579738,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,20,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.73255832,-0.616118389,-0.710953848,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,40,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.780091318,-0.616118389,-0.76540077,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,80,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.859662349,-0.616118389,-0.849976827,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,160,200,-2.075502119,-1.287580928,-1.131944713,-0.675239949,-0.981400053,-0.616118389,-0.975241409,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,5,400,-2.07374434,-1.282994124,-1.129530856,-0.668236169,-0.677381072,-0.612909935,-0.641713249,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,400,-2.07374434,-1.282994124,-1.129530856,-0.668236169,-0.685424106,-0.612909935,-0.658594997,validatedCorrect,correct,1,130
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,20,400,-2.07374434,-1.282994124,-1.129530856,-0.668236169,-0.700184562,-0.612909935,-0.681674668,validatedCorrect,correct,1,130
