run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
0,57,69,10_easy_full,35,0
1,64,69,10_easy_full,36,0
2,79,65,10_easy_full,35,0
3,13,79,10_easy_full,35,0
4,60,75,10_easy_full,35,0
5,78,69,10_easy_full,36,0
6,19,54,10_easy_full,35,0
7,55,53,10_easy_full,35,0
8,66,64,10_easy_full,35,0
9,54,60,10_easy_full,35,0
10,59,81,10_easy_full,35,0
11,84,57,10_easy_full,35,0
12,55,64,10_easy_full,35,0
13,53,54,10_easy_full,36,0
14,66,59,10_easy_full,35,0
15,4,64,10_easy_full,35,0
16,1,61,10_easy_full,35,0
17,49,70,10_easy_full,35,0
18,75,59,10_easy_full,35,0
19,76,65,10_easy_full,35,0
20,49,65,10_easy_full,35,0
21,6,52,10_easy_full,35,0
22,19,52,10_easy_full,35,0
23,19,50,10_easy_full,35,0
24,68,58,10_easy_full,35,0
25,65,70,10_easy_full,35,0
26,95,96,10_easy_full,35,0
27,65,59,10_easy_full,35,0
28,59,63,10_easy_full,35,0
29,66,58,10_easy_full,35,0
30,65,67,10_easy_full,35,0
31,56,70,10_easy_full,35,0
32,85,65,10_easy_full,35,0
33,95,97,10_easy_full,35,0
34,99,98,10_easy_full,35,0
35,23,76,10_easy_full,35,0
36,95,98,10_easy_full,35,0
37,43,68,10_easy_full,35,0
38,50,56,10_easy_full,35,1
39,45,72,10_easy_full,35,0
40,85,58,10_easy_full,35,0
41,55,62,10_easy_full,36,0
42,84,57,10_easy_full,36,0
43,95,103,10_easy_full,35,0
44,42,62,10_easy_full,36,0
45,45,58,10_easy_full,35,0
46,95,97,10_easy_full,35,0
47,76,66,10_easy_full,35,0
48,20,56,10_easy_full,35,1
49,19,52,10_easy_full,35,0
50,49,65,10_easy_full,35,0
51,55,59,10_easy_full,35,0
52,66,59,10_easy_full,36,0
53,50,57,10_easy_full,35,1
54,20,57,10_easy_full,35,1
55,84,68,10_easy_full,35,0
56,85,60,10_easy_full,36,0
57,59,53,10_easy_full,35,0
58,30,64,10_easy_full,35,0
59,50,58,10_easy_full,35,1
60,50,56,10_easy_full,35,1
61,55,61,10_easy_full,35,0
62,6,54,10_easy_full,35,0
63,95,102,10_easy_full,35,0
64,73,63,10_easy_full,35,0
65,55,62,10_easy_full,35,0
66,19,52,10_easy_full,35,0
67,55,58,10_easy_full,35,0
68,4,63,10_easy_full,35,0
69,53,58,10_easy_full,35,0
70,43,58,10_easy_full,35,0
71,33,70,10_easy_full,35,0
72,88,61,10_easy_full,36,0
73,75,55,10_easy_full,35,0
74,66,66,10_easy_full,35,0
75,1,69,10_easy_full,35,0
76,95,100,10_easy_full,35,0
77,95,98,10_easy_full,35,0
78,74,55,10_easy_full,35,0
79,53,72,10_easy_full,35,0
80,55,51,10_easy_full,35,0
81,33,66,10_easy_full,35,0
82,66,59,10_easy_full,35,0
83,55,54,10_easy_full,35,0
84,66,57,10_easy_full,35,0
85,99,96,10_easy_full,35,0
86,63,67,10_easy_full,35,0
87,66,55,10_easy_full,36,0
88,11,70,10_easy_full,36,0
89,45,70,10_easy_full,35,0
90,75,72,10_easy_full,35,0
91,20,54,10_easy_full,35,1
92,43,61,10_easy_full,35,0
93,86,62,10_easy_full,35,0
94,49,66,10_easy_full,35,0
95,66,52,10_easy_full,35,0
96,19,59,10_easy_full,35,0
97,76,61,10_easy_full,35,0
98,54,73,10_easy_full,35,0
99,66,64,10_easy_full,35,0
100,55,68,10_easy_full,35,0
