iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
0,6_easy_full,3,35,shutter,blocking,False,True,2,square,2,True,35,26,0,"[[0.17391304347826086, -1e-05, 0.08695652173913043, -2e-05, 0.17391304347826086, 0.08695652173913043], [0.17391304347826086, -2e-05, -1e-05, -1e-05, 0.17391304347826086, 0.043478260869565216], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.043478260869565216, -2e-05, -2e-05, 0.043478260869565216, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
0,6_easy_pruned,3,35,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.1111111111111111, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111]]"
0,6_hard_full,3,35,shutter,blocking,False,True,2,square,2,True,35,4,1,"[[0.0, -2e-05, 0.03225806451612903, 0.03225806451612903, -1e-05, 0.03225806451612903], [0.06451612903225806, -2e-05, -1e-05, -2e-05, 0.06451612903225806, 0.06451612903225806], [0.0, -1e-05, 0.06451612903225806, 0.0967741935483871, 0.06451612903225806, 0.03225806451612903], [0.0, -1e-05, 0.12903225806451613, -2e-05, 0.0967741935483871, 0.0], [0.0, -1e-05, 0.06451612903225806, 0.06451612903225806, 0.0, 0.06451612903225806], [0.03225806451612903, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
0,6_hard_pruned,3,35,shutter,blocking,False,True,2,square,2,True,35,17,0,"[[0.03333333333333333, -2e-05, 0.03333333333333333, -1e-05, -1e-05, 0.06666666666666667], [0.03333333333333333, -2e-05, -1e-05, -2e-05, 0.03333333333333333, 0.0], [0.0, -1e-05, 0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667], [-2e-05, -1e-05, 0.06666666666666667, -2e-05, 0.1, 0.03333333333333333], [0.1, -1e-05, 0.03333333333333333, 0.13333333333333333, 0.1, 0.06666666666666667], [0.03333333333333333, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_easy_full,3,35,shutter,blocking,False,True,2,square,2,True,35,18,0,"[[0.18181818181818182, -1e-05, 0.36363636363636365, -2e-05, 0.13636363636363635, 0.045454545454545456], [0.13636363636363635, -2e-05, -1e-05, -1e-05, 0.09090909090909091, 0.0], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.045454545454545456], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,6_easy_pruned,3,35,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.1111111111111111, -1e-05, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
1,6_hard_full,3,35,shutter,blocking,False,True,2,square,2,True,29,19,0,"[[0.045454545454545456, -2e-05, 0.045454545454545456, 0.045454545454545456, -1e-05, 0.045454545454545456], [0.09090909090909091, -2e-05, -1e-05, -2e-05, 0.045454545454545456, 0.0], [0.13636363636363635, -1e-05, 0.13636363636363635, 0.045454545454545456, 0.0, 0.045454545454545456], [0.045454545454545456, -1e-05, 0.09090909090909091, -2e-05, 0.0, 0.0], [0.045454545454545456, -1e-05, 0.045454545454545456, 0.045454545454545456, 0.0, 0.0], [0.045454545454545456, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
1,6_hard_pruned,3,35,shutter,blocking,False,True,2,square,2,True,27,27,0,"[[0.0, -2e-05, 0.0, -1e-05, -1e-05, 0.08333333333333333], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.041666666666666664], [0.041666666666666664, -1e-05, 0.041666666666666664, 0.041666666666666664, 0.0, 0.08333333333333333], [-2e-05, -1e-05, 0.0, -2e-05, 0.041666666666666664, 0.08333333333333333], [0.125, -1e-05, 0.041666666666666664, 0.125, 0.08333333333333333, 0.125], [0.0, -2e-05, 0.0, 0.041666666666666664, -2e-05, 0.0]]"
2,6_easy_full,3,35,shutter,blocking,False,True,2,square,2,True,35,3,0,"[[0.17391304347826086, -1e-05, 0.13043478260869565, -2e-05, 0.17391304347826086, 0.08695652173913043], [0.17391304347826086, -2e-05, -1e-05, -1e-05, 0.17391304347826086, 0.043478260869565216], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.0], [-1e-05, 0.0, -2e-05, -2e-05, 0.043478260869565216, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,6_easy_pruned,3,35,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111]]"
2,6_hard_full,3,35,shutter,blocking,False,True,2,square,2,True,35,15,0,"[[0.027777777777777776, -2e-05, 0.08333333333333333, 0.027777777777777776, -1e-05, 0.0], [0.027777777777777776, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.027777777777777776, -1e-05, 0.027777777777777776, 0.0, 0.05555555555555555, 0.05555555555555555], [0.027777777777777776, -1e-05, 0.027777777777777776, -2e-05, 0.08333333333333333, 0.05555555555555555], [0.05555555555555555, -1e-05, 0.027777777777777776, 0.1388888888888889, 0.08333333333333333, 0.08333333333333333], [0.0, -2e-05, 0.027777777777777776, 0.05555555555555555, -2e-05, 0.0]]"
2,6_hard_pruned,3,35,shutter,blocking,False,True,2,square,2,True,35,21,0,"[[0.038461538461538464, -2e-05, 0.038461538461538464, -1e-05, -1e-05, 0.11538461538461539], [0.15384615384615385, -2e-05, -1e-05, -2e-05, 0.11538461538461539, 0.07692307692307693], [0.0, -1e-05, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464, 0.038461538461538464], [-2e-05, -1e-05, 0.038461538461538464, -2e-05, 0.038461538461538464, 0.038461538461538464], [0.0, -1e-05, 0.038461538461538464, 0.11538461538461539, 0.038461538461538464, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
3,6_easy_full,3,35,shutter,blocking,False,True,2,square,2,True,31,24,1,"[[0.1111111111111111, -1e-05, 0.0, -2e-05, 0.1111111111111111, 0.16666666666666666], [0.05555555555555555, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.05555555555555555], [-1e-05, 0.0, -2e-05, -2e-05, 0.05555555555555555, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555]]"
3,6_easy_pruned,3,35,shutter,blocking,False,True,2,square,2,True,21,18,0,"[[0.07692307692307693, -1e-05, -2e-05, -2e-05, 0.15384615384615385, 0.23076923076923078], [0.07692307692307693, -2e-05, -1e-05, -1e-05, 0.23076923076923078, 0.07692307692307693], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07692307692307693], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.07692307692307693, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
