size,type,condition,board_x,heuristic_name,moves,board_size,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board_y,timePerMoveMinutes,timePerMove,moves_type
10,MC,full,10 MC full,interaction,450,10,medium,85,0,0,6.257633333,0,0,10 MC,0.073619216,4.41715296,participant
10,MC,full,10 MC full,interaction,450,10,medium,86,0,0,9.510566667,0,0,10 MC,0.110587985,6.6352791,participant
10,MC,full,10 MC full,interaction,450,10,medium,101,0,0,9.94635,0,0,10 MC,0.098478713,5.90872278,participant
10,MC,full,10 MC full,interaction,450,10,medium,74,0,0,10.0594,0,0,10 MC,0.135937838,8.15627028,participant
10,MC,full,10 MC full,interaction,450,10,medium,76,1,1,9.71135,100,100,10 MC,0.127780921,7.66685526,participant
10,MC,full,10 MC full,interaction,450,10,medium,74,0,0,4.411783333,0,0,10 MC,0.059618694,3.57712164,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,58,1,1,5.6076,100,100,10 MC,0.096682759,5.80096554,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,31,0,0,2.647083333,0,0,10 MC,0.085389785,5.1233871,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,27,0,0,3.328216667,0,0,10 MC,0.123267284,7.39603704,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,5,0,0,0.569233333,0,0,10 MC,0.113846667,6.83080002,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,28,0,0,9.07905,0,0,10 MC,0.324251786,19.45510716,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,32,1,1,7.580416667,100,100,10 MC,0.236888021,14.21328126,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,10,1,1,3.34015,100,100,10 MC,0.334015,20.0409,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,8,0,0,1.092983333,0,0,10 MC,0.136622917,8.19737502,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,65,1,1,8.292566667,100,100,10 MC,0.127577949,7.65467694,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,23,1,1,3.933,100,100,10 MC,0.171,10.26,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,67,0,0,9.52725,0,0,10 MC,0.142197761,8.53186566,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,31,1,1,2.039866667,100,100,10 MC,0.065802151,3.94812906,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,25,1,1,5.292633333,100,100,10 MC,0.211705333,12.70231998,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,15,1,1,2.189066667,100,100,10 MC,0.145937778,8.75626668,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,3,1,1,3.080716667,100,100,10 MC,1.026905556,61.61433336,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,20,1,1,5.033616667,100,100,10 MC,0.251680833,15.10084998,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,17,1,1,3.219283333,100,100,10 MC,0.189369608,11.36217648,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,5,0,0,1.48615,0,0,10 MC,0.29723,17.8338,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,11,1,1,1.737,100,100,10 MC,0.157909091,9.47454546,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,64,0,0,3.82715,0,0,10 MC,0.059799219,3.58795314,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,47,1,1,5.045766667,100,100,10 MC,0.107356738,6.44140428,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,43,0,0,10.12833333,0,0,10 MC,0.235542636,14.13255816,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,2,0,0,1.354033333,0,0,10 MC,0.677016667,40.62100002,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,8,1,1,2.052666667,100,100,10 MC,0.256583333,15.39499998,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,18,0,0,2.938383333,0,0,10 MC,0.163243519,9.79461114,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,31,1,1,4.361283333,100,100,10 MC,0.140686559,8.44119354,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,4,1,1,1.350466667,100,100,10 MC,0.337616667,20.25700002,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,83,1,1,9.077833333,100,100,10 MC,0.109371486,6.56228916,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,13,1,1,2.238833333,100,100,10 MC,0.172217949,10.33307694,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,93,0,0,9.794966667,0,0,10 MC,0.105322222,6.31933332,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,47,0,0,10.16466667,0,0,10 MC,0.216269504,12.97617024,participant
10,MC,truncated,10 MC truncated,interaction,198,10,medium,8,1,1,2.3246,100,100,10 MC,0.290575,17.4345,participant
10,HC,full,10 HC full,interaction,3243,10,hard,25,1,1,4.3583,100,100,10 HC,0.174332,10.45992,participant
10,HC,full,10 HC full,interaction,3243,10,hard,2,0,0,1.01,0,0,10 HC,0.505,30.3,participant
10,HC,full,10 HC full,interaction,3243,10,hard,24,1,1,4.027866667,100,100,10 HC,0.167827778,10.06966668,participant
10,HC,full,10 HC full,interaction,3243,10,hard,3,0,0,0.779183333,0,0,10 HC,0.259727778,15.58366668,participant
10,HC,full,10 HC full,interaction,3243,10,hard,35,1,0,3.0183,100,0,10 HC,0.086237143,5.17422858,participant
10,HC,full,10 HC full,interaction,3243,10,hard,27,0,0,2.0956,0,0,10 HC,0.077614815,4.6568889,participant
10,HC,full,10 HC full,interaction,3243,10,hard,3,0,0,0.23455,0,0,10 HC,0.078183333,4.69099998,participant
10,HC,full,10 HC full,interaction,3243,10,hard,21,0,0,2.961483333,0,0,10 HC,0.141023016,8.46138096,participant
10,HC,full,10 HC full,interaction,3243,10,hard,37,0,0,4.018333333,0,0,10 HC,0.108603604,6.51621624,participant
10,HC,full,10 HC full,interaction,3243,10,hard,5,1,0,1.727583333,100,0,10 HC,0.345516667,20.73100002,participant
10,HC,full,10 HC full,interaction,3243,10,hard,66,0,0,9.124166667,0,0,10 HC,0.13824495,8.294697,participant
10,HC,full,10 HC full,interaction,3243,10,hard,47,0,0,10.03676667,0,0,10 HC,0.213548227,12.81289362,participant
10,HC,full,10 HC full,interaction,3243,10,hard,28,0,0,5.045616667,0,0,10 HC,0.180200595,10.8120357,participant
10,HC,full,10 HC full,interaction,3243,10,hard,12,1,1,3.200666667,100,100,10 HC,0.266722222,16.00333332,participant
10,HC,full,10 HC full,interaction,3243,10,hard,26,0,0,6.422116667,0,0,10 HC,0.247004487,14.82026922,participant
10,HC,full,10 HC full,interaction,3243,10,hard,12,1,1,1.532233333,100,100,10 HC,0.127686111,7.66116666,participant
10,HC,full,10 HC full,interaction,3243,10,hard,15,1,1,1.415916667,100,100,10 HC,0.094394444,5.66366664,participant
10,HC,full,10 HC full,interaction,3243,10,hard,18,1,0,2.633233333,100,0,10 HC,0.146290741,8.77744446,participant
10,HC,full,10 HC full,interaction,3243,10,hard,48,1,1,2.044616667,100,100,10 HC,0.042596181,2.55577086,participant
10,HC,full,10 HC full,interaction,3243,10,hard,14,1,1,1.52185,100,100,10 HC,0.108703571,6.52221426,participant
10,HC,full,10 HC full,interaction,3243,10,hard,16,1,1,3.3054,100,100,10 HC,0.2065875,12.39525,participant
10,HC,full,10 HC full,interaction,3243,10,hard,15,1,1,3.17925,100,100,10 HC,0.21195,12.717,participant
10,HC,full,10 HC full,interaction,3243,10,hard,28,0,0,5.189266667,0,0,10 HC,0.185330952,11.11985712,participant
10,HC,full,10 HC full,interaction,3243,10,hard,31,0,0,5.777183333,0,0,10 HC,0.186360753,11.18164518,participant
10,HC,full,10 HC full,interaction,3243,10,hard,22,0,0,6.3855,0,0,10 HC,0.29025,17.415,participant
10,HC,full,10 HC full,interaction,3243,10,hard,84,0,0,6.662083333,0,0,10 HC,0.079310516,4.75863096,participant
10,HC,full,10 HC full,interaction,3243,10,hard,38,0,0,9.1248,0,0,10 HC,0.240126316,14.40757896,participant
10,HC,full,10 HC full,interaction,3243,10,hard,37,0,0,7.74545,0,0,10 HC,0.209336486,12.56018916,participant
10,HC,full,10 HC full,interaction,3243,10,hard,33,0,0,3.0033,0,0,10 HC,0.091009091,5.46054546,participant
10,HC,full,10 HC full,interaction,3243,10,hard,18,0,0,3.827,0,0,10 HC,0.212611111,12.75666666,participant
10,HC,full,10 HC full,interaction,3243,10,hard,4,1,0,2.435666667,100,0,10 HC,0.608916667,36.53500002,participant
10,HC,full,10 HC full,interaction,3243,10,hard,38,0,0,4.028216667,0,0,10 HC,0.106005702,6.36034212,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,5,1,0,1.717233333,100,0,10 HC,0.343446667,20.60680002,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,6,1,1,1.5414,100,100,10 HC,0.2569,15.414,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,31,0,0,6.402,0,0,10 HC,0.206516129,12.39096774,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,34,0,0,3.94445,0,0,10 HC,0.116013235,6.9607941,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,24,1,1,3.65855,100,100,10 HC,0.152439583,9.14637498,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,73,0,0,7.58165,0,0,10 HC,0.103858219,6.23149314,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,46,1,1,9.457683333,100,100,10 HC,0.205601812,12.33610872,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,60,0,0,8.158116667,0,0,10 HC,0.135968611,8.15811666,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,13,0,0,6.257683333,0,0,10 HC,0.481360256,28.88161536,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,101,0,0,9.933716667,0,0,10 HC,0.09835363,5.9012178,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,56,0,0,9.628533333,0,0,10 HC,0.171938095,10.3162857,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,6,1,0,1.3599,100,0,10 HC,0.22665,13.599,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,69,0,0,9.09195,0,0,10 HC,0.131767391,7.90604346,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,70,1,1,7.72025,100,100,10 HC,0.110289286,6.61735716,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,70,1,0,9.880716667,100,0,10 HC,0.141153095,8.4691857,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,11,0,0,1.77325,0,0,10 HC,0.161204545,9.6722727,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,18,0,0,2.415,0,0,10 HC,0.134166667,8.05000002,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,16,0,0,4.8891,0,0,10 HC,0.30556875,18.334125,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,37,1,1,4.817183333,100,100,10 HC,0.130194144,7.81164864,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,10,0,0,2.4617,0,0,10 HC,0.24617,14.7702,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,10,0,0,1.636,0,0,10 HC,0.1636,9.816,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,51,1,1,2.9373,100,100,10 HC,0.057594118,3.45564708,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,14,1,1,3.144633333,100,100,10 HC,0.224616667,13.47700002,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,20,1,1,1.825116667,100,100,10 HC,0.091255833,5.47534998,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,0,0,0,1.233316667,0,0,10 HC,0,0,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,36,0,0,5.225383333,0,0,10 HC,0.145149537,8.70897222,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,71,0,0,9.906183333,0,0,10 HC,0.139523709,8.37142254,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,0,0,0,1.277333333,0,0,10 HC,0,0,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,32,0,0,4.674483333,0,0,10 HC,0.146077604,8.76465624,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,35,0,0,5.82215,0,0,10 HC,0.166347143,9.98082858,participant
