,move_limit,noise,k,board,tradeoff
217,30,2.5,10,6_easy_pruned,1
218,30,2.5,10,6_hard_full,0
219,30,2.5,10,6_hard_pruned,0
220,50,0.0,5,10_easy_full,0
221,50,0.0,5,10_easy_pruned,0
222,50,0.0,5,10_hard_full,0
223,50,0.0,5,10_hard_pruned,0
224,50,0.0,5,10_medium_full,0
225,50,0.0,5,10_medium_pruned,0
226,50,0.0,5,6_easy_full,0
227,50,0.0,5,6_easy_pruned,0
228,50,0.0,5,6_hard_full,0
229,50,0.0,5,6_hard_pruned,0
230,50,0.0,10,10_easy_full,1
231,50,0.0,10,10_easy_pruned,0
232,50,0.0,10,10_hard_full,0
233,50,0.0,10,10_hard_pruned,0
234,50,0.0,10,10_medium_full,0
235,50,0.0,10,10_medium_pruned,1
236,50,0.0,10,6_easy_full,0
237,50,0.0,10,6_easy_pruned,0
238,50,0.0,10,6_hard_full,0
239,50,0.0,10,6_hard_pruned,0
240,50,0.25,5,10_easy_full,1
241,50,0.25,5,10_easy_pruned,0
242,50,0.25,5,10_hard_full,0
243,50,0.25,5,10_hard_pruned,0
244,50,0.25,5,10_medium_full,0
245,50,0.25,5,10_medium_pruned,0
246,50,0.25,5,6_easy_full,1
247,50,0.25,5,6_easy_pruned,0
248,50,0.25,5,6_hard_full,0
249,50,0.25,5,6_hard_pruned,0
250,50,0.25,10,10_easy_full,0
251,50,0.25,10,10_easy_pruned,0
252,50,0.25,10,10_hard_full,0
253,50,0.25,10,10_hard_pruned,0
254,50,0.25,10,10_medium_full,0
255,50,0.25,10,10_medium_pruned,0
256,50,0.25,10,6_easy_full,0
257,50,0.25,10,6_easy_pruned,0
258,50,0.25,10,6_hard_full,0
259,50,0.25,10,6_hard_pruned,0
260,50,0.5,5,10_easy_full,0
261,50,0.5,5,10_easy_pruned,0
262,50,0.5,5,10_hard_full,0
263,50,0.5,5,10_hard_pruned,0
264,50,0.5,5,10_medium_full,0
265,50,0.5,5,10_medium_pruned,1
266,50,0.5,5,6_easy_full,1
267,50,0.5,5,6_easy_pruned,0
268,50,0.5,5,6_hard_full,0
269,50,0.5,5,6_hard_pruned,0
270,50,0.5,10,10_easy_full,0
271,50,0.5,10,10_easy_pruned,0
272,50,0.5,10,10_hard_full,0
273,50,0.5,10,10_hard_pruned,0
274,50,0.5,10,10_medium_full,0
275,50,0.5,10,10_medium_pruned,0
276,50,0.5,10,6_easy_full,1
277,50,0.5,10,6_easy_pruned,0
278,50,0.5,10,6_hard_full,0
279,50,0.5,10,6_hard_pruned,0
280,50,0.75,5,10_easy_full,0
281,50,0.75,5,10_easy_pruned,1
282,50,0.75,5,10_hard_full,0
283,50,0.75,5,10_hard_pruned,0
284,50,0.75,5,10_medium_full,1
285,50,0.75,5,10_medium_pruned,1
286,50,0.75,5,6_easy_full,1
287,50,0.75,5,6_easy_pruned,0
288,50,0.75,5,6_hard_full,0
289,50,0.75,5,6_hard_pruned,0
290,50,0.75,10,10_easy_full,0
291,50,0.75,10,10_easy_pruned,0
