,board,likelihoods_block,likelihoods_density,likelihoods_interaction,move_number_in_path,userid
0,6_hard_full,-5.18173657796,-3.29579688679,-5.18173657796,1,11d4bf94
1,6_hard_full,-2.11474827852,-3.10237699243,-2.6352548042,2,11d4bf94
2,6_hard_full,-9.21034037198,-2.83333329608,-9.21034037198,3,11d4bf94
3,6_hard_full,-0.492685334586,-2.5540823147,-0.0699087549133,4,11d4bf94
4,6_hard_full,-3.12523791162,-3.11348532225,-3.12523791162,5,11d4bf94
5,6_hard_full,-9.21034037198,-2.25150173668,-9.21034037198,6,11d4bf94
6,6_hard_full,-0.769510124635,-3.14622016793,-0.769510124635,7,11d4bf94
7,6_hard_full,-1.78929181329,-2.60291959693,-1.78929181329,1,14b4c043
8,6_hard_full,-2.33205316181,-2.31530500853,-2.33205316181,1,14b4c043
9,6_hard_full,-2.33205316181,-2.31530500853,-2.33205316181,1,14b4c043
10,6_hard_full,-2.0087039075,-2.66278108628,-1.43329865381,2,14b4c043
11,6_hard_full,-1.78929181329,-2.44880747886,-1.78929181329,1,14b4c043
12,6_hard_full,-2.32716374044,-2.5202293139,-1.57903205937,2,14b4c043
13,6_hard_full,-3.13549421593,-2.80953064469,-3.13549421593,3,14b4c043
14,6_hard_full,-5.60911048983,-2.87928242388,-5.33399371777,4,14b4c043
15,6_hard_full,-3.04452243772,-2.291633946,-3.04452243772,5,14b4c043
16,6_hard_full,-0.930178955514,-2.82144286287,-0.722251350542,6,14b4c043
17,6_hard_full,-0.788308344421,-2.53155519627,-0.788308344421,7,14b4c043
18,6_hard_full,-3.01479748815,-2.44880747886,-3.01479748815,1,14c5dc72
19,6_hard_full,-1.78929181329,-2.60291959693,-1.78929181329,1,14c5dc72
20,6_hard_full,-2.33205316181,-2.31530500853,-2.33205316181,1,14c5dc72
21,6_hard_full,-2.0087039075,-2.66278108628,-1.43329865381,2,14c5dc72
22,6_hard_full,-3.13549421593,-3.0204748644,-3.13549421593,3,14c5dc72
23,6_hard_full,-3.89867382466,-2.44255696504,-3.61484293336,4,14c5dc72
24,6_hard_full,-2.09078440778,-2.78518716976,-2.09078440778,1,14c5dc72
25,6_hard_full,0.0,-3.79507946982,0.0,2,14c5dc72
26,6_hard_full,-2.00808066657,-2.5778849788,-2.00808066657,3,14c5dc72
27,6_hard_full,0.0,-4.50948106394,0.0,4,14c5dc72
28,6_hard_full,-1.43475242565,-2.04148625254,-1.43475242565,5,14c5dc72
29,6_hard_full,0.0,-2.54287188731,0.0,6,14c5dc72
30,6_hard_full,-1.78929181329,-2.44880747886,-1.78929181329,1,14c5dc72
31,6_hard_full,-2.32716374044,-2.8566021516,-2.68074023468,2,14c5dc72
32,6_hard_full,0.0,-2.39813519123,0.0,3,14c5dc72
33,6_hard_full,-3.09104245336,-3.42300304629,-3.09104245336,4,14c5dc72
