run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
0,94,62,10_easy_full,35,0
1,50,60,10_easy_full,37,1
2,55,58,10_easy_full,35,0
3,22,63,10_easy_full,35,0
4,57,76,10_easy_full,37,0
5,95,89,10_easy_full,35,0
6,79,72,10_easy_full,35,0
7,20,69,10_easy_full,35,1
8,86,83,10_easy_full,35,0
9,30,66,10_easy_full,37,0
10,76,61,10_easy_full,35,0
11,86,60,10_easy_full,35,0
12,60,66,10_easy_full,35,0
13,66,64,10_easy_full,35,0
14,50,59,10_easy_full,35,1
15,66,76,10_easy_full,35,0
16,63,57,10_easy_full,35,0
17,22,60,10_easy_full,35,0
18,20,62,10_easy_full,36,1
19,43,73,10_easy_full,35,0
20,85,67,10_easy_full,35,0
21,66,63,10_easy_full,37,0
22,76,70,10_easy_full,35,0
23,84,64,10_easy_full,35,0
24,6,60,10_easy_full,36,0
25,43,71,10_easy_full,37,0
26,90,67,10_easy_full,35,0
27,66,75,10_easy_full,35,0
28,86,58,10_easy_full,35,0
29,88,64,10_easy_full,35,0
30,88,64,10_easy_full,35,0
31,70,58,10_easy_full,35,0
32,66,58,10_easy_full,35,0
33,50,59,10_easy_full,35,1
34,75,80,10_easy_full,35,0
35,99,95,10_easy_full,35,0
36,65,51,10_easy_full,35,0
37,48,68,10_easy_full,35,0
38,50,53,10_easy_full,37,1
39,60,73,10_easy_full,35,0
40,73,63,10_easy_full,35,0
41,79,62,10_easy_full,35,0
42,50,65,10_easy_full,35,1
43,33,64,10_easy_full,35,0
44,64,64,10_easy_full,37,0
45,56,59,10_easy_full,35,0
46,33,73,10_easy_full,35,0
47,54,65,10_easy_full,35,0
48,59,69,10_easy_full,35,0
49,50,57,10_easy_full,35,1
50,86,74,10_easy_full,35,0
51,66,58,10_easy_full,35,0
52,33,82,10_easy_full,37,0
53,82,62,10_easy_full,35,0
54,99,71,10_easy_full,35,0
55,19,67,10_easy_full,37,0
56,75,61,10_easy_full,37,0
57,95,77,10_easy_full,35,0
58,6,67,10_easy_full,37,0
59,50,58,10_easy_full,37,1
60,83,58,10_easy_full,35,0
61,88,61,10_easy_full,35,0
62,89,69,10_easy_full,35,0
63,20,69,10_easy_full,35,1
64,66,62,10_easy_full,35,0
65,84,71,10_easy_full,36,0
66,66,53,10_easy_full,35,0
67,68,56,10_easy_full,35,0
68,67,58,10_easy_full,35,0
69,84,58,10_easy_full,35,0
70,76,55,10_easy_full,35,0
71,66,62,10_easy_full,35,0
72,50,64,10_easy_full,36,1
73,78,67,10_easy_full,35,0
74,82,70,10_easy_full,35,0
75,74,62,10_easy_full,35,0
76,2,66,10_easy_full,35,0
77,6,56,10_easy_full,35,0
78,59,73,10_easy_full,35,0
79,95,83,10_easy_full,35,0
80,6,56,10_easy_full,35,0
81,20,71,10_easy_full,36,1
82,76,59,10_easy_full,35,0
83,94,62,10_easy_full,35,0
84,67,58,10_easy_full,35,0
85,65,63,10_easy_full,35,0
86,83,64,10_easy_full,37,0
87,50,58,10_easy_full,35,1
88,49,59,10_easy_full,35,0
89,19,60,10_easy_full,36,0
90,56,67,10_easy_full,35,0
91,84,71,10_easy_full,35,0
92,73,68,10_easy_full,37,0
93,70,78,10_easy_full,35,0
94,55,61,10_easy_full,35,0
95,66,65,10_easy_full,35,0
96,20,74,10_easy_full,37,1
97,86,64,10_easy_full,37,0
98,78,71,10_easy_full,35,0
99,20,60,10_easy_full,35,1
0,59,53,10_easy_pruned,37,0
1,95,54,10_easy_pruned,35,0
2,95,52,10_easy_pruned,35,0
3,43,48,10_easy_pruned,35,0
4,22,47,10_easy_pruned,35,0
5,59,49,10_easy_pruned,35,0
6,88,58,10_easy_pruned,35,0
7,95,49,10_easy_pruned,35,0
8,75,52,10_easy_pruned,35,0
9,49,47,10_easy_pruned,35,0
10,55,50,10_easy_pruned,35,0
11,55,42,10_easy_pruned,36,0
12,22,57,10_easy_pruned,35,0
13,95,55,10_easy_pruned,35,0
14,95,57,10_easy_pruned,35,0
15,10,46,10_easy_pruned,35,0
16,84,55,10_easy_pruned,35,0
17,63,53,10_easy_pruned,35,0
18,86,42,10_easy_pruned,35,0
19,89,46,10_easy_pruned,35,0
20,86,55,10_easy_pruned,35,0
21,78,49,10_easy_pruned,35,0
22,57,51,10_easy_pruned,35,0
23,32,46,10_easy_pruned,35,0
24,55,46,10_easy_pruned,35,0
25,95,53,10_easy_pruned,35,0
26,65,49,10_easy_pruned,35,0
27,20,46,10_easy_pruned,35,1
28,33,47,10_easy_pruned,35,0
29,84,54,10_easy_pruned,35,0
30,66,59,10_easy_pruned,35,0
31,55,53,10_easy_pruned,35,0
32,19,43,10_easy_pruned,36,0
33,54,54,10_easy_pruned,35,0
34,55,62,10_easy_pruned,35,0
35,66,51,10_easy_pruned,35,0
36,84,51,10_easy_pruned,35,0
37,29,53,10_easy_pruned,35,0
38,20,48,10_easy_pruned,35,1
39,20,48,10_easy_pruned,37,1
40,74,50,10_easy_pruned,35,0
41,33,54,10_easy_pruned,35,0
42,93,50,10_easy_pruned,35,0
43,88,57,10_easy_pruned,35,0
44,65,47,10_easy_pruned,35,0
45,20,41,10_easy_pruned,36,1
46,65,47,10_easy_pruned,35,0
47,99,56,10_easy_pruned,35,0
48,53,51,10_easy_pruned,35,0
49,80,49,10_easy_pruned,35,0
50,66,56,10_easy_pruned,35,0
51,45,50,10_easy_pruned,35,0
52,75,54,10_easy_pruned,35,0
53,78,42,10_easy_pruned,35,0
54,99,56,10_easy_pruned,35,0
55,59,42,10_easy_pruned,36,0
56,66,53,10_easy_pruned,35,0
57,30,50,10_easy_pruned,35,0
58,57,40,10_easy_pruned,35,0
59,20,45,10_easy_pruned,35,1
60,20,46,10_easy_pruned,35,1
61,69,46,10_easy_pruned,37,0
62,31,56,10_easy_pruned,35,0
63,20,47,10_easy_pruned,37,1
64,20,50,10_easy_pruned,37,1
65,86,46,10_easy_pruned,37,0
66,57,55,10_easy_pruned,35,0
67,30,48,10_easy_pruned,37,0
68,95,51,10_easy_pruned,35,0
69,84,54,10_easy_pruned,35,0
70,66,52,10_easy_pruned,35,0
71,20,49,10_easy_pruned,37,1
72,86,52,10_easy_pruned,37,0
73,52,47,10_easy_pruned,35,0
74,88,46,10_easy_pruned,35,0
75,59,52,10_easy_pruned,37,0
76,20,42,10_easy_pruned,35,1
77,84,55,10_easy_pruned,35,0
78,20,43,10_easy_pruned,35,1
79,76,44,10_easy_pruned,35,0
80,64,54,10_easy_pruned,35,0
81,91,52,10_easy_pruned,35,0
82,73,55,10_easy_pruned,35,0
83,67,46,10_easy_pruned,37,0
84,65,47,10_easy_pruned,35,0
85,59,52,10_easy_pruned,35,0
86,30,44,10_easy_pruned,35,0
87,66,51,10_easy_pruned,37,0
88,48,51,10_easy_pruned,35,0
89,99,54,10_easy_pruned,35,0
90,19,45,10_easy_pruned,35,0
91,20,49,10_easy_pruned,35,1
92,99,53,10_easy_pruned,35,0
93,59,56,10_easy_pruned,35,0
94,64,53,10_easy_pruned,35,0
95,2,48,10_easy_pruned,37,0
96,54,60,10_easy_pruned,35,0
97,88,47,10_easy_pruned,35,0
98,59,57,10_easy_pruned,35,0
99,73,52,10_easy_pruned,35,0
0,47,79,10_hard_full,35,0
1,12,81,10_hard_full,35,0
2,25,70,10_hard_full,37,1
3,62,75,10_hard_full,35,0
4,93,68,10_hard_full,35,0
5,3,75,10_hard_full,35,0
6,45,63,10_hard_full,38,0
7,25,70,10_hard_full,35,1
