userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind,correctness,correct
11dfe866,6_easy_pruned,6,easy,pruned,non-linear,10,100,0,0,1,0,0,0,0,validatedCorrect,1
12eacae6,6_easy_full,6,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
12ebbfd2,6_easy_pruned,6,easy,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
13b7468e,10_hard_pruned,10,hard,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
13dbbfb8,10_hard_pruned,10,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
13f4ff5a,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
16d516ad,6_hard_pruned,6,hard,pruned,blocking,10,100,0,0,0,0,1,0,0,wrong,0
16e512d0,6_easy_pruned,6,easy,pruned,non-linear,10,100,0,0,1,0,0,0,0,validatedCorrect,1
16ead0a0,10_easy_full,10,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
16f6e58d,10_hard_pruned,10,hard,pruned,blocking,10,100,0,0,0,0,1,0,0,wrong,0
17e120dd,6_hard_full,6,hard,full,interaction,10,100,0,0,0,1,0,0,0,solvedCorrect,0
18a695e2,10_hard_pruned,10,hard,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
18c75602,10_medium_full,10,medium,full,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
18dac9ef,6_hard_full,6,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
19a105e3,6_easy_pruned,6,easy,pruned,non-linear,10,100,0,0,1,0,0,0,0,validatedCorrect,1
19b680e2,10_medium_pruned,10,medium,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
1bd72c42,10_hard_pruned,10,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,solvedCorrect,0
1cdbeb89,10_hard_full,10,hard,full,interaction,10,100,0,0,0,1,0,0,0,wrong,0
1dac01e7,6_hard_pruned,6,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
1de715c7,6_easy_pruned,6,easy,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
1de74153,10_easy_full,10,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
1debf4d1,10_medium_full,10,medium,full,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
1df6940e,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
1eebf908,10_easy_full,10,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
1fdbc072,6_easy_pruned,6,easy,pruned,density,10,100,1,0,0,0,0,0,0,solvedCorrect,0
1feffe13,10_medium_pruned,10,medium,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
1ff4f828,10_hard_full,10,hard,full,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
20a4fec4,10_easy_full,10,easy,full,blocking,10,100,0,0,0,0,1,0,0,solvedCorrect,0
20bfd7bd,6_hard_full,6,hard,full,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
21abc061,10_hard_full,10,hard,full,blocking,10,100,0,0,0,0,1,0,0,wrong,0
22dac859,6_hard_full,6,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
23b6924e,10_easy_full,10,easy,full,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
23dbc11c,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
25cfdeaf,6_hard_pruned,6,hard,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
25dfef96,6_easy_full,6,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
26dbf473,10_hard_full,10,hard,full,interaction,10,100,0,0,0,1,0,0,0,wrong,0
26dbf6e9,6_hard_full,6,hard,full,blocking,10,100,0,0,0,0,1,0,0,validatedCorrect,1
26e680e4,10_easy_full,10,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
28d4fefb,10_hard_pruned,10,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
28e67c08,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
29bff31a,10_easy_pruned,10,easy,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
29e72a67,10_medium_pruned,10,medium,pruned,blocking,10,100,0,0,0,0,1,0,0,wrong,0
2aabe76a,6_easy_full,6,easy,full,non-linear,10,100,0,0,1,0,0,0,0,solvedCorrect,0
2afbbf79,6_hard_pruned,6,hard,pruned,blocking,10,100,0,0,0,0,1,0,0,wrong,0
2bcfe659,6_easy_full,6,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
2bd72f3e,10_medium_pruned,10,medium,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
2dca846d,6_easy_pruned,6,easy,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
2dfbc35a,6_easy_pruned,6,easy,pruned,interaction,10,100,0,0,0,1,0,0,0,solvedCorrect,0
2fb4f99a,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
2fd101b0,10_easy_pruned,10,easy,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
2fe692a5,10_easy_full,10,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
2ff50f64,6_hard_pruned,6,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
30e4feac,6_hard_pruned,6,hard,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
31b4fc9e,10_easy_full,10,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
31cfd831,10_medium_pruned,10,medium,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,wrong,0
31f6a576,10_hard_pruned,10,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,solvedCorrect,0
32b10037,6_easy_full,6,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
32ebf2e8,6_hard_full,6,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
32fad07f,10_hard_pruned,10,hard,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
33a74451,10_medium_pruned,10,medium,pruned,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
33b693e2,6_easy_pruned,6,easy,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
33bbca9a,10_medium_full,10,medium,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
33ebe68d,6_easy_pruned,6,easy,pruned,interaction,10,100,0,0,0,1,0,0,0,validatedCorrect,1
34b12db9,10_hard_full,10,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,solvedCorrect,0
34cffc40,6_easy_full,6,easy,full,interaction_blind,10,100,0,0,0,0,0,1,0,solvedCorrect,0
34d51755,10_medium_full,10,medium,full,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
36ebe4da,10_medium_full,10,medium,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
37bffc4e,10_easy_full,10,easy,full,blocking,10,100,0,0,0,0,1,0,0,validatedCorrect,1
38abe966,6_easy_full,6,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
38cbc1f6,10_medium_full,10,medium,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
38ebbf94,6_hard_full,6,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,wrong,0
39afd1eb,10_easy_pruned,10,easy,pruned,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
39b67ab6,10_medium_full,10,medium,full,density,10,100,1,0,0,0,0,0,0,wrong,0
3ab7160d,10_easy_pruned,10,easy,pruned,non-linear,10,100,0,0,1,0,0,0,0,validatedCorrect,1
3ac5170c,10_easy_full,10,easy,full,blocking_blind,10,100,0,0,0,0,0,0,1,validatedCorrect,1
3acff9fa,6_easy_full,6,easy,full,density,10,100,1,0,0,0,0,0,0,wrong,0
3bac0799,6_easy_full,6,easy,full,interaction_blind,10,100,0,0,0,0,0,1,0,validatedCorrect,1
3df11bae,6_hard_full,6,hard,full,blocking_blind,10,100,0,0,0,0,0,0,1,solvedCorrect,0
3dfad0f2,10_easy_full,10,easy,full,blocking,10,100,0,0,0,0,1,0,0,wrong,0
3ebbc051,10_easy_pruned,10,easy,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
3ed1161d,10_medium_pruned,10,medium,pruned,density,10,100,1,0,0,0,0,0,0,wrong,0
3fcbc0ab,6_easy_full,6,easy,full,interaction,10,100,0,0,0,1,0,0,0,validatedCorrect,1
