userid,key,value,time
12a39ada,new_user,"""12a39ada""",1.49636E+12
12a39ada,gender,"""male""",1.49636E+12
12a39ada,education,"""2""",1.49636E+12
12a39ada,age,"""19""",1.49636E+12
12a39ada,timeInstructions,60852,1.49636E+12
12a39ada,quiz5,"""b4""",1.49636E+12
12a39ada,quiz2,"""2""",1.49636E+12
12a39ada,quiz3,"""3""",1.49636E+12
12a39ada,timeQuiz,68407,1.49636E+12
12a39ada,quiz4,"""c1""",1.49636E+12
12a39ada,quiz1,"""2""",1.49636E+12
12a39ada,board,"""3""",1.49636E+12
12a39ada,start,"[[0,2,0,0,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,condition,"""solve""",1.49636E+12
12a39ada,passedQuiz,TRUE,1.49636E+12
12a39ada,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,clickPos,"""row:0_col:3_1""",1.49636E+12
12a39ada,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,clickPos,"""row:3_col:0_2""",1.49636E+12
12a39ada,undo,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,undoPos,"""row:3_col:0_1""",1.49636E+12
12a39ada,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,2,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,clickPos,"""row:2_col:3_2""",1.49636E+12
12a39ada,clickPos,"""row:2_col:0_1""",1.49636E+12
12a39ada,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[1,1,0,2,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,undo,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,2,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
12a39ada,undoPos,"""row:2_col:0_2""",1.49636E+12
12a39ada,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,2,0,0],[1,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",1.49636E+12
