userid,key,value,boardSize,condition,boardType,time,board_name
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484487731,10_easy_pruned
12d58bed,clickPos,3_1_1,10,pruned,easy,1554484487733,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484490499,10_easy_pruned
12d58bed,clickPos,4_2_2,10,pruned,easy,1554484490501,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484495934,10_easy_pruned
12d58bed,clickPos,4_4_1,10,pruned,easy,1554484495935,10_easy_pruned
12d58bed,clickPos,5_3_2,10,pruned,easy,1554484497596,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484497596,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,1,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484499580,10_easy_pruned
12d58bed,clickPos,5_4_1,10,pruned,easy,1554484499580,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,1,0,0,0,0,0],[1,1,0,0,2,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484504795,10_easy_pruned
12d58bed,clickPos,6_4_2,10,pruned,easy,1554484504797,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,1,1,0,0,0,0],[1,1,0,0,2,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484507609,10_easy_pruned
12d58bed,clickPos,5_5_1,10,pruned,easy,1554484507610,10_easy_pruned
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,1,1,2,0,0,0],[1,1,0,0,2,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484509215,10_easy_pruned
12d58bed,clickPos,5_6_2,10,pruned,easy,1554484509216,10_easy_pruned
