userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,path_after,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action,solution
11a14803,10_hard_pruned_07,10,hard,pruned,validatedCorrect,reset,1562069285353,118043,1,31.36111111111111,,,,,68.63888888888889,100,"[[2, 3, 1]]",0.23620295027284216,0.055791833717594747,1,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 0, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",,"[[2, 3, 1]]",50.479,50.479,click,,1,,1562069234874,d8
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336463573,66523,1,0.5833333333333333,6,22.083333333333336,21.72222222222222,19,0.5833333333333333,-0.0,[],0.006367651102072372,0.006367651102072372,1,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",2_5,"[[2, 5, 1]]",66.509,0,,1,1,True,1562336397064,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336469773,72723,2,0.0,13,100,100,18,-0.5833333333333333,34.39,"[[2, 5, 1]]",8.121692838820229e-08,5.171610635580692e-10,1,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",1_0,"[[2, 5, 1], [1, 0, 2]]",6.2,6.2,click,2,2,False,1562336463573,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336488403,91353,1,34.39,0,34.39,29.5,17,34.39,100,"[[2, 5, 1], [1, 0, 2]]",0.30904113162415464,1.5982404031393707e-10,1,"[[0, 1, 0, 2, 0, 0], [2, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",3_5,"[[2, 5, 1], [1, 0, 2], [3, 5, 1]]",18.63,18.63,click,3,3,False,1562336469773,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,undo,1562336495404,98354,1,34.39,,,,,34.39,100,"[[2, 5, 1], [1, 0, 2], [3, 5, 1]]",0.30904113162415464,1.5982404031393707e-10,1,"[[0, 1, 0, 2, 0, 0], [2, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",3_5,"[[2, 5, 1], [1, 0, 2], [3, 5, 1]]",7.001,7.001,click,,3,,1562336488403,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,undo,1562336496080,99030,2,,,,,,34.39,-0.0,"[[2, 5, 1], [1, 0, 2]]",0.30904113162415464,5.171610635580692e-10,1,"[[0, 1, 0, 2, 0, 0], [2, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",1_0,"[[2, 5, 1], [1, 0, 2]]",0.676,7.677,undo,,2,,1562336495404,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,undo,1562336496321,99271,1,,,,,,34.39,-0.0,"[[2, 5, 1]]",0.30904113162415464,1.673437645144993e-09,1,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",2_5,"[[2, 5, 1]]",0.241,7.918,undo,,1,,1562336496080,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336498204,101154,1,21.0,2,22.083333333333336,21.72222222222222,19,21.0,100,[],0.22922779875525728,1.2412536342161973e-09,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",1_4,"[[1, 4, 1]]",1.883,9.801,undo,4,1,True,1562336496321,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336499690,102640,2,-100,1,10,-100,18,79.0,100,"[[1, 4, 1]]",0.0001,1.2412536342161973e-13,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",4_4,"[[1, 4, 1], [4, 4, 2]]",1.486,1.486,click,5,2,False,1562336498204,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336500892,103842,1,1.2222222222222223,4,100,22.083333333333336,17,-98.77777777777777,-0.0,"[[1, 4, 1], [4, 4, 2]]",0.008000113105202837,9.93016946597365e-16,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 2, 0], [0, 0, 0, 0, 0, 0]]",4_5,"[[1, 4, 1], [4, 4, 2], [4, 5, 1]]",1.202,1.202,click,6,3,False,1562336499690,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336511099,114049,2,22.083333333333336,1,100,22.083333333333336,16,-23.305555555555557,100,"[[1, 4, 1], [4, 4, 2], [4, 5, 1]]",0.13061133593018331,1.2969926999639333e-16,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 2, 1], [0, 0, 0, 0, 0, 0]]",5_2,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2]]",10.207,10.207,click,7,4,False,1562336500892,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336513626,116576,1,1.6111111111111112,4,100,29.86111111111111,15,23.694444444444446,-0.0,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2]]",0.01005787315074208,1.3044988053675723e-18,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 2, 1], [0, 0, 2, 0, 0, 0]]",2_5,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1]]",2.527,2.527,click,8,5,False,1562336511099,e5
