"55b92100","10","full","easy","false","false","601631","188925","141","52","1557669615863"
"55b92100","10","full","medium","false","false","222662","255883","34","0","1557670099375"
"90e93c52","10","full","easy","false","false","407570","65284","21","6","1557676138274"
"90e93c52","10","full","medium","true","false","563361","85547","18","5","1557676802229"
"4eeb816e","10","full","medium","false","false","164326","23347","22","3","1557824224723"
"4eeb816e","10","full","easy","false","false","40068","10318","1","3","1557824313520"
"83cba0db","10","full","medium","false","false","434301","45972","31","3","1557833227655"
"4ebba17b","10","full","medium","false","true","431711","77654","45","8","1557833521333"
"4ebba17b","10","full","easy","false","true","218496","44594","15","6","1557833824533"
"83cba0db","10","full","easy","false","false","518995","9821","52","0","1557833845976"
"5ead214c","10","full","easy","false","false","260116","2782","44","0","1557930851545"
"5ead214c","10","full","medium","true","false","7784","3292","0","0","1557930884689"
"ceed4240","10","full","easy","true","false","156157","83546","34","23","1557939244578"
"ceed4240","10","full","medium","true","false","148710","27115","33","6","1557939449719"
"1ccd45c0","10","full","medium","true","false","127857","6794","28","3","1557939940005"
"1ccd45c0","10","full","easy","true","false","62748","33614","14","15","1557940095281"
"15b2249e","10","full","medium","false","false","94034","18913","8","0","1558193740554"
"1df22596","6","pruned","easy","true","true","89862","32067","7","3","1558193864077"
"9cf22841","6","pruned","easy","false","false","275932","99550","33","0","1558194851076"
"aca229a6","10","full","easy","false","false","571463","106651","115","0","1558195725234"
"d5b22aaa","10","full","easy","false","false","569102","66395","115","0","1558195752988"
"c5e22eb3","10","full","hard","true","true","60857","54013","15","7","1558196191579"
"ecb22d03","10","full","hard","true","true","288423","48530","56","5","1558196178521"
"8bc22e79","10","full","easy","true","true","370925","17325","70","4","1558196553334"
"2bd232b2","10","full","hard","false","false","57634","34415","11","0","1558197133175"
"9ad23291","6","full","easy","true","true","143775","52206","21","8","1558197463324"
"16a2336c","6","pruned","easy","true","false","63490","6192","9","0","1558197512710"
"fed230fb","10","pruned","easy","false","false","106694","49870","12","0","1558197417028"
"5ee23430","6","pruned","easy","true","true","341929","17409","80","3","1558197965133"
"59f235f8","10","pruned","easy","true","true","112155","28632","7","3","1558198072374"
"bbc23545","6","full","easy","false","false","355643","39594","43","0","1558198164174"
"69f239f6","6","pruned","easy","false","false","207579","187940","28","0","1558199524869"
"39a23ae7","10","full","easy","true","false","603083","172845","67","10","1558200103683"
"f7b241ec","10","pruned","easy","true","true","83469","44699","6","3","1558201203225"
"f7e242af","10","pruned","easy","false","false","45691","20240","35","0","1558201562598"
"7af24207","6","full","easy","true","false","558838","97870","116","16","1558201730227"
"4bb243a6","10","full","hard","true","false","277207","57969","41","6","1558201835798"
"caa248ea","6","full","easy","false","false","27200","13552","4","0","1558202820459"
"fbc2482b","6","full","easy","true","true","140772","49941","13","4","1558202927180"
"dec24cb0","10","full","easy","false","false","573446","71582","69","0","1558204692328"
"bdf2527a","10","full","medium","true","false","214456","44923","23","4","1558205530383"
"b6b25181","10","full","easy","false","false","603183","36702","35","0","1558205627036"
"bac25238","10","full","hard","true","true","316126","102414","35","10","1558205706713"
"12e436f0","10","full","easy","false","false","44840","13825","6","0","1559312338738"
"b1b436f6","6","pruned","easy","false","false","165726","13299","38","0","1559312519071"
"11f436f2","10","pruned","easy","true","true","78745","40874","6","3","1559312606776"
"3ea43816","10","pruned","hard","true","true","71088","20882","10","4","1559312705113"
"51b4380a","10","pruned","hard","true","false","38207","76315","9","8","1559312722828"
"15d436ec","6","pruned","easy","true","false","321201","57877","9","3","1559312753944"
"10d437bd","10","full","hard","false","false","261158","50332","12","0","1559312787087"
"61d43874","10","full","medium","false","false","54530","42312","8","0","1559312893850"
"bddeba5e","6","full","hard","false","false","7057","2327","7","0","1561967220667"
"51aebd91","6","full","easy","true","true","11536","5856","8","4","1561968103723"
"57aedfe7","10","full","hard","false","false","129266","32962","8","0","1561977148607"
"c5bee0d6","10","full","medium","false","false","86672","13094","15","0","1561977199783"
"6fcee175","10","pruned","easy","true","true","36311","22272","6","3","1561977313350"
"44eedf0e","6","full","easy","false","false","514471","20830","50","0","1561977339641"
"2abedf01","10","full","hard","true","false","498628","39433","46","4","1561977448851"
"b6bee067","6","full","easy","false","false","66809","33571","6","0","1561977530886"
"2ecee330","6","full","easy","true","true","219005","40992","24","9","1561978105001"
"43fee258","10","pruned","easy","false","false","557664","14732","1","0","1561978333347"
"66eee342","10","pruned","easy","true","true","544724","30051","134","3","1561978472361"
"64bee4d9","10","full","easy","false","false","219585","87689","4","0","1561978698621"
"abeedf8b","10","pruned","hard","true","true","99743","44500","2","5","1561978894004"
"66aee800","10","full","easy","false","false","95092","32037","22","0","1561979318458"
"efcee9b9","10","full","easy","true","false","119148","78327","17","34","1561979909441"
"71beed42","6","pruned","easy","true","true","195768","12725","17","3","1561980581817"
"aabeec31","10","full","hard","true","false","109722","180284","4","0","1561980682619"
"39eeed89","10","pruned","easy","false","false","247459","62241","36","0","1561981071664"
"f4beefc5","6","full","easy","true","false","161767","79302","12","4","1561981343778"
"83aeef63","10","pruned","easy","true","true","387734","30178","33","3","1561981360181"
"1feef0c1","10","pruned","easy","true","true","134778","27768","21","3","1561981805586"
"f5def218","6","full","easy","true","true","364700","74601","33","8","1561982240767"
"c7eefab1","10","full","easy","false","false","131538","37954","16","0","1561984108769"
"b5eefb3b","10","full","easy","false","false","75050","33107","10","0","1561984160474"
