userid,key,value,boardSize,condition,boardType,time,board_name
1cf6dc15,experimentalCondition,10_pruned_medium,10,pruned,medium,1554570261640,10_medium_pruned
1cf6dc15,boardSize,10,10,pruned,medium,1554570261641,10_medium_pruned
1cf6dc15,difficulty,medium,10,pruned,medium,1554570261642,10_medium_pruned
1cf6dc15,condition,pruned,10,pruned,medium,1554570261643,10_medium_pruned
1cf6dc15,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,1,1,1,2,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[5,2],[4,2],[6,2]]],losePath:[[[4,1],[1,2]]],winMove:[c5,C5,5c,5C]}",10,pruned,medium,1554570261644,10_medium_pruned
1cf6dc15,gender,male,10,pruned,medium,1554570270257,10_medium_pruned
1cf6dc15,education,3,10,pruned,medium,1554570270258,10_medium_pruned
1cf6dc15,age,32,10,pruned,medium,1554570270259,10_medium_pruned
1cf6dc15,timeInstructions,27356,10,pruned,medium,1554570297615,10_medium_pruned
1cf6dc15,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570297656,10_medium_pruned
1cf6dc15,timeQuiz,124349,10,pruned,medium,1554570421965,10_medium_pruned
1cf6dc15,timeInstructions,127150,10,pruned,medium,1554570424766,10_medium_pruned
1cf6dc15,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570424787,10_medium_pruned
1cf6dc15,reset_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570439098,10_medium_pruned
1cf6dc15,reset_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570439111,10_medium_pruned
1cf6dc15,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570440019,10_medium_pruned
1cf6dc15,clickPos_practice,7_1_1,10,pruned,medium,1554570440020,10_medium_pruned
1cf6dc15,timeQuiz,19933,10,pruned,medium,1554570444700,10_medium_pruned
1cf6dc15,quiz1,2,10,pruned,medium,1554570444702,10_medium_pruned
1cf6dc15,quiz2,2,10,pruned,medium,1554570444702,10_medium_pruned
1cf6dc15,quiz3,3,10,pruned,medium,1554570444703,10_medium_pruned
1cf6dc15,quiz4,c1,10,pruned,medium,1554570444703,10_medium_pruned
1cf6dc15,quiz5,b4,10,pruned,medium,1554570444704,10_medium_pruned
1cf6dc15,quiz6,b3,10,pruned,medium,1554570444704,10_medium_pruned
1cf6dc15,quiz6v,0,10,pruned,medium,1554570444705,10_medium_pruned
1cf6dc15,passedQuiz,TRUE,10,pruned,medium,1554570444705,10_medium_pruned
1cf6dc15,board,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,2,0,0,0,0],[0,0,1,1,1,2,0,0,0,0],[0,0,0,0,2,2,2,1,2,0],[0,0,0,0,0,1,2,2,0,0],[0,0,0,1,0,2,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,2,0,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[5,2],[4,2],[6,2]]],losePath:[[[4,1],[1,2]]],winMove:[c5,C5,5c,5C]}",10,pruned,medium,1554570444706,10_medium_pruned
1cf6dc15,reset_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,medium,1554570444717,10_medium_pruned
