userid,key,value,boardSize,condition,boardType,time
f1fbe0de,numActionsValidate,0,10,full,easy,1.51E+12
f1fbe0de,numActionsSolve,28,10,full,easy,1.51E+12
f1fbe0de,solvedCorrect,FALSE,10,full,easy,1.51E+12
f1fbe0de,validatedCorrect,FALSE,10,full,easy,1.51E+12
f1fbe0de,validationTime,38619,10,full,easy,1.51E+12
f1fbe0de,strategy,I had to try many spaces and found out this was the answer,10,full,easy,1.51E+12
f1fbe0de,timeStrategy,31027,10,full,easy,1.51E+12
f1fbe0de,correct,FALSE,10,full,easy,1.51E+12
f1fbe0de,verification_answer,0,10,full,easy,1.51E+12
f1fbe0de,confidence,3,10,full,easy,1.51E+12
f1fbe0de,best_move,d5,10,full,easy,1.51E+12
f1fbe0de,timeSolution,259134,10,full,easy,1.51E+12
f1fbe0de,clickPos,6_5_1,10,full,easy,1.51E+12
f1fbe0de,click,"[[0,0,0,0,1,0,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,2,2,2,0,0,0],[1,0,2,1,1,0,0,0,0,0],[1,1,0,0,0,1,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,full,easy,1.51E+12
f1fbe0de,clickPos,5_2_2,10,full,easy,1.51E+12
f1fbe0de,click,"[[0,0,0,0,1,0,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,2,2,2,0,0,0],[1,0,2,1,1,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,full,easy,1.51E+12
f1fbe0de,clickPos,5_4_1,10,full,easy,1.51E+12
f1fbe0de,click,"[[0,0,0,0,1,0,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,2,2,2,0,0,0],[1,0,0,1,1,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,full,easy,1.51E+12
f1fbe0de,clickPos,4_4_2,10,full,easy,1.51E+12
f1fbe0de,click,"[[0,0,0,0,1,0,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,2,2,2,0,0,0],[1,0,0,1,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,full,easy,1.51E+12
f1fbe0de,clickPos,5_3_1,10,full,easy,1.51E+12
