userid,boardSize,condition,boardType,solvedCorrect,validateCorrect,solutionTime,validationTime,numActionsSolution,numActionsValidation,time,solvedAndValidated,solvedNumerical,validatedNumerical,timeThreshold
49d11228,10,verify,medium,FALSE,FALSE,256653,15110,20,0,1.51192E+12,0,0,0,1
f8f1048b,10,verify,hard,TRUE,TRUE,301331,35185,56,4,1.51192E+12,1,1,1,1
c9affe07,10,verify,medium,FALSE,FALSE,283657,29570,43,0,1.51192E+12,0,0,0,1
bae3a17a,6,verify,hard,FALSE,FALSE,220526,188723,3,0,1.51111E+12,0,0,0,0
34cffc40,6,full,easy,TRUE,FALSE,369827,39002,35,5,1.51192E+12,0,1,0,1
64e101fa,10,verify,easy,FALSE,FALSE,38816,80456,2,0,1.51192E+12,0,0,0,0
8ea50714,10,pruned,hard,FALSE,FALSE,577712,38744,56,0,1.5112E+12,0,0,0,1
b7a4fe27,6,full,hard,FALSE,FALSE,83817,95046,12,0,1.51119E+12,0,0,0,0
1feffe13,10,pruned,medium,TRUE,TRUE,57146,18057,6,3,1.51192E+12,1,1,1,0
9ea4fe94,10,full,medium,FALSE,FALSE,95412,48384,14,0,1.51119E+12,0,0,0,0
bca124ea,10,full,medium,TRUE,FALSE,131414,62203,13,3,1.51193E+12,0,1,0,0
c4d3a457,6,verify,hard,TRUE,TRUE,151997,34067,27,4,1.51111E+12,1,1,1,0
4de4f27d,10,full,medium,FALSE,FALSE,369961,92228,48,0,1.51119E+12,0,0,0,1
9dd11e8e,10,pruned,medium,FALSE,FALSE,608956,95526,50,0,1.51192E+12,0,0,0,1
faafd1c6,6,pruned,easy,TRUE,TRUE,113228,45384,2,3,1.5119E+12,1,1,1,0
fac10d6e,6,full,hard,FALSE,FALSE,285264,111324,29,0,1.51192E+12,0,0,0,1
46dffd07,6,verify,hard,TRUE,FALSE,81208,60875,9,3,1.51192E+12,0,1,0,0
f8e11654,10,full,medium,TRUE,TRUE,376826,61677,49,4,1.51192E+12,1,1,1,1
f9f50afe,10,verify,medium,FALSE,FALSE,165414,26936,13,0,1.5112E+12,0,0,0,0
44a4fa14,6,full,hard,FALSE,FALSE,110075,35654,25,0,1.51119E+12,0,0,0,0
3bb3a40c,6,verify,hard,FALSE,FALSE,48256,47764,6,0,1.51111E+12,0,0,0,0
46c1177c,10,verify,medium,TRUE,TRUE,189728,76934,13,3,1.51192E+12,1,1,1,0
f9c123d7,6,full,easy,TRUE,TRUE,142270,29325,32,4,1.51193E+12,1,1,1,0
e6c120ae,10,verify,hard,FALSE,FALSE,251824,49652,29,0,1.51192E+12,0,0,0,1
c5efd1f3,10,verify,medium,FALSE,FALSE,576960,17806,76,0,1.5119E+12,0,0,0,1
3ef10f17,6,verify,easy,FALSE,FALSE,141949,32659,11,0,1.51192E+12,0,0,0,0
e1bfe620,6,verify,hard,FALSE,FALSE,148098,27022,26,0,1.51191E+12,0,0,0,0
6cd50fc7,10,full,easy,TRUE,TRUE,306013,27955,44,4,1.5112E+12,1,1,1,1
e0a50f9e,10,verify,hard,TRUE,TRUE,154776,41256,25,4,1.5112E+12,1,1,1,0
6dd103e2,6,pruned,hard,FALSE,FALSE,208549,63736,34,0,1.51192E+12,0,0,0,0
4cffe209,10,full,medium,FALSE,FALSE,157860,73276,49,0,1.51191E+12,0,0,0,0
d5ffd22c,10,verify,medium,FALSE,FALSE,113707,36507,15,0,1.5119E+12,0,0,0,0
c9c3a3a9,6,verify,hard,FALSE,FALSE,89276,134835,6,0,1.51111E+12,0,0,0,0
b9e10f8b,10,pruned,easy,TRUE,TRUE,235980,32215,23,3,1.51192E+12,1,1,1,0
b6c3a446,6,verify,easy,TRUE,TRUE,367303,38187,30,4,1.51111E+12,1,1,1,1
b0d5043d,10,full,medium,FALSE,FALSE,202920,79405,35,0,1.5112E+12,0,0,0,0
3acff9fa,6,full,easy,FALSE,FALSE,152156,15902,7,0,1.51191E+12,0,0,0,0
3df11bae,6,full,hard,TRUE,FALSE,414337,58520,27,5,1.51192E+12,0,1,0,1
f9eff337,10,verify,medium,FALSE,FALSE,51095,117359,6,0,1.51191E+12,0,0,0,0
6bb10472,6,pruned,hard,TRUE,TRUE,80794,19271,11,4,1.51192E+12,1,1,1,0
c8c4f85a,10,full,easy,TRUE,TRUE,183210,55877,24,4,1.51119E+12,1,1,1,0
55a104ab,6,verify,easy,TRUE,TRUE,149785,33328,21,3,1.51192E+12,1,1,1,0
bae515f2,6,full,hard,FALSE,FALSE,202651,43331,16,0,1.5112E+12,0,0,0,0
84f3a295,10,verify,hard,FALSE,FALSE,51398,96267,0,0,1.51111E+12,0,0,0,0
25dfef96,6,full,easy,TRUE,TRUE,387312,28928,22,4,1.51191E+12,1,1,1,1
26dfddb3,10,verify,hard,FALSE,FALSE,215079,91573,13,0,1.51191E+12,0,0,0,0
1effd24d,10,verify,hard,TRUE,TRUE,81293,53719,11,4,1.5119E+12,1,1,1,0
bfb4f8b6,10,verify,easy,FALSE,FALSE,213160,20879,0,0,1.51119E+12,0,0,0,0
fda4f169,6,full,easy,TRUE,TRUE,244768,45675,18,4,1.51119E+12,1,1,1,0
82d50e5b,6,pruned,easy,TRUE,FALSE,18349,4602,0,0,1.5112E+12,0,1,0,0
31b4fc9e,10,full,easy,TRUE,TRUE,418323,69452,30,4,1.51119E+12,1,1,1,1
4ecfea32,10,pruned,easy,FALSE,FALSE,571635,33409,67,0,1.51191E+12,0,0,0,1
abc5100b,10,verify,easy,TRUE,TRUE,339633,42669,27,3,1.5112E+12,1,1,1,1
2bcfe659,6,full,easy,FALSE,FALSE,573573,62591,66,0,1.51191E+12,0,0,0,1
34e50208,10,verify,medium,FALSE,FALSE,334702,54871,14,0,1.5112E+12,0,0,0,1
9ba1165f,10,pruned,medium,TRUE,FALSE,182018,114610,13,7,1.51192E+12,0,1,0,0
9defd82d,6,full,easy,FALSE,FALSE,583676,21099,58,0,1.51191E+12,0,0,0,1
f8efd664,10,pruned,easy,TRUE,TRUE,122392,37411,31,3,1.51191E+12,1,1,1,0
daa11f50,10,pruned,medium,FALSE,FALSE,299246,98174,19,0,1.51192E+12,0,0,0,1
e6ffd3bf,6,verify,hard,TRUE,TRUE,245609,47041,23,4,1.5119E+12,1,1,1,0
dacfd3d4,10,full,easy,FALSE,FALSE,404456,10510,77,0,1.51191E+12,0,0,0,1
1ff4f828,10,full,hard,FALSE,FALSE,385327,26884,26,0,1.51119E+12,0,0,0,1
13e4f569,6,pruned,hard,FALSE,FALSE,28344,21084,0,0,1.51119E+12,0,0,0,0
65afea1f,6,pruned,hard,FALSE,FALSE,97134,82155,8,0,1.51191E+12,0,0,0,0
1abff95f,10,verify,easy,FALSE,FALSE,316737,40842,32,0,1.51192E+12,0,0,0,1
3ed1161d,10,pruned,medium,FALSE,FALSE,60144,31254,23,0,1.51192E+12,0,0,0,0
3de115e3,6,verify,easy,FALSE,FALSE,97977,48774,6,0,1.51192E+12,0,0,0,0
81b12208,6,verify,hard,TRUE,FALSE,175176,81326,18,3,1.51192E+12,0,1,0,0
29efded7,6,verify,hard,FALSE,FALSE,152902,49145,20,0,1.51191E+12,0,0,0,0
75e508ab,10,verify,easy,FALSE,FALSE,117923,103655,16,0,1.5112E+12,0,0,0,0
94a4f5d4,10,pruned,medium,TRUE,TRUE,77794,31385,11,3,1.51119E+12,1,1,1,0
4bc4f1cf,10,verify,hard,TRUE,TRUE,114952,37861,12,4,1.51119E+12,1,1,1,0
a3e50415,6,verify,easy,FALSE,FALSE,56977,41589,6,0,1.5112E+12,0,0,0,0
f2cfd69e,6,verify,easy,FALSE,FALSE,267560,9004,39,0,1.51191E+12,0,0,0,1
4bc513ef,10,verify,hard,TRUE,FALSE,558510,53480,37,3,1.5112E+12,0,1,0,1
66dff6c9,10,verify,hard,TRUE,FALSE,228269,113943,22,10,1.51191E+12,0,1,0,0
f5f4f7a6,6,verify,hard,FALSE,FALSE,37788,18992,2,0,1.51119E+12,0,0,0,0
3ed10123,10,verify,medium,TRUE,FALSE,146614,126263,6,14,1.51192E+12,0,1,0,0
4bfffc8c,10,pruned,hard,FALSE,FALSE,106395,27640,11,0,1.51191E+12,0,0,0,0
31cfd831,10,pruned,medium,FALSE,FALSE,79745,43368,4,0,1.51191E+12,0,0,0,0
50b1070f,10,verify,easy,FALSE,FALSE,131429,30156,10,0,1.51192E+12,0,0,0,0
51b517a2,10,verify,medium,TRUE,FALSE,172588,89145,18,6,1.5112E+12,0,1,0,0
91f11aa0,10,verify,hard,TRUE,FALSE,30391,141838,5,8,1.51192E+12,0,1,0,0
5ca3a258,10,verify,easy,FALSE,FALSE,109136,40424,20,0,1.51111E+12,0,0,0,0
b0e1157c,6,pruned,hard,FALSE,FALSE,428970,99638,31,0,1.51192E+12,0,0,0,1
5eefe7f6,10,verify,medium,TRUE,FALSE,177614,65192,13,3,1.51191E+12,0,1,0,0
bbf50b30,10,verify,medium,TRUE,FALSE,547135,52009,33,2,1.5112E+12,0,1,0,1
34b12db9,10,full,hard,TRUE,FALSE,157994,92100,18,6,1.51193E+12,0,1,0,0
e3a4effd,10,full,medium,FALSE,FALSE,275966,26888,46,0,1.51119E+12,0,0,0,1
d4dfef7d,6,verify,hard,FALSE,FALSE,111366,13541,20,0,1.51191E+12,0,0,0,0
30e4feac,6,pruned,hard,FALSE,FALSE,288720,47121,18,0,1.51119E+12,0,0,0,1
98c10b8a,10,pruned,hard,FALSE,FALSE,144900,28243,18,0,1.51192E+12,0,0,0,0
46c12352,10,pruned,easy,TRUE,TRUE,302017,78927,20,3,1.51193E+12,1,1,1,1
81c11c9f,6,pruned,hard,TRUE,TRUE,187597,45160,18,4,1.51192E+12,1,1,1,0
48f11e67,10,verify,medium,FALSE,FALSE,585762,63939,61,0,1.51192E+12,0,0,0,1
2fb4f99a,10,full,hard,TRUE,TRUE,91311,46773,14,5,1.51119E+12,1,1,1,0
7ccfe470,10,verify,hard,FALSE,FALSE,49614,52210,8,0,1.51191E+12,0,0,0,0
ceafe698,10,pruned,easy,TRUE,TRUE,193157,29646,17,3,1.51191E+12,1,1,1,0
edfff93e,10,pruned,hard,FALSE,FALSE,293346,52939,16,0,1.51191E+12,0,0,0,1
e2b10de5,10,pruned,hard,TRUE,TRUE,289031,33292,37,4,1.51192E+12,1,1,1,1
ebafeec1,6,verify,easy,FALSE,FALSE,67748,45866,14,0,1.51191E+12,0,0,0,0
1da121b1,10,verify,medium,FALSE,FALSE,170151,65778,49,0,1.51192E+12,0,0,0,0
b9e512db,6,pruned,hard,FALSE,FALSE,154192,119536,26,0,1.5112E+12,0,0,0,0
fdc3a657,10,verify,hard,TRUE,TRUE,102232,78112,11,4,1.51111E+12,1,1,1,0
f3f4f4ae,10,pruned,hard,FALSE,FALSE,147702,43382,10,0,1.51119E+12,0,0,0,0
4cb124e9,10,verify,easy,FALSE,FALSE,104823,106257,70,0,1.51193E+12,0,0,0,0
44d3a1fb,10,verify,medium,FALSE,FALSE,404705,89754,28,0,1.51111E+12,0,0,0,1
6eafd47a,10,verify,medium,TRUE,TRUE,194066,54813,24,3,1.51191E+12,1,1,1,0
bcf51783,10,pruned,hard,FALSE,FALSE,98160,17580,10,0,1.5112E+12,0,0,0,0
a2c12212,10,pruned,easy,FALSE,FALSE,89169,35482,5,0,1.51192E+12,0,0,0,0
8dc12353,6,verify,easy,FALSE,FALSE,139084,29128,10,0,1.51192E+12,0,0,0,0
c6c100be,10,full,medium,TRUE,TRUE,428911,106593,77,10,1.51192E+12,1,1,1,1
c7dffe06,10,verify,medium,FALSE,FALSE,295875,7493,32,0,1.51192E+12,0,0,0,1
98d105c1,10,full,hard,TRUE,TRUE,198324,48027,16,5,1.51192E+12,1,1,1,0
7ae11252,6,verify,hard,FALSE,FALSE,88796,92869,4,0,1.51192E+12,0,0,0,0
27afe7e1,10,verify,medium,FALSE,FALSE,187378,44977,19,0,1.51191E+12,0,0,0,0
39afd1eb,10,pruned,easy,TRUE,TRUE,104220,22944,11,3,1.5119E+12,1,1,1,0
c8a4fa50,6,full,hard,FALSE,FALSE,574899,33278,54,0,1.51119E+12,0,0,0,1
6aa4f436,6,pruned,easy,TRUE,FALSE,98434,45454,3,3,1.51119E+12,0,1,0,0
b7e510d3,6,pruned,easy,TRUE,TRUE,74618,37218,15,3,1.5112E+12,1,1,1,0
c9c1128b,6,verify,hard,TRUE,TRUE,147380,21927,17,4,1.51192E+12,1,1,1,0
28d4fefb,10,pruned,hard,TRUE,TRUE,176238,45882,51,4,1.51119E+12,1,1,1,0
b8a4fbaa,10,full,easy,FALSE,FALSE,306194,39999,35,0,1.51119E+12,0,0,0,1
2cfff069,10,verify,easy,TRUE,TRUE,485047,77975,55,3,1.51191E+12,1,1,1,1
a7b511d6,10,full,medium,FALSE,FALSE,590149,20471,101,0,1.5112E+12,0,0,0,1
b3e4f78d,6,full,easy,FALSE,FALSE,134635,87518,24,0,1.51119E+12,0,0,0,0
62b5140d,6,pruned,easy,FALSE,FALSE,80789,63159,2,0,1.5112E+12,0,0,0,0
d3b525de,6,full,easy,FALSE,FALSE,514198,60247,61,0,1.51121E+12,0,0,0,1
5acfeabc,6,full,easy,TRUE,TRUE,65006,27110,13,4,1.51191E+12,1,1,1,0
2ff50f64,6,pruned,hard,FALSE,FALSE,72778,31346,19,0,1.5112E+12,0,0,0,0
95efe40b,10,verify,hard,FALSE,FALSE,50869,59780,5,0,1.51191E+12,0,0,0,0
d8f4f271,10,verify,hard,TRUE,FALSE,60446,103279,23,11,1.51119E+12,0,1,0,0
fcaffad4,6,pruned,hard,FALSE,FALSE,370941,24473,71,0,1.51191E+12,0,0,0,1
2fd101b0,10,pruned,easy,FALSE,FALSE,229629,125053,64,0,1.51192E+12,0,0,0,0
f1a3a21d,6,verify,hard,FALSE,FALSE,66658,93023,3,0,1.51111E+12,0,0,0,0
34d51755,10,full,medium,FALSE,FALSE,209491,98929,10,0,1.5112E+12,0,0,0,0
5bc4f225,10,pruned,hard,TRUE,TRUE,109507,35368,20,4,1.51119E+12,1,1,1,0
cdc50047,10,pruned,easy,TRUE,TRUE,302746,38326,47,6,1.5112E+12,1,1,1,1
88e518be,6,verify,hard,FALSE,FALSE,96771,33832,1,0,1.5112E+12,0,0,0,0
fad517c1,10,pruned,hard,FALSE,FALSE,73999,25466,0,0,1.5112E+12,0,0,0,0
eab4f759,6,verify,easy,TRUE,FALSE,362677,155459,24,10,1.51119E+12,0,1,0,1
8ce3a1de,6,verify,easy,TRUE,TRUE,112711,87341,7,5,1.51111E+12,1,1,1,0
54d4fd9d,10,full,medium,TRUE,FALSE,596860,74866,97,4,1.51119E+12,0,1,0,1
11dfe866,6,pruned,easy,TRUE,TRUE,213868,46377,19,3,1.51191E+12,1,1,1,0
37bffc4e,10,full,easy,TRUE,TRUE,538974,103072,32,8,1.51192E+12,1,1,1,1
dcc4f10e,6,full,hard,FALSE,FALSE,115551,50653,22,0,1.51119E+12,0,0,0,0
efd4fa4a,10,pruned,hard,FALSE,FALSE,313523,25138,36,0,1.51119E+12,0,0,0,1
b6a1020a,6,verify,hard,FALSE,FALSE,562778,34382,42,0,1.51192E+12,0,0,0,1
5dbfe29c,6,pruned,hard,FALSE,FALSE,226369,59550,43,0,1.51191E+12,0,0,0,0
3cb51601,10,verify,easy,FALSE,FALSE,136904,49784,11,0,1.5112E+12,0,0,0,0
bcdfd2df,6,full,hard,FALSE,FALSE,527864,48492,61,0,1.5119E+12,0,0,0,1
13f4ff5a,10,full,hard,FALSE,FALSE,311356,43447,28,0,1.5112E+12,0,0,0,1
92d1148b,6,verify,hard,TRUE,FALSE,53742,99712,14,6,1.51192E+12,0,1,0,0
59d51c4c,6,full,easy,FALSE,FALSE,185365,11317,35,0,1.5112E+12,0,0,0,0
75ffd9e8,10,full,hard,FALSE,FALSE,346631,22973,31,0,1.51191E+12,0,0,0,1
76bfdf0b,10,pruned,easy,FALSE,FALSE,607700,83240,43,0,1.51191E+12,0,0,0,1
32b10037,6,full,easy,FALSE,FALSE,587130,38151,80,0,1.51192E+12,0,0,0,1
6bf51f66,6,full,hard,FALSE,FALSE,90770,65327,14,0,1.5112E+12,0,0,0,0
edc12671,10,verify,hard,TRUE,FALSE,306854,81810,20,5,1.51193E+12,0,1,0,1
cdc514e1,10,pruned,hard,FALSE,FALSE,594371,9898,71,0,1.5112E+12,0,0,0,1
d1f5198a,10,pruned,hard,FALSE,FALSE,76640,68471,0,0,1.5112E+12,0,0,0,0
fcf4f6d3,10,full,easy,FALSE,FALSE,389048,40868,29,0,1.51119E+12,0,0,0,1
28a1081a,10,verify,medium,TRUE,TRUE,137691,70661,44,6,1.51192E+12,1,1,1,0
41f104b8,10,verify,hard,FALSE,FALSE,143169,35289,7,0,1.51192E+12,0,0,0,0
add50f98,10,full,hard,FALSE,FALSE,383130,64810,22,0,1.5112E+12,0,0,0,1
7ef11f8d,10,pruned,hard,FALSE,FALSE,349329,60605,35,0,1.51192E+12,0,0,0,1
81a10227,10,full,medium,TRUE,FALSE,206954,128295,30,22,1.51192E+12,0,1,0,0
17e120dd,6,full,hard,TRUE,FALSE,418239,98258,43,5,1.51192E+12,0,1,0,1
9effe013,10,verify,hard,TRUE,TRUE,233229,37479,21,4,1.51191E+12,1,1,1,0
d0a1059e,10,verify,medium,TRUE,FALSE,134750,53814,17,2,1.51192E+12,0,1,0,0
e6efec72,10,pruned,hard,TRUE,FALSE,584816,57640,53,4,1.51191E+12,0,1,0,1
d6c10e9a,10,full,easy,FALSE,FALSE,606531,47392,51,0,1.51192E+12,0,0,0,1
e0a10efa,10,full,medium,TRUE,FALSE,131089,49031,11,4,1.51192E+12,0,1,0,0
e9b10766,10,pruned,medium,TRUE,TRUE,178163,19864,18,3,1.51192E+12,1,1,1,0
19e11a15,6,verify,hard,FALSE,FALSE,240467,26256,41,0,1.51192E+12,0,0,0,0
3ca4fb54,10,verify,hard,FALSE,FALSE,95670,42666,0,0,1.51119E+12,0,0,0,0
c8afed22,6,pruned,easy,TRUE,FALSE,457405,51816,44,5,1.51191E+12,0,1,0,1
16e512d0,6,pruned,easy,TRUE,TRUE,200549,27000,30,3,1.5112E+12,1,1,1,0
eaaff660,10,full,medium,FALSE,FALSE,153334,66064,18,0,1.51191E+12,0,0,0,0
96afd320,6,pruned,easy,TRUE,TRUE,221900,54543,21,3,1.5119E+12,1,1,1,0
12f3a1f3,10,verify,medium,FALSE,FALSE,130563,108715,1,0,1.51111E+12,0,0,0,0
2defedbb,10,verify,hard,TRUE,TRUE,404671,45631,68,9,1.51191E+12,1,1,1,1
e1efebd5,10,verify,medium,TRUE,FALSE,297757,46292,44,3,1.51191E+12,0,1,0,1
5de11557,6,full,easy,TRUE,TRUE,424004,24896,50,4,1.51192E+12,1,1,1,1
9da51cdd,10,pruned,medium,TRUE,TRUE,274582,67879,53,6,1.5112E+12,1,1,1,1
5adff9a5,6,pruned,hard,FALSE,FALSE,257748,32249,25,0,1.51191E+12,0,0,0,1
3ff4fc88,6,verify,easy,FALSE,FALSE,44182,43317,16,0,1.51119E+12,0,0,0,0
b4a4f22a,10,full,easy,FALSE,FALSE,604723,64718,70,0,1.51119E+12,0,0,0,1
73cfde1f,10,verify,easy,FALSE,FALSE,18994,14988,13,0,1.51191E+12,0,0,0,0
acb11b17,10,pruned,easy,TRUE,TRUE,123160,71260,8,3,1.51192E+12,1,1,1,0
a0a4f682,10,verify,easy,FALSE,FALSE,54167,56160,3,0,1.51119E+12,0,0,0,0
a7bfd4fc,10,pruned,easy,FALSE,FALSE,176303,13287,18,0,1.5119E+12,0,0,0,0
fdc4f07b,10,pruned,easy,TRUE,TRUE,261677,32239,31,3,1.51119E+12,1,1,1,1
cff10c9a,10,full,easy,TRUE,TRUE,403856,39285,39,4,1.51192E+12,1,1,1,1
cccfd3ac,10,full,easy,FALSE,FALSE,375458,28715,85,0,1.5119E+12,0,0,0,1
89bfff56,10,verify,hard,FALSE,FALSE,64751,114250,2,0,1.51192E+12,0,0,0,0
29bff31a,10,pruned,easy,TRUE,TRUE,81028,31478,4,3,1.51191E+12,1,1,1,0
e1e500d7,6,pruned,hard,TRUE,TRUE,46754,46269,16,12,1.5112E+12,1,1,1,0
a5e116c5,10,full,medium,FALSE,FALSE,100614,36400,13,0,1.51192E+12,0,0,0,0
91cfd7fb,6,full,hard,TRUE,TRUE,369127,48194,48,5,1.51191E+12,1,1,1,1
b8a11f60,6,full,easy,FALSE,FALSE,89413,118075,4,0,1.51192E+12,0,0,0,0
edf12206,10,full,hard,FALSE,FALSE,180198,35044,33,0,1.51192E+12,0,0,0,0
9ee4fc82,10,verify,hard,TRUE,FALSE,119635,76495,11,4,1.51119E+12,0,1,0,0
88c3a456,10,verify,easy,TRUE,FALSE,136095,39249,16,2,1.51111E+12,0,1,0,0
81bfd23a,6,verify,hard,FALSE,FALSE,37585,43599,12,0,1.5119E+12,0,0,0,0
b0d518a1,6,full,hard,FALSE,FALSE,555476,50949,68,0,1.5112E+12,0,0,0,1
20bfd7bd,6,full,hard,FALSE,FALSE,62567,49541,14,0,1.51191E+12,0,0,0,0
c3dfd812,10,pruned,easy,TRUE,TRUE,544670,33664,83,3,1.51191E+12,1,1,1,1
70bffd4d,10,full,easy,FALSE,FALSE,603564,122648,74,0,1.51192E+12,0,0,0,1
f1e4f80f,10,verify,hard,FALSE,FALSE,106693,176209,13,0,1.51119E+12,0,0,0,0
f4c4f33c,10,pruned,hard,FALSE,FALSE,334442,117274,26,0,1.51119E+12,0,0,0,1
43c516b5,10,pruned,medium,TRUE,TRUE,92325,15054,16,3,1.5112E+12,1,1,1,0
bed50a1d,6,full,hard,TRUE,TRUE,189777,36932,28,5,1.5112E+12,1,1,1,0
d9e4f7e5,10,pruned,hard,FALSE,FALSE,108645,36806,7,0,1.51119E+12,0,0,0,0
daefd33a,6,pruned,hard,FALSE,FALSE,72349,25351,6,0,1.5119E+12,0,0,0,0
8df4f6e8,6,full,easy,TRUE,TRUE,275397,27064,39,5,1.51119E+12,1,1,1,1
7cc119e0,6,pruned,easy,TRUE,TRUE,104970,26381,32,3,1.51192E+12,1,1,1,0
92e10bf2,6,verify,hard,TRUE,TRUE,163524,37529,10,4,1.51192E+12,1,1,1,0
74e11ee8,6,pruned,hard,TRUE,TRUE,99524,68562,2,4,1.51193E+12,1,1,1,0
9eefde0e,10,verify,medium,TRUE,TRUE,101274,49986,8,4,1.51191E+12,1,1,1,0
16d516ad,6,pruned,hard,FALSE,FALSE,111798,27086,10,0,1.5112E+12,0,0,0,0
9db10b00,6,pruned,easy,TRUE,TRUE,238700,61535,9,3,1.51192E+12,1,1,1,0
30b3a30f,10,verify,easy,TRUE,TRUE,184795,84059,12,3,1.51111E+12,1,1,1,0
8cb11747,10,verify,easy,FALSE,FALSE,155485,264849,41,0,1.51192E+12,0,0,0,0
25cfdeaf,6,pruned,hard,FALSE,FALSE,146641,28868,16,0,1.51191E+12,0,0,0,0
87b50908,6,full,hard,TRUE,FALSE,150994,126183,35,11,1.5112E+12,0,1,0,0
dcb510f3,10,verify,medium,TRUE,TRUE,68431,39120,20,7,1.5112E+12,1,1,1,0
9befd8ad,10,full,hard,FALSE,FALSE,229620,54926,18,0,1.51191E+12,0,0,0,0
1ccfff1c,6,verify,hard,FALSE,FALSE,161080,37785,8,0,1.51192E+12,0,0,0,0
c7fffe38,6,pruned,hard,FALSE,FALSE,290809,79185,30,0,1.51192E+12,0,0,0,1
87cfed83,10,full,hard,TRUE,FALSE,146140,48510,4,5,1.51191E+12,0,1,0,0
d5aff345,10,pruned,easy,FALSE,FALSE,587698,97641,93,0,1.51191E+12,0,0,0,1
19a105e3,6,pruned,easy,TRUE,TRUE,495231,44593,59,3,1.51192E+12,1,1,1,1
a0f4f1bf,6,pruned,hard,TRUE,FALSE,391864,75650,47,5,1.51119E+12,0,1,0,1
9bf4f2c6,6,full,easy,FALSE,FALSE,131965,37215,5,0,1.51119E+12,0,0,0,0
e1b100ae,6,pruned,easy,TRUE,TRUE,301615,57858,47,3,1.51192E+12,1,1,1,1
8defd34b,10,pruned,easy,FALSE,FALSE,609880,72854,47,0,1.51191E+12,0,0,0,1
d6d500ab,6,full,easy,FALSE,FALSE,426683,59973,22,0,1.5112E+12,0,0,0,1
a6bff327,6,full,easy,FALSE,FALSE,608019,50202,31,0,1.51191E+12,0,0,0,1
cec10cc8,10,pruned,easy,TRUE,TRUE,139476,44376,8,3,1.51192E+12,1,1,1,0
4dc50d03,6,pruned,easy,FALSE,FALSE,583218,28100,52,0,1.5112E+12,0,0,0,1
