userid,boardSize,condition,boardType,solvedCorrect,validateCorrect,solutionTime,validationTime,numActionsSolution,numActionsValidation,time,solvedAndValidated,solvedNumerical,validatedNumerical,timeThreshold
3ac5170c,10,full,easy,TRUE,TRUE,204207,48035,25,4,1.5112E+12,1,1,1,0
9dc50a3d,6,full,hard,FALSE,FALSE,492746,63819,75,0,1.5112E+12,0,0,0,1
99f511a0,10,verify,easy,TRUE,FALSE,113682,75705,2,4,1.5112E+12,0,1,0,0
a0a4f4ea,10,full,medium,FALSE,FALSE,283909,79178,33,0,1.51119E+12,0,0,0,1
4eb4f441,10,pruned,easy,TRUE,TRUE,200409,52251,10,3,1.51119E+12,1,1,1,0
31e3a167,10,verify,easy,TRUE,TRUE,139611,79915,9,3,1.51111E+12,1,1,1,0
76c104da,10,full,easy,FALSE,FALSE,150347,44798,5,0,1.51192E+12,0,0,0,0
40f4f3b7,10,verify,medium,TRUE,TRUE,276270,64257,35,3,1.51119E+12,1,1,1,1
c0dfd341,10,full,easy,TRUE,TRUE,379187,70760,48,4,1.5119E+12,1,1,1,1
9df4fabc,10,verify,easy,FALSE,FALSE,61926,20970,2,0,1.51119E+12,0,0,0,0
abd12ee2,10,pruned,medium,TRUE,TRUE,144663,57940,17,3,1.51193E+12,1,1,1,0
20a4fec4,10,full,easy,TRUE,FALSE,251055,42373,16,4,1.51119E+12,0,1,0,1
efd11272,6,verify,easy,TRUE,TRUE,249387,189110,14,10,1.51192E+12,1,1,1,0
7db4f1d2,6,pruned,easy,TRUE,TRUE,122934,23840,19,3,1.51119E+12,1,1,1,0
85e50169,10,full,medium,TRUE,TRUE,309684,36572,24,4,1.5112E+12,1,1,1,1
a0b4ff47,10,verify,easy,TRUE,FALSE,86305,125104,2,9,1.5112E+12,0,1,0,0
6cc4f8b6,10,full,easy,FALSE,FALSE,337219,32226,47,0,1.51119E+12,0,0,0,1
ecefd3a0,10,pruned,medium,FALSE,FALSE,562340,12787,95,0,1.5119E+12,0,0,0,1
