,AssignmentId,Unnamed: 0,WorkerId,actionsSolution,actionsValidation,actions_solution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,timeSolution,timeValidation,time_solution,time_validation,timestamp,userid,validated_correct
4,3JZQSN0I3RHUSVS72O6Y6P1B89VFGF,4,A1L82EA5PNL5RO,,,49.0,0.0,10,hard,0,pruned,False,1554400000000.0,,,365857.0,32934.0,,f3b42f94,False
5,3Q5C1WP23N85MJ9FET8MDQ6SHQY15I,5,A2F93SIUUV5HQH,,,17.0,3.0,10,hard,0,full,True,1554400000000.0,,,230716.0,61884.0,,90e4327c,False
6,34QN5IT0T0YO2C7ZG8BPB5X9EOT80O,6,A2KVYRNL2CK95F,,,38.0,4.0,10,hard,0,full,True,1554400000000.0,,,296759.0,123713.0,,8af4330d,False
7,3KGTPGBS6YSTWJHQYYG8QL8D8D52UI,7,A1F34ZP6YNI98F,,,12.0,0.0,10,medium,0,full,False,1554400000000.0,,,69020.0,25052.0,,fdb43452,False
8,39JEC7537V867GYS0HFJYKJIYBRCVQ,8,A27186NOW2EVJJ,,,19.0,9.0,10,hard,0,pruned,True,1554400000000.0,,,358414.0,105858.0,,2be432b7,True
9,3Z7ISHFUH12L4XDPK2OHH40VWVI8ZM,9,A2YAYHZYI7M3HD,,,3.0,0.0,10,easy,0,pruned,False,1554400000000.0,,,22150.0,13676.0,,cda434a5,False
10,3TAYZSBPLMFDH6PM9TL8BKQPNGK2S2,10,A11EL5LWS2L1HX,,,81.0,0.0,6,easy,0,full,False,1554400000000.0,,,553131.0,30971.0,,4de431b1,False
11,339ANSOTR69J48QGTNXY7E6WVI9IKH,11,A6MWJK1YEY5L2,,,8.0,4.0,6,easy,0,full,True,1554400000000.0,,,166748.0,61094.0,,d4c433e6,True
12,384PI804XT86LWM8U6HUSWXAQI00SG,12,A1JV64BL3WCK0G,,,102.0,0.0,10,medium,0,full,False,1554400000000.0,,,577321.0,28911.0,,d0e4332c,False
13,37XITHEISXGEE9HBRXA9XNUFD5ECRX,13,A2H5UA2MUBT4QX,,,27.0,0.0,10,medium,0,full,False,1554400000000.0,,,272179.0,284301.0,,8cc432fc,False
14,3WJEQKOXA992SPLW9PZ3L1ME94ZA1X,14,A3LYQ5490FJYXK,,,21.0,0.0,10,easy,0,full,False,1554400000000.0,,,155386.0,52010.0,,92d4349b,False
15,3SNVL38CI5ZSR54G1D1CWB81IDKCK4,15,A31FD3QCYZ28Q2,,,57.0,5.0,10,hard,0,full,True,1554400000000.0,,,601525.0,110360.0,,18a4334a,False
16,33TIN5LC05HLDCMUT8SC3TM4A7PY93,16,ANQ0RLFEZ17W0,,,26.0,3.0,6,easy,0,pruned,True,1554400000000.0,,,401900.0,50522.0,,27e436f9,True
17,3K3R2QNK8CA4W32PJ7VN08GREJN9UP,17,A1BQTDDVCHQM5T,,,11.0,0.0,10,easy,0,full,False,1554400000000.0,,,464413.0,86269.0,,f8c437b8,False
18,3R0T90IZ1TJNPJ8XBMGXYJG8BWECGC,18,A2C6HMH2FDM2CI,,,13.0,0.0,10,easy,0,pruned,False,1554400000000.0,,,96173.0,27531.0,,f8a4386a,False
19,33IZTU6J828EIMSJXI611AKL0PKSX2,19,A1UGFNSA16TKA0,,,13.0,0.0,10,hard,0,pruned,False,1554400000000.0,,,184215.0,41581.0,,25b43b96,False
20,3P59JYT76MREW621YTQYLPMBPZY2TR,20,AYXKSQMCPXEZF,,,10.0,5.0,10,hard,0,pruned,True,1554400000000.0,,,225244.0,29284.0,,e2a43b2c,False
21,3CCZ6YKWR8QNBOCAI6NFSWOBF2M59V,21,A125AOX978LDG7,,,11.0,0.0,10,hard,0,full,True,1554400000000.0,,,135865.0,8137.0,,a5d43d8e,False
22,3HFNH7HEMILRJKIGG4HSIO5PFBJQGZ,22,A1WJ3EZ6LXN7B1,,,20.0,4.0,10,hard,0,pruned,True,1554400000000.0,,,117330.0,57516.0,,74d43e43,True
23,3M1CVSFP61CQ9T5DU4PIM2UMHG9QAQ,23,A39ROW50DWRRKT,,,11.0,0.0,10,easy,0,pruned,False,1554400000000.0,,,65987.0,67213.0,,b0f44295,False
24,3VD82FOHKRVBHWPVZ5T53SPA2IDCO7,24,ABL81LYVZUKYE,,,15.0,0.0,10,easy,0,full,False,1554400000000.0,,,116478.0,31776.0,,15c4420d,False
25,3LYA37P8IRU9H0CAND5HLR2J0SWKBH,25,AEKJ0Q3OITMRJ,,,8.0,4.0,10,hard,0,pruned,True,1554400000000.0,,,119448.0,49624.0,,fbf441ba,True
26,32SCWG5HIIB4MFSV4ETH6S2QG116PT,26,AFSGRTCIUF123,,,78.0,0.0,10,medium,0,full,False,1554400000000.0,,,223720.0,18034.0,,a8b44557,False
27,31QNSG6A5S02KN7J17WYQK7WM2G875,27,A12DY4HHG6MYF0,,,108.0,8.0,10,easy,0,full,True,1554400000000.0,,,477068.0,61721.0,,66b442b7,False
28,3JW0YLFXRUNS03427IKGWG9ZX0WWWE,28,AVWHHELH3TZG6,,,72.0,5.0,10,easy,0,full,True,1554400000000.0,,,580389.0,182813.0,,24d445c5,True
29,3H7XDTSHKDYW3HE2SDGYADNB3CXGWQ,29,A2SNZOY3RDSJ9A,,,23.0,0.0,10,hard,0,pruned,False,1554400000000.0,,,226666.0,27404.0,,9df449da,False
30,35H6S234SB70T5ACKZK38MX9P1E56K,30,A1LE6AUI3CJNIT,,,16.0,0.0,10,medium,0,full,False,1554400000000.0,,,452406.0,96717.0,,e4e447e2,False
31,3NC5L260MPTIK895Q7J6BYADZWBFOT,31,A3DS5B06ZCD3E3,,,50.0,4.0,10,easy,0,full,True,1554400000000.0,,,377283.0,43243.0,,97d44ac8,True
