userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
abd12ee2,9,3,9,0,3
6db76212,13,9,26,8,1
ecefd3a0,87,41,124,22,19
1feffe13,3,1,3,0,1
9dd11e8e,49,36,102,32,3
d0f687f1,38,34,94,32,1
42f75809,5,1,5,0,1
9ba1165f,7,1,7,0,1
daa11f50,16,12,31,11,0
3ed1161d,7,1,7,0,0
94a4f5d4,11,4,11,0,4
31cfd831,1,1,1,0,0
bdd7483e,7,3,7,2,1
76f6a1e9,52,11,60,1,10
b0c6f3a8,47,14,58,6,8
e1b6994c,2,1,2,0,1
29e72a67,115,69,229,54,14
2bd72f3e,5,1,5,0,1
e9b10766,15,15,41,14,1
33a74451,64,15,68,1,14
9da51cdd,50,10,50,0,10
95e69707,11,3,11,0,3
43c516b5,13,9,33,8,1
19b680e2,13,3,13,0,3
a9cbcabb,9,2,9,0,1
d1bbc1e6,7,1,7,0,0
71ebc315,9,2,9,0,1
cefc077d,19,5,19,0,4
eefbf52d,19,4,19,0,3
5efbf191,15,12,33,11,0
93ebead7,40,10,62,5,4
43cad2c3,6,4,9,3,0
