userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
4eb4f441,5,1,5,0,1
4fb692a0,5,1,5,0,0
3ab7160d,62,21,83,5,16
b9e10f8b,22,18,54,17,1
4ecfea32,64,28,105,16,11
f8efd664,16,4,16,0,4
eec719ce,22,7,22,0,7
92f69945,12,3,12,0,3
f7c73b9d,0,0,0,0,0
46c12352,18,5,18,0,5
ceafe698,16,8,26,4,4
a2c12212,4,2,5,1,0
39afd1eb,5,2,5,0,2
2fd101b0,61,7,91,2,4
cdc50047,44,13,44,0,13
76bfdf0b,40,23,67,20,2
44b696ef,1,1,1,0,0
acb11b17,5,1,5,0,1
a7bfd4fc,15,4,15,0,3
fdc4f07b,28,7,28,0,7
29bff31a,3,1,3,0,1
c3dfd812,80,25,80,0,25
c7c6f18d,10,4,10,0,4
d5aff345,92,28,92,0,27
8defd34b,45,13,48,1,11
cec10cc8,5,1,5,0,1
3ebbc051,3,1,3,0,0
47dbc824,25,21,72,20,0
43dbc360,31,9,31,0,8
89cbfdf9,55,16,55,0,15
e2bbe5e1,28,6,28,0,5
